repo,pr_number,before_commit,after_commit
"""ambari-infra""",25,,
"""ambari-infra""",24,,
"""ambari-infra""",23,,
"""ambari-infra""",22,,
"""ambari-infra""",21,,
"""ambari-infra""",20,,
"""ambari-infra""",19,,
"""ambari-infra""",18,,
"""ambari-infra""",17,,
"""ambari-infra""",16,,
"""ambari-infra""",15,https://github.com/apache/ambari-infra/commit/649fc82de29daa80e49d530ff26e4b3b8b28e134,https://github.com/apache/ambari-infra/commit/879c7151bb71efaf3ffef1426e3eb06441600c29
"""ambari-infra""",14,,
"""ambari-infra""",13,,
"""ambari-infra""",12,,
"""ambari-infra""",11,,
"""ambari-infra""",10,,
"""ambari-infra""",9,,
"""ambari-infra""",8,,
"""ambari-infra""",7,https://github.com/apache/ambari-infra/commit/99072e7519be626d603954041743dc0883c458e9,https://github.com/apache/ambari-infra/commit/c5d4d84be20f0ebc0d94fe283bd99ca223810de4
"""ambari-infra""",6,,
"""ambari-infra""",5,,
"""ambari-infra""",4,,
"""ambari-infra""",3,,
"""ambari-infra""",2,,
"""ambari-infra""",1,,
