repo,pr_number,before_commit,after_commit
"""ambari-logsearch""",72,https://github.com/apache/ambari-logsearch/commit/b9adf7db48105f3edfc5dec027f767a2748ae629,https://github.com/apache/ambari-logsearch/commit/b5ff9571c31bf442b779e2a474390aec7ea35176
"""ambari-logsearch""",71,,
"""ambari-logsearch""",70,,
"""ambari-logsearch""",69,,
"""ambari-logsearch""",68,,
"""ambari-logsearch""",67,,
"""ambari-logsearch""",66,,
"""ambari-logsearch""",65,,
"""ambari-logsearch""",64,,
"""ambari-logsearch""",63,,
"""ambari-logsearch""",62,,
"""ambari-logsearch""",61,,
"""ambari-logsearch""",60,https://github.com/apache/ambari-logsearch/commit/b3a18d01018c9c64513d917b5e5c9ac1583be6f7,https://github.com/apache/ambari-logsearch/commit/8004d71359d51565382e75d39bd8a02d87b4b295
"""ambari-logsearch""",59,,
"""ambari-logsearch""",58,,
"""ambari-logsearch""",57,,
"""ambari-logsearch""",56,,
"""ambari-logsearch""",55,,
"""ambari-logsearch""",54,,
"""ambari-logsearch""",53,,
"""ambari-logsearch""",52,,
"""ambari-logsearch""",51,,
"""ambari-logsearch""",50,,
"""ambari-logsearch""",49,,
"""ambari-logsearch""",48,https://github.com/apache/ambari-logsearch/commit/d28634241831452ee882f9ea176b0f0c87082dc2,https://github.com/apache/ambari-logsearch/commit/a447dbf037bfae94423ff84638380ce0b29836c7
"""ambari-logsearch""",47,,
"""ambari-logsearch""",46,,
"""ambari-logsearch""",45,,
"""ambari-logsearch""",44,,
"""ambari-logsearch""",43,,
"""ambari-logsearch""",42,,
"""ambari-logsearch""",41,,
"""ambari-logsearch""",40,,
"""ambari-logsearch""",39,,
"""ambari-logsearch""",38,,
"""ambari-logsearch""",37,,
"""ambari-logsearch""",36,,
"""ambari-logsearch""",35,,
"""ambari-logsearch""",34,,
"""ambari-logsearch""",33,https://github.com/apache/ambari-logsearch/commit/ee1d853694ee2401ba88f3f27c1cf8351a4c621d,https://github.com/apache/ambari-logsearch/commit/b2502a536393852a63ec555cbf54dfdb598f6110
"""ambari-logsearch""",32,,
"""ambari-logsearch""",31,,
"""ambari-logsearch""",30,,
"""ambari-logsearch""",29,,
"""ambari-logsearch""",27,,
"""ambari-logsearch""",26,,
"""ambari-logsearch""",25,,
"""ambari-logsearch""",24,,
"""ambari-logsearch""",23,,
"""ambari-logsearch""",22,,
"""ambari-logsearch""",21,,
"""ambari-logsearch""",20,,
"""ambari-logsearch""",19,,
"""ambari-logsearch""",18,,
"""ambari-logsearch""",17,,
"""ambari-logsearch""",16,,
"""ambari-logsearch""",15,,
"""ambari-logsearch""",13,,
"""ambari-logsearch""",12,,
"""ambari-logsearch""",11,,
"""ambari-logsearch""",10,,
"""ambari-logsearch""",9,,
"""ambari-logsearch""",8,,
"""ambari-logsearch""",7,,
"""ambari-logsearch""",6,,
"""ambari-logsearch""",5,https://github.com/apache/ambari-logsearch/commit/d6559bdf6f6e28b4685cb1872dd54013259e6e97,https://github.com/apache/ambari-logsearch/commit/20c27eabfd663c67d70e6467d005ee278ab0c01f
"""ambari-logsearch""",4,,
"""ambari-logsearch""",3,,
"""ambari-logsearch""",2,,
"""ambari-logsearch""",1,,
