repo,pr_number,before_commit,after_commit
"""ambari""",3080,,
"""ambari""",3079,,
"""ambari""",3078,,
"""ambari""",3077,,
"""ambari""",3076,,
"""ambari""",3075,,
"""ambari""",3071,,
"""ambari""",3070,,
"""ambari""",3069,,
"""ambari""",3068,,
"""ambari""",3067,,
"""ambari""",3066,,
"""ambari""",3063,,
"""ambari""",3061,,
"""ambari""",3058,,
"""ambari""",3057,,
"""ambari""",3055,,
"""ambari""",3054,,
"""ambari""",3053,,
"""ambari""",3052,,
"""ambari""",3051,,
"""ambari""",3050,,
"""ambari""",3049,,
"""ambari""",3048,,
"""ambari""",3047,,
"""ambari""",3045,,
"""ambari""",3044,,
"""ambari""",3043,,
"""ambari""",3042,,
"""ambari""",3041,,
"""ambari""",3040,,
"""ambari""",3035,,
"""ambari""",3034,,
"""ambari""",3033,https://github.com/apache/ambari/commit/5f7bac84af2f1b2732f82e4a5a2d8a0534db8760,https://github.com/apache/ambari/commit/91c84707080a8f963a0f53c807a522b9e7659e11
"""ambari""",3032,https://github.com/apache/ambari/commit/040818c804f5f294681b06113325bcb7dbe1f7f2,https://github.com/apache/ambari/commit/5748f1cd852f482c61ec42c0fa9bb6dce379eed1
"""ambari""",3031,,
"""ambari""",3030,,
"""ambari""",3029,https://github.com/apache/ambari/commit/9fd9c6140ab8c654a9131a083d88585ba29b3e5b,https://github.com/apache/ambari/commit/16744dbbb10ca4f6dc8a63d2634f948cef43b700
"""ambari""",3028,,
"""ambari""",3026,,
"""ambari""",3025,,
"""ambari""",3022,,
"""ambari""",3021,,
"""ambari""",3020,,
"""ambari""",3019,,
"""ambari""",3018,,
"""ambari""",3017,,
"""ambari""",3016,,
"""ambari""",3015,,
"""ambari""",3012,,
"""ambari""",3011,,
"""ambari""",3010,,
"""ambari""",3009,,
"""ambari""",3008,,
"""ambari""",3007,,
"""ambari""",3006,,
"""ambari""",3005,,
"""ambari""",3004,,
"""ambari""",3003,,
"""ambari""",3002,,
"""ambari""",3001,,
"""ambari""",3000,,
"""ambari""",2999,,
"""ambari""",2998,,
"""ambari""",2997,,
"""ambari""",2996,,
"""ambari""",2995,,
"""ambari""",2994,,
"""ambari""",2993,,
"""ambari""",2992,,
"""ambari""",2991,,
"""ambari""",2990,,
"""ambari""",2989,,
"""ambari""",2988,,
"""ambari""",2987,,
"""ambari""",2985,,
"""ambari""",2983,,
"""ambari""",2982,,
"""ambari""",2981,,
"""ambari""",2980,,
"""ambari""",2979,,
"""ambari""",2978,,
"""ambari""",2976,,
"""ambari""",2975,https://github.com/apache/ambari/commit/0d658404a9879c6501936d23f29ff3af6cd145db,https://github.com/apache/ambari/commit/446df55d05d92b919c390929b5c7b7d4a479f1d8
"""ambari""",2974,,
"""ambari""",2973,,
"""ambari""",2972,,
"""ambari""",2969,,
"""ambari""",2968,,
"""ambari""",2967,,
"""ambari""",2966,,
"""ambari""",2965,,
"""ambari""",2962,,
"""ambari""",2960,,
"""ambari""",2959,,
"""ambari""",2958,,
"""ambari""",2957,,
"""ambari""",2956,,
"""ambari""",2955,,
"""ambari""",2954,,
"""ambari""",2953,,
"""ambari""",2952,,
"""ambari""",2951,,
"""ambari""",2950,,
"""ambari""",2949,,
"""ambari""",2948,,
"""ambari""",2947,,
"""ambari""",2946,,
"""ambari""",2945,,
"""ambari""",2944,,
"""ambari""",2943,,
"""ambari""",2942,,
"""ambari""",2941,,
"""ambari""",2940,,
"""ambari""",2939,,
"""ambari""",2938,,
"""ambari""",2937,,
"""ambari""",2936,,
"""ambari""",2935,,
"""ambari""",2933,,
"""ambari""",2932,,
"""ambari""",2931,,
"""ambari""",2930,,
"""ambari""",2929,,
"""ambari""",2927,,
"""ambari""",2926,,
"""ambari""",2925,,
"""ambari""",2924,,
"""ambari""",2923,,
"""ambari""",2922,,
"""ambari""",2921,,
"""ambari""",2920,,
"""ambari""",2919,,
"""ambari""",2916,,
"""ambari""",2915,,
"""ambari""",2914,,
"""ambari""",2913,,
"""ambari""",2912,,
"""ambari""",2910,,
"""ambari""",2909,,
"""ambari""",2908,,
"""ambari""",2907,,
"""ambari""",2906,,
"""ambari""",2905,,
"""ambari""",2904,,
"""ambari""",2898,,
"""ambari""",2897,,
"""ambari""",2896,,
"""ambari""",2895,,
"""ambari""",2894,,
"""ambari""",2893,,
"""ambari""",2891,,
"""ambari""",2890,,
"""ambari""",2889,,
"""ambari""",2888,,
"""ambari""",2887,,
"""ambari""",2886,,
"""ambari""",2885,,
"""ambari""",2884,,
"""ambari""",2883,,
"""ambari""",2881,,
"""ambari""",2880,,
"""ambari""",2879,,
"""ambari""",2878,,
"""ambari""",2877,https://github.com/apache/ambari/commit/bbd7421058978dd0bf7e3796b65281b10f2ef46a,https://github.com/apache/ambari/commit/a4a4619e46c75850a17a32215b3e1f8226ce1191
"""ambari""",2876,,
"""ambari""",2874,,
"""ambari""",2873,,
"""ambari""",2872,,
"""ambari""",2871,,
"""ambari""",2868,,
"""ambari""",2867,,
"""ambari""",2866,,
"""ambari""",2865,,
"""ambari""",2864,,
"""ambari""",2863,,
"""ambari""",2862,,
"""ambari""",2861,,
"""ambari""",2860,,
