repo,pr_number,before_commit,after_commit
"""avro""",635,https://github.com/apache/avro/commit/3a4d606c99360ad6618cfaa01cc5de1b1b03c416,https://github.com/apache/avro/commit/a15b1e4fd9aa700b6e390348792da0f63d3c6a55
"""avro""",634,https://github.com/apache/avro/commit/027ede6bf34c1652820f64bacae44c1c523dc398,https://github.com/apache/avro/commit/1c0f1ca949d0a551275c8c6c12b7b73089907e22
"""avro""",633,,
"""avro""",632,,
"""avro""",630,,
"""avro""",629,,
"""avro""",627,,
"""avro""",626,,
"""avro""",625,,
"""avro""",624,,
"""avro""",623,,
"""avro""",622,,
"""avro""",621,,
"""avro""",616,,
"""avro""",615,,
"""avro""",613,,
"""avro""",612,https://github.com/apache/avro/commit/be5b2a63194f9b794bb656e000318eab3be9d0fa,https://github.com/apache/avro/commit/5b8077ca1a7370d1460bda068da70a043c0230a1
"""avro""",611,https://github.com/apache/avro/commit/163262c3fe2a11f407d45073b4c544f1eeb37ddf,https://github.com/apache/avro/commit/d75fdd3bee22b1cc0c557a685f8dded33547d59c
"""avro""",610,,
"""avro""",609,,
"""avro""",608,,
"""avro""",607,,
"""avro""",606,,
"""avro""",605,https://github.com/apache/avro/commit/028f49d10121bde7abbde4bf1b28dc48c61281bf,https://github.com/apache/avro/commit/aec9876d32643a5bfff04fdf9d81ff373f9f2ea6
"""avro""",603,,
"""avro""",602,https://github.com/apache/avro/commit/e350593284aabc33187879088a5be2abf119c3a4,https://github.com/apache/avro/commit/e5ff57d30910a8e4602490e325d418378b8582f6
"""avro""",601,,
"""avro""",600,,
"""avro""",599,,
"""avro""",598,,
"""avro""",595,,
"""avro""",593,,
"""avro""",592,https://github.com/apache/avro/commit/dcadb10ccf2c951a00b8ad852b27ee0087590f7c,https://github.com/apache/avro/commit/12c693d153d6215dd938c2c566f8757e2e2565ed
"""avro""",591,,
"""avro""",590,https://github.com/apache/avro/commit/052429efb9553dc464e9bd1bb7ce8d36fe12f738,https://github.com/apache/avro/commit/69ce28241a413733c952b1c05f6620599d1ee602
"""avro""",589,,
"""avro""",588,,
"""avro""",587,,
"""avro""",586,https://github.com/apache/avro/commit/0e6a37f2b43eeff882aceb2b02c921a6f9748604,https://github.com/apache/avro/commit/7e8fb7a40a2669070bad3115825d0f3d52b4e4d8
"""avro""",585,,
"""avro""",584,,
"""avro""",582,,
"""avro""",581,,
"""avro""",580,,
"""avro""",579,https://github.com/apache/avro/commit/649e48e505727c50847b931a284d69f1b69bd190,https://github.com/apache/avro/commit/e9b7a4a7650ac5c8134192d5ac9f7459a9b43597
"""avro""",578,,
"""avro""",577,,
"""avro""",576,,
"""avro""",575,,
"""avro""",574,,
"""avro""",573,,
"""avro""",571,,
"""avro""",570,,
