repo,pr_number,before_commit,after_commit
"""calcite-avatica""",108,https://github.com/apache/calcite-avatica/commit/ccaa955645225cf6b9d9f3987ba443776ddd0b71,https://github.com/apache/calcite-avatica/commit/b784d9262cd7661daac6202a937ba719b4be7c59
"""calcite-avatica""",107,https://github.com/apache/calcite-avatica/commit/14b575e79d6b9bf3051a876083611988652d6a9a,https://github.com/apache/calcite-avatica/commit/926f1722d7dd1d8cc812cc9aaea2cee0009e5468
"""calcite-avatica""",102,https://github.com/apache/calcite-avatica/commit/bc9451b4ba4d3f91abb35078116bea1b65e4395c,https://github.com/apache/calcite-avatica/commit/ee9271bf0d5c65cb83b4df3424d59d429daac7c5
"""calcite-avatica""",97,,
"""calcite-avatica""",94,https://github.com/apache/calcite-avatica/commit/3e568ed1ed63f54418a424a4e64c17ed930ffd5c,https://github.com/apache/calcite-avatica/commit/399b12ad0629f00340a38b3824bba2cd08161a46
"""calcite-avatica""",93,https://github.com/apache/calcite-avatica/commit/6207dbe0464aeb2b6664abb66730e78f1cb1d1f6,https://github.com/apache/calcite-avatica/commit/564b67886bc2bcf99a0ee7f733829609587e675a
"""calcite-avatica""",91,https://github.com/apache/calcite-avatica/commit/e8817954708f9dd58ca81c7a7c00206eb134b347,https://github.com/apache/calcite-avatica/commit/aef3b89796bd1c191d9139cbf455ffdde42cf5ca
"""calcite-avatica""",88,https://github.com/apache/calcite-avatica/commit/bcf164b52b0be243d0d2e27b92768d9356b6e17a,https://github.com/apache/calcite-avatica/commit/56e4bb45f838147930128cf7c26cbd4736d636f5
"""calcite-avatica""",84,https://github.com/apache/calcite-avatica/commit/a4e36202515441010778a0652230bc8a3d0bd63e,https://github.com/apache/calcite-avatica/commit/80ccd2007c5d34748852b019f1d1d10ebc94392a
"""calcite-avatica""",82,https://github.com/apache/calcite-avatica/commit/cb3bb8e32a3569d21db32439040fd00bce0758c3,https://github.com/apache/calcite-avatica/commit/ae69dcb8967aecce191269b466e9c5a936219c24
"""calcite-avatica""",79,https://github.com/apache/calcite-avatica/commit/1443f00ec9b0376bc95969e46c775a3d0917cf12,https://github.com/apache/calcite-avatica/commit/1e4013e16619824cbdf6bcd13846473a7c88f8e4
"""calcite-avatica""",78,,
"""calcite-avatica""",77,https://github.com/apache/calcite-avatica/commit/bb6200459f133cc1f4378e64f6a3194a4ac560da,https://github.com/apache/calcite-avatica/commit/d94935509c62accbef3a0787290cd8faa381fbd7
"""calcite-avatica""",75,https://github.com/apache/calcite-avatica/commit/a73fe8a67bdbd90624226524089d0e9bd96ddec6,https://github.com/apache/calcite-avatica/commit/d86f3722885ea4fb8a13ef1f86976c0941576630
"""calcite-avatica""",74,https://github.com/apache/calcite-avatica/commit/b5b7c30dd7139c01cb58d2776307d7b387dbf6be,https://github.com/apache/calcite-avatica/commit/8db4bc171f20bf5a0270f1989d5ea8684f2cb2e7
"""calcite-avatica""",64,https://github.com/apache/calcite-avatica/commit/361002f73bbc258c0c70bdccaca0aa6997356ce0,https://github.com/apache/calcite-avatica/commit/81e889af74ef506d938a4d3f502e76ddc2888b94
"""calcite-avatica""",53,,
"""calcite-avatica""",51,,
"""calcite-avatica""",43,https://github.com/apache/calcite-avatica/commit/cd9dc65d73673c6aa37db0795cf90b2aceeee889,https://github.com/apache/calcite-avatica/commit/fa14c0111ebf4a25592a6ceabb9b5b915d9e20d3
"""calcite-avatica""",40,https://github.com/apache/calcite-avatica/commit/b9d6c94e75e221275a33d76c479c76b57f0987d8,https://github.com/apache/calcite-avatica/commit/74c7e1241b2996a8f68da6b262c0504bce082afc
"""calcite-avatica""",35,https://github.com/apache/calcite-avatica/commit/882786566024f5d62c9bcf92cf5ab082f0373e58,https://github.com/apache/calcite-avatica/commit/a2afc82ecfee4cabb6d851be7f28e1b0ec63f8dd
"""calcite-avatica""",19,https://github.com/apache/calcite-avatica/commit/be2d056bbfc588a595a9ca1f5f5b62dfdff5d415,https://github.com/apache/calcite-avatica/commit/cc3605e2af6ee242c70f72e330f2c12a77b8bf44
"""calcite-avatica""",2,https://github.com/apache/calcite-avatica/commit/eba2ec1e4873426321d81baf15c8228d4917f42e,https://github.com/apache/calcite-avatica/commit/557f15cc74ade0e4bd509838b263f85a7b3d0215
