repo,pr_number,before_commit,after_commit
"""calcite""",1432,,
"""calcite""",1428,,
"""calcite""",1427,https://github.com/apache/calcite/commit/af849f9a178b1775b7ef10300b44331226d5075f,https://github.com/apache/calcite/commit/7e3142fcb7c40a2709e99a61aad2c82c29ec126c
"""calcite""",1425,https://github.com/apache/calcite/commit/add833eb2643e3e7d64535229321b344151ebd88,https://github.com/apache/calcite/commit/843c40246d80b3eaa8c58218548d60e4393b4513
"""calcite""",1424,,
"""calcite""",1423,https://github.com/apache/calcite/commit/ced4a3085de4dc9160b59d7795a71b63193a43b3,https://github.com/apache/calcite/commit/b0b65be610f158c0aa87f8f2a06aefa5a739d268
"""calcite""",1413,,
"""calcite""",1392,https://github.com/apache/calcite/commit/6a8ace641648b3f3e6532fd08d516fc2f20466a7,https://github.com/apache/calcite/commit/2b5671939cf5634beb3bc81240dfe3244f2314ac
"""calcite""",1391,,
"""calcite""",1388,,
"""calcite""",1386,,
"""calcite""",1382,,
"""calcite""",1377,https://github.com/apache/calcite/commit/7109f7b47bce3be044898a92017e39fc4058a60e,https://github.com/apache/calcite/commit/a35a6b91e3386eccefb9962893deab4f2e52d663
"""calcite""",1372,https://github.com/apache/calcite/commit/3cc77801a62c09a438dc1fbab3270c8f8fd0e674,https://github.com/apache/calcite/commit/1cff3f7f76b1f3854e41ecf25ea4ef80e5cef676
"""calcite""",1371,https://github.com/apache/calcite/commit/e5ed7fdf77847722f88cae09de68d9969afb1839,https://github.com/apache/calcite/commit/e0d04b27c4fa9145d28c39f861078dafb725c3ac
"""calcite""",1369,https://github.com/apache/calcite/commit/3967009c014f45986917bc551e5147ef53b6c144,https://github.com/apache/calcite/commit/a4c44c773099f283060761f7288edd25372872eb
"""calcite""",1368,,
"""calcite""",1366,https://github.com/apache/calcite/commit/d03595594eebda8b170bfbf33d20696ca2df6614,https://github.com/apache/calcite/commit/4134adb23c2958b2242ca9b42615cde9df472c22
"""calcite""",1365,,
"""calcite""",1360,https://github.com/apache/calcite/commit/70523f1daed989d21faf9246a38bd06a68a99e5f,https://github.com/apache/calcite/commit/abb17cd934561855e9e2812fa757e0ad88114a34
"""calcite""",1358,,
"""calcite""",1357,https://github.com/apache/calcite/commit/b76b5937c92d3909ca46923c659dd68e28ea1b7e,https://github.com/apache/calcite/commit/ab83ab84a2b0ef29c7e44828160ee20ae8d0d8a6
"""calcite""",1356,https://github.com/apache/calcite/commit/5fa39aaab75ee43d9cb888c4d426320ecf1c6f2d,https://github.com/apache/calcite/commit/dbf22236a603ad60ab6ed83bff32cfd3b0be847f
"""calcite""",1355,https://github.com/apache/calcite/commit/b44e1e0805a38395d959b08150ebf433b09d4368,https://github.com/apache/calcite/commit/6656bfb45404a728cc9df2ad2427f4cc3811442d
"""calcite""",1353,https://github.com/apache/calcite/commit/a635f36eba94a1ad34525ff8af882fa492ce15b0,https://github.com/apache/calcite/commit/5023db820c733148266543bea8b0001d067a4fb8
"""calcite""",1351,https://github.com/apache/calcite/commit/53fa6a4dba516dd027bc6cb703488799d60f1fec,https://github.com/apache/calcite/commit/4fdf76984e3efd48ca91c30b37686fe141dba931
"""calcite""",1350,,
"""calcite""",1344,,
"""calcite""",1340,https://github.com/apache/calcite/commit/64a34764a6d8b40bedc405362fc02996ae86ecd0,https://github.com/apache/calcite/commit/25e3aae20f0e157717f4f4aec1fe992f1fd61833
"""calcite""",1339,https://github.com/apache/calcite/commit/9d95c5d0078de6c25b407b05fa53a81db188ac93,https://github.com/apache/calcite/commit/4874623628d156ad3e12fcff38d8006bcf7e8dd1
"""calcite""",1333,https://github.com/apache/calcite/commit/b8a67027c87a905306e83f5697e767567fb10f6a,https://github.com/apache/calcite/commit/71870493bb7a8267cf14a25d3898e175b53bc9e7
"""calcite""",1331,,
"""calcite""",1330,https://github.com/apache/calcite/commit/5994e63959c6054cf0906a62d4dbc6a50ea314b9,https://github.com/apache/calcite/commit/de61b061e2630a24b28360c91701e5085841c3a2
"""calcite""",1329,https://github.com/apache/calcite/commit/2377ccb111b6de7130cd3f44935d2bf0f7bf9086,https://github.com/apache/calcite/commit/e2ddc2a4f396403db8f0ac366cd016bbe8370a32
"""calcite""",1323,https://github.com/apache/calcite/commit/0f27f55c8b92f1366f4d5b4af243402b0b1306ba,https://github.com/apache/calcite/commit/8c6ab373264fcfcf7e0b5c5d3c730996bdcb9bac
"""calcite""",1322,https://github.com/apache/calcite/commit/caa8b66874b601de17f14800b4afc11e3731871b,https://github.com/apache/calcite/commit/5affe70d4cf39293a8eceebc6dbea45554281c9b
"""calcite""",1320,https://github.com/apache/calcite/commit/07fbeabf36a3623a597a0ccdbe54a263168be55c,https://github.com/apache/calcite/commit/28e3ca2d5de85c2da5b4337925272c8ce871c5d8
"""calcite""",1319,https://github.com/apache/calcite/commit/6f71ef3235f75943fee6ea9f8721a01aa4ee026e,https://github.com/apache/calcite/commit/46bc2b1260cf6edd3fe43faaa42caa8db79e4fd2
"""calcite""",1315,,
"""calcite""",1314,https://github.com/apache/calcite/commit/05fd69dc90546661af62fcc988994675dc097ea2,https://github.com/apache/calcite/commit/a41ad7970435f8c093320844e5fefbffbd6363ee
"""calcite""",1307,https://github.com/apache/calcite/commit/4ffa6382392c730e083862172e758cda18e2615a,https://github.com/apache/calcite/commit/cdb0435545fdfa9124b18c422a703ee5ae06bb2c
"""calcite""",1306,https://github.com/apache/calcite/commit/a4e04fa1737dc0cd6b6c711dbc1fa9d42cba137f,https://github.com/apache/calcite/commit/71dfd623e70d4c118a66b75a82392258a953f448
"""calcite""",1305,https://github.com/apache/calcite/commit/df581805540ba8dc920918a49d3820cdc705f107,https://github.com/apache/calcite/commit/cc1acae9c898595f5349421d56264c64fbdc9209
"""calcite""",1304,https://github.com/apache/calcite/commit/1ad0470b60d5ff96a1ab8f9409fbdf82aca20008,https://github.com/apache/calcite/commit/e2f4c5e69851b48670ce934352afb807d9b299a1
"""calcite""",1303,https://github.com/apache/calcite/commit/0982b8ee98edd5bdb6f069ef5ec521da72f96e4d,https://github.com/apache/calcite/commit/91a797e4dd5160f4b533c282a4096812e747b6db
"""calcite""",1302,https://github.com/apache/calcite/commit/4ad20a9d1e8d16ce9188b1307f6097ccab07c7c4,https://github.com/apache/calcite/commit/faa4c6fc4ed958ecd38a601eedc64baa6ef5c3f6
"""calcite""",1298,https://github.com/apache/calcite/commit/107d9d5292810104e46c4e6a2a05c6dfd20c47bd,https://github.com/apache/calcite/commit/487e960fc83c9db13cc0991d8eb4a409a9ea309e
"""calcite""",1297,https://github.com/apache/calcite/commit/663c77f9d7869fbc1310efd8ac98cf85c958486d,https://github.com/apache/calcite/commit/4a704e36e7fc748341e41cbdaa1805938698fcfd
"""calcite""",1296,,
"""calcite""",1295,,
"""calcite""",1293,https://github.com/apache/calcite/commit/543010837a444277c579a3c4e31f261fc3355628,https://github.com/apache/calcite/commit/b299698b80dfa75a55b875d26ed4872f6d504d45
"""calcite""",1292,https://github.com/apache/calcite/commit/5babc30d55a695ecafb1a6fc3665970d7f2577d6,https://github.com/apache/calcite/commit/e423b8a4f05f3520ce062088f89724a5cc73e07d
"""calcite""",1291,,
"""calcite""",1290,,
"""calcite""",1289,,
"""calcite""",1288,,
"""calcite""",1287,https://github.com/apache/calcite/commit/d1f2e3d9787c4b20b83980ea41ca3688036748e7,https://github.com/apache/calcite/commit/5b7dfb5202a3821d48439fbc8903c5e88bf0ce74
"""calcite""",1284,,
"""calcite""",1283,https://github.com/apache/calcite/commit/411dd1798d676a0e25e438d09f5a29c22ecf5fd0,https://github.com/apache/calcite/commit/1a502337964c5fef94236ea6c0280ccc74b59593
"""calcite""",1282,https://github.com/apache/calcite/commit/921a29c9eacd1238588d558095e819bbf09566db,https://github.com/apache/calcite/commit/1e72508bee7ccc976fab8c8661a2a08bcbefb17c
"""calcite""",1281,,
"""calcite""",1280,,
"""calcite""",1278,,
"""calcite""",1269,https://github.com/apache/calcite/commit/34ba8d243e92ba9b457ce358efb8aa564a1f0887,https://github.com/apache/calcite/commit/6c872bf687516b94a2a7151da740c22a3f3c7c56
"""calcite""",1268,,
"""calcite""",1263,https://github.com/apache/calcite/commit/39b0bb03bb17e73601acf49e65917937be19d43c,https://github.com/apache/calcite/commit/665d3829089001d3373430c34930109ea5d3e2d8
"""calcite""",1261,https://github.com/apache/calcite/commit/5c25800898cdfa8c3dfec3be4ff9871e6dcb2c45,https://github.com/apache/calcite/commit/ac112dbd909c2884bc2519ed1065aadc709798f2
"""calcite""",1259,,
"""calcite""",1256,https://github.com/apache/calcite/commit/78ff41e7c5e7697f36421c68364d2ce34cbc17dc,https://github.com/apache/calcite/commit/69b90769993d4b6e9eab0e188fe5609b19b85186
