repo,pr_number,before_commit,after_commit
"""commons-collections""",82,,
"""commons-collections""",79,https://github.com/apache/commons-collections/commit/a853398de221f169c16231ebf4814b65965e4830,https://github.com/apache/commons-collections/commit/a8dc6006a56decb192b7a79d95150b21036b0648
"""commons-collections""",77,,
"""commons-collections""",75,,
"""commons-collections""",72,,
"""commons-collections""",71,,
"""commons-collections""",70,,
"""commons-collections""",69,,
"""commons-collections""",68,https://github.com/apache/commons-collections/commit/452c24eda4d72af7c2839856c73373f035a1ed99,https://github.com/apache/commons-collections/commit/a86ad2841d8b4efcf30e73dfb70675da9e2ca0dd
"""commons-collections""",67,,
"""commons-collections""",65,,
"""commons-collections""",52,,
"""commons-collections""",48,https://github.com/apache/commons-collections/commit/a808eb53b53bfdda84e92d14092f5c73b396616c,https://github.com/apache/commons-collections/commit/598a42b5904f9519bf313a72f0b5d80adc48ec52
