repo,pr_number,before_commit,after_commit
"""commons-rdf""",52,,
"""commons-rdf""",51,,
"""commons-rdf""",50,,
"""commons-rdf""",48,,
"""commons-rdf""",47,,
"""commons-rdf""",46,,
"""commons-rdf""",45,,
"""commons-rdf""",44,,
"""commons-rdf""",43,,
"""commons-rdf""",42,https://github.com/apache/commons-rdf/commit/e627ba43597a5f20a985bd9373d030d9797fc1e7,https://github.com/apache/commons-rdf/commit/f284e2891199b0c637bf6db647bddd6cae43744a
"""commons-rdf""",40,,
"""commons-rdf""",39,,
"""commons-rdf""",37,,
"""commons-rdf""",34,,
"""commons-rdf""",32,,
"""commons-rdf""",31,,
"""commons-rdf""",30,,
"""commons-rdf""",29,,
"""commons-rdf""",28,,
"""commons-rdf""",27,,
"""commons-rdf""",26,https://github.com/apache/commons-rdf/commit/cdc76af17932dcdd4c27cf1842445e5f5a90ae46,https://github.com/apache/commons-rdf/commit/797a4cd53f62585ecff7f49864f3cd75a55ba0f9
"""commons-rdf""",25,,
"""commons-rdf""",24,,
"""commons-rdf""",22,,
"""commons-rdf""",20,,
"""commons-rdf""",19,,
"""commons-rdf""",17,,
"""commons-rdf""",16,,
"""commons-rdf""",15,,
"""commons-rdf""",14,,
"""commons-rdf""",13,,
"""commons-rdf""",12,,
"""commons-rdf""",11,,
"""commons-rdf""",10,https://github.com/apache/commons-rdf/commit/367d7305f729ff786d7f77f663750633582153b4,https://github.com/apache/commons-rdf/commit/97bec03d3fa95438be14ac15377afde036f5947f
"""commons-rdf""",7,https://github.com/apache/commons-rdf/commit/8b23ae209d29c11f49ea328c0a1513d129988bd9,https://github.com/apache/commons-rdf/commit/d0ae0ca418b4787429a5aa3aa2273c9f3ee49aec
"""commons-rdf""",6,,
"""commons-rdf""",1,,
