repo,pr_number,before_commit,after_commit
"""commons-text""",118,,
"""commons-text""",117,,
"""commons-text""",114,,
"""commons-text""",113,,
"""commons-text""",111,,
"""commons-text""",110,https://github.com/apache/commons-text/commit/a92202e9e7d94abc5b369cf2d417fc74ecc3736d,https://github.com/apache/commons-text/commit/f40607a1689b96831212e73a3588187778e6dc2a
"""commons-text""",109,https://github.com/apache/commons-text/commit/9a7d018c3e85031749166195ebab66c07b7d94c6,https://github.com/apache/commons-text/commit/639e4abb7fa57319311277753eb9f6aabfa2cf30
"""commons-text""",108,,
"""commons-text""",107,,
"""commons-text""",105,,
"""commons-text""",104,,
"""commons-text""",102,https://github.com/apache/commons-text/commit/72071715ce4122839754e3cdb4120f96ccbf03a9,https://github.com/apache/commons-text/commit/a32b1d2948c7b1b4a07eda8a72fb5cd5bdf2dd00
"""commons-text""",101,https://github.com/apache/commons-text/commit/51f7868c8f798eebbb5470299c7183c11d253074,https://github.com/apache/commons-text/commit/21c7737afa3775cbbbea5785a94c014be833b038
"""commons-text""",100,,
"""commons-text""",90,https://github.com/apache/commons-text/commit/796487b91bd6951236585d00f2d43991acb43e48,https://github.com/apache/commons-text/commit/6d1e71185c14e5c0b5ffbd154450fd08a2bddcfe
"""commons-text""",89,,
"""commons-text""",88,https://github.com/apache/commons-text/commit/17a395c71685e6f9e9afab67d391f0b31fadd49a,https://github.com/apache/commons-text/commit/0d4c9c4593fa98909c603fc701c8116975d8d8a8
"""commons-text""",87,,
"""commons-text""",85,,
"""commons-text""",84,,
"""commons-text""",83,,
"""commons-text""",82,https://github.com/apache/commons-text/commit/fd0dce3462e0125d16d229fd42f39a26a02de73c,https://github.com/apache/commons-text/commit/01c1e1adf80e8eb5de7d6096c0bdeb651f8f44df
"""commons-text""",81,https://github.com/apache/commons-text/commit/5fe17a24a62cb651d7111d6ec288580645bd840a,https://github.com/apache/commons-text/commit/c54705d7969ea1a20960ea32a5cf013b4559e578
"""commons-text""",78,https://github.com/apache/commons-text/commit/a383506a21c82ae85fee109f7013686f2bf6ce64,https://github.com/apache/commons-text/commit/7a06a19e466707cd7391cdd4a447b2c101a67494
"""commons-text""",73,,
"""commons-text""",68,,
"""commons-text""",65,,
"""commons-text""",57,https://github.com/apache/commons-text/commit/87251736976e605e73db21364dfe5d4d008da465,https://github.com/apache/commons-text/commit/fb6d5935451397c561bd52cf1d483975f83b2c7b
"""commons-text""",55,,
"""commons-text""",54,,
"""commons-text""",52,,
"""commons-text""",49,https://github.com/apache/commons-text/commit/17b5e05cd5ff888c2feddf5f9c0fea40e78dd31a,https://github.com/apache/commons-text/commit/15c2e4b28686edf6f0807304367dba82ac3d359d
"""commons-text""",48,,
"""commons-text""",47,,
"""commons-text""",46,https://github.com/apache/commons-text/commit/2de01ba6a343ffcce673768e1c603e27dfbda3e9,https://github.com/apache/commons-text/commit/f2626183fcf7d92fd51be24da92f033c8c22f957
"""commons-text""",45,,
"""commons-text""",43,,
"""commons-text""",42,,
"""commons-text""",41,,
"""commons-text""",40,,
"""commons-text""",39,,
"""commons-text""",38,,
"""commons-text""",37,,
"""commons-text""",35,,
"""commons-text""",34,,
"""commons-text""",33,,
"""commons-text""",32,,
"""commons-text""",31,,
"""commons-text""",30,,
"""commons-text""",29,,
"""commons-text""",28,,
"""commons-text""",26,,
"""commons-text""",23,,
"""commons-text""",22,,
"""commons-text""",21,,
"""commons-text""",17,https://github.com/apache/commons-text/commit/fba1e438c1cd75d24d0943fc1f9485d6fe18fc30,https://github.com/apache/commons-text/commit/9d5e6d8914a9bef5accb422880166daccf8c5125
"""commons-text""",16,,
"""commons-text""",15,,
"""commons-text""",14,,
"""commons-text""",13,,
"""commons-text""",12,,
"""commons-text""",11,,
"""commons-text""",10,,
"""commons-text""",9,,
"""commons-text""",8,,
"""commons-text""",7,,
"""commons-text""",6,,
"""commons-text""",4,,
