repo,pr_number,before_commit,after_commit
"""cordova-android""",800,,
"""cordova-android""",788,,
"""cordova-android""",787,,
"""cordova-android""",784,,
"""cordova-android""",783,,
"""cordova-android""",782,,
"""cordova-android""",779,,
"""cordova-android""",778,,
"""cordova-android""",777,,
"""cordova-android""",774,,
"""cordova-android""",772,,
"""cordova-android""",765,,
"""cordova-android""",764,https://github.com/apache/cordova-android/commit/833c4d4cddc8164092b0ae9b23dd6fd2e3a724ee,https://github.com/apache/cordova-android/commit/37b4bbe9b2eeb7b61f854c7b060e509fdfb7c83f
"""cordova-android""",750,,
"""cordova-android""",724,https://github.com/apache/cordova-android/commit/3729ca486a8ebb748382b2908a5feba60376ecb8,https://github.com/apache/cordova-android/commit/075546af2b18314757de6e6dfcc57228729a773f
"""cordova-android""",713,,
"""cordova-android""",710,,
"""cordova-android""",699,https://github.com/apache/cordova-android/commit/6a2f324c6fa858919bdfc474bd1b2b239f117d3f,https://github.com/apache/cordova-android/commit/ac1bc60de249473885b17b3758e83554c828b712
"""cordova-android""",691,,
"""cordova-android""",676,,
"""cordova-android""",673,,
"""cordova-android""",669,,
"""cordova-android""",668,,
"""cordova-android""",664,,
"""cordova-android""",656,,
"""cordova-android""",655,,
"""cordova-android""",654,,
"""cordova-android""",642,,
"""cordova-android""",635,,
"""cordova-android""",632,,
"""cordova-android""",630,,
"""cordova-android""",626,,
"""cordova-android""",624,,
"""cordova-android""",620,,
"""cordova-android""",619,,
"""cordova-android""",612,https://github.com/apache/cordova-android/commit/0542c8c4f1e84b80547a59df197ab479749204cc,https://github.com/apache/cordova-android/commit/ff9e8bccfac137feb92c884ed356355899da8c5b
"""cordova-android""",607,https://github.com/apache/cordova-android/commit/1cce215ae3dd170c81679c05d2c7957595051188,https://github.com/apache/cordova-android/commit/6325ebf0d6779e8ff2ad84b8e7ae7c1b2cb75f30
"""cordova-android""",589,,
"""cordova-android""",582,,
"""cordova-android""",573,,
"""cordova-android""",572,,
"""cordova-android""",567,,
"""cordova-android""",566,,
"""cordova-android""",559,,
"""cordova-android""",558,,
"""cordova-android""",555,https://github.com/apache/cordova-android/commit/d0dbe86c6db4464f6426261c99727bab62dcf4b3,https://github.com/apache/cordova-android/commit/32e3eae83ef3c7513f0455f8c81b30843250ab91
"""cordova-android""",553,,
"""cordova-android""",551,,
"""cordova-android""",550,https://github.com/apache/cordova-android/commit/b9f7e6fdf5e839dba8d581a7e196b946b619fb4b,https://github.com/apache/cordova-android/commit/a67bc75b93f4630e3a5ef9b09ad1ed72aaaa0bbf
"""cordova-android""",544,,
"""cordova-android""",542,https://github.com/apache/cordova-android/commit/771cb307e71413f190cc31bbe8bcb8916b74b1d4,https://github.com/apache/cordova-android/commit/ef493b4c0f941812dd791eb85ae2d9fb0b2ecb2a
"""cordova-android""",538,,
"""cordova-android""",536,,
"""cordova-android""",523,,
"""cordova-android""",507,https://github.com/apache/cordova-android/commit/baf09c05f7fc8b123210bcec5c8808dbfc52cee5,https://github.com/apache/cordova-android/commit/47bb5184a048cefe54af95a6b3436b0c668f17a2
"""cordova-android""",496,,
"""cordova-android""",495,,
"""cordova-android""",493,,
"""cordova-android""",490,https://github.com/apache/cordova-android/commit/4d06957ad4f6e15cb5694c639b46460158dfd44b,https://github.com/apache/cordova-android/commit/1769a9db60b1e66270cf59e613378ab241f26a45
"""cordova-android""",487,,
"""cordova-android""",486,https://github.com/apache/cordova-android/commit/f4478aeffd269f72be7399aa6ac93a562909d524,https://github.com/apache/cordova-android/commit/e3eb9331823b0f090d1f93032d4f0726d12a764c
"""cordova-android""",470,,
"""cordova-android""",469,,
"""cordova-android""",467,,
"""cordova-android""",466,,
"""cordova-android""",465,https://github.com/apache/cordova-android/commit/3f38524bc196da8ca781eb818e5f77cb9b36fcc6,https://github.com/apache/cordova-android/commit/dacb0e5c721a7476b767261433fb96e7a7b6f088
"""cordova-android""",464,https://github.com/apache/cordova-android/commit/edb12ebc78d6a9a663f2c6383e3d4e925e713f5c,https://github.com/apache/cordova-android/commit/64aef328ebba7a0fa7729dd15fc2d7b3ccad6c6e
"""cordova-android""",463,https://github.com/apache/cordova-android/commit/f3d5899c1c4ca204c293cf16bbae7c5ede74b5e2,https://github.com/apache/cordova-android/commit/d26c1199ab728aea604bfa267e9560022f8137f9
"""cordova-android""",462,,
"""cordova-android""",461,https://github.com/apache/cordova-android/commit/1e012ec2577fd51ff7e82ca328922b679be2204e,https://github.com/apache/cordova-android/commit/4b0725dfc23540c8fb1e5c9000fa4ed13b7dfc4e
"""cordova-android""",460,,
"""cordova-android""",457,,
