repo,pr_number,before_commit,after_commit
"""cxf""",577,,
"""cxf""",575,,
"""cxf""",573,,
"""cxf""",572,https://github.com/apache/cxf/commit/5e5b50d8e7fcacc3b37b817aa794817e4d4a3473,https://github.com/apache/cxf/commit/ba10ce754950a30818feb052e6fcaacb20422105
"""cxf""",571,,
"""cxf""",570,,
"""cxf""",568,,
"""cxf""",567,,
"""cxf""",566,,
"""cxf""",565,,
"""cxf""",564,https://github.com/apache/cxf/commit/d966499f08abdc7709c9c2834723df22efe87600,https://github.com/apache/cxf/commit/8a4c09ff9cb1c8114ea338943932716d56b9c66b
"""cxf""",563,,
"""cxf""",562,,
"""cxf""",560,,
"""cxf""",559,,
"""cxf""",558,,
"""cxf""",557,,
"""cxf""",555,,
"""cxf""",554,,
"""cxf""",553,,
"""cxf""",552,,
"""cxf""",551,https://github.com/apache/cxf/commit/4de17fa134d08c9f6dc14de48a227aab2d5ef27e,https://github.com/apache/cxf/commit/1d1694a70c22d5dff10aebdae588d3dd1aff25e1
"""cxf""",549,,
"""cxf""",548,,
"""cxf""",547,,
"""cxf""",546,,
"""cxf""",545,,
"""cxf""",544,,
"""cxf""",542,https://github.com/apache/cxf/commit/65777fd20c789d70bf9c80fe381164ee9a989485,https://github.com/apache/cxf/commit/eebf1a7002694ded45360193d8c61b154733fd04
"""cxf""",540,https://github.com/apache/cxf/commit/f8b9169ca5386df35a0907536eeec5a1b18b96f4,https://github.com/apache/cxf/commit/4622bde7488652b4cf4e04784b4e28018d07f893
"""cxf""",539,,
"""cxf""",538,https://github.com/apache/cxf/commit/3438abc3c9a5d3b3713356a85b959a241ba9f170,https://github.com/apache/cxf/commit/8afce943e7d6d64ed3c5907d66f2cdc512a5bf63
"""cxf""",537,,
"""cxf""",536,https://github.com/apache/cxf/commit/ffb23ff7cad141cf9b4ddb5c58611435b0799506,https://github.com/apache/cxf/commit/89b734feaa1c2d35c782236d4b39ae216e742426
"""cxf""",535,,
"""cxf""",534,,
"""cxf""",533,https://github.com/apache/cxf/commit/e6c5adaff688c1cb3186b58158badaea44d90c03,https://github.com/apache/cxf/commit/7ca96dc252371844ff2e28d8c153c382ed37d6de
"""cxf""",531,https://github.com/apache/cxf/commit/20ec789f315fd153ea5e833c8d0d44fa3487d728,https://github.com/apache/cxf/commit/92c5a87077464d56dfa4090a9824e81e53634454
"""cxf""",530,https://github.com/apache/cxf/commit/32f7c2ad1f8569bbb9eae480a1fa36ed7816563e,https://github.com/apache/cxf/commit/5480eb2c1b5b8c26cc86d70a7d07d794c2144f1a
"""cxf""",529,https://github.com/apache/cxf/commit/6f8d23367342a334c47b533929706a5bc3c5deec,https://github.com/apache/cxf/commit/5610a4b45c6d9cc050cf133c2fd6fd6fc33caecc
"""cxf""",528,,
"""cxf""",527,,
"""cxf""",526,https://github.com/apache/cxf/commit/ad70b749e07cd38ac4baa8c2afce98bc190b5f7c,https://github.com/apache/cxf/commit/3484cce9c9290b43ea2465f96873ba3c323be7ee
"""cxf""",525,,
"""cxf""",523,,
"""cxf""",521,,
"""cxf""",520,,
"""cxf""",519,,
"""cxf""",518,,
"""cxf""",517,,
"""cxf""",516,,
"""cxf""",514,,
"""cxf""",512,,
"""cxf""",511,,
"""cxf""",510,,
"""cxf""",509,,
"""cxf""",508,,
"""cxf""",507,,
"""cxf""",506,,
"""cxf""",505,,
"""cxf""",504,,
"""cxf""",503,https://github.com/apache/cxf/commit/2f8cf2b4ac1120ea12fe42b6181ceca30cf417c6,https://github.com/apache/cxf/commit/23bd1b8a54ceefbd771108dfc815d61d7185a869
"""cxf""",502,,
"""cxf""",501,,
"""cxf""",499,https://github.com/apache/cxf/commit/9cfbfd6ed44f2ad31061fc89c28aa8327ca16802,https://github.com/apache/cxf/commit/f29e60b167440662b1406693cda4c44c06df78e7
"""cxf""",498,,
"""cxf""",497,https://github.com/apache/cxf/commit/9a46409c175eff8e57f49e48dc4883aa24f29109,https://github.com/apache/cxf/commit/632373f38c25be824d017e7515d5b26d00dd2b19
"""cxf""",496,,
"""cxf""",495,,
"""cxf""",494,,
"""cxf""",493,,
"""cxf""",491,https://github.com/apache/cxf/commit/3b66c1b1653f862d591f93c2ca23fbd2e6fe9ea7,https://github.com/apache/cxf/commit/e556877ba311c644178c34318b658711ef25e945
"""cxf""",490,,
"""cxf""",489,,
"""cxf""",488,,
"""cxf""",487,https://github.com/apache/cxf/commit/5d95c1e75b2c195e6ebafb94e2d393df15a8741a,https://github.com/apache/cxf/commit/791461c6f957ebd466b432c354c15e91500cf463
"""cxf""",486,,
"""cxf""",485,,
"""cxf""",484,,
"""cxf""",483,,
"""cxf""",482,https://github.com/apache/cxf/commit/e4a08baf4d3a29a951309dcb1626eb99e72f81a6,https://github.com/apache/cxf/commit/5a5d6eab2748d03508d51ee036701244ad0cfe25
"""cxf""",481,,
"""cxf""",480,https://github.com/apache/cxf/commit/d5dd865f9216e2a9b818a1dab19180b2bf8bb299,https://github.com/apache/cxf/commit/df66817b837d118f49b4790a04a35602db8f0187
"""cxf""",479,,
"""cxf""",478,,
"""cxf""",477,https://github.com/apache/cxf/commit/61c2932cfc97bcf116df99c7c2dad3fc40533db1,https://github.com/apache/cxf/commit/d1994244e1984b7adc2af17a65a43f52829497ec
"""cxf""",475,,
"""cxf""",474,,
"""cxf""",473,https://github.com/apache/cxf/commit/49d313e13d5c05aebb17c4f5276f17fbcf3df835,https://github.com/apache/cxf/commit/00d3ee2de62715fc99daefdcbdd987f1c4e85823
"""cxf""",472,,
"""cxf""",466,,
"""cxf""",464,,
"""cxf""",463,,
"""cxf""",462,,
"""cxf""",461,,
"""cxf""",460,,
"""cxf""",458,,
"""cxf""",457,https://github.com/apache/cxf/commit/b6b04300605c57c1dc891153807bbc666aba8c00,https://github.com/apache/cxf/commit/364b03d6f8362c228a5b0c18e77fde73c196a544
"""cxf""",455,,
"""cxf""",454,,
"""cxf""",453,https://github.com/apache/cxf/commit/07691b0b8fb4ae8ea550a1aa78e9744729c06193,https://github.com/apache/cxf/commit/1bf8bb9552afd157de39e013bb7b9a25de1c20af
"""cxf""",451,,
"""cxf""",450,,
"""cxf""",449,,
"""cxf""",447,,
"""cxf""",444,,
"""cxf""",443,,
"""cxf""",442,,
"""cxf""",441,,
"""cxf""",440,,
"""cxf""",439,,
"""cxf""",438,,
"""cxf""",437,,
"""cxf""",436,,
"""cxf""",435,,
"""cxf""",434,,
"""cxf""",433,,
"""cxf""",432,https://github.com/apache/cxf/commit/306393180d952c7b446c3c5e19a8912912995bcd,https://github.com/apache/cxf/commit/182ca105e2d457eab58f0f08a1115179a9e7d6ff
"""cxf""",430,,
"""cxf""",429,,
"""cxf""",428,,
"""cxf""",427,,
"""cxf""",426,,
"""cxf""",425,,
"""cxf""",424,,
"""cxf""",423,,
"""cxf""",422,,
"""cxf""",421,https://github.com/apache/cxf/commit/8a2c9be8e3eb29389a896ad8f246740980ac6fcc,https://github.com/apache/cxf/commit/ed9eb32a0c02178b3e806cd9020175fa719c9cc5
"""cxf""",420,https://github.com/apache/cxf/commit/4bb715d94afc20e7f0714665e107d9a8c87f7bd2,https://github.com/apache/cxf/commit/01f4f0804b967bc54940b5219e362e49a812294a
"""cxf""",419,,
"""cxf""",418,,
"""cxf""",417,https://github.com/apache/cxf/commit/fecaf4612e6982e48278af212311474a8511d797,https://github.com/apache/cxf/commit/fd488d886a6c05e0e423292448adc7ffab57a88b
"""cxf""",415,https://github.com/apache/cxf/commit/4b810427a93f4b9519a65cd39406ff857099168e,https://github.com/apache/cxf/commit/bf27110c38e756b4c8231a5dde2946c26e887122
"""cxf""",413,,
"""cxf""",412,,
"""cxf""",411,,
"""cxf""",410,,
"""cxf""",408,https://github.com/apache/cxf/commit/463be260c1632b22c3179df20cb79c2561e1a5d5,https://github.com/apache/cxf/commit/f2f26ee61641ed7e2ce82e39373de6ba59c7455d
"""cxf""",407,https://github.com/apache/cxf/commit/988a9c46996e6c65453917c9e577c7211965d5c1,https://github.com/apache/cxf/commit/0f80a74e9b93c792bb367144e2ccb68dd18631af
"""cxf""",406,,
"""cxf""",405,https://github.com/apache/cxf/commit/8d4822380f55a747e3394f2faf1df818f825dfaa,https://github.com/apache/cxf/commit/23c2093dcaa4291fca9e8c26a6ad3dd027ca93bb
"""cxf""",404,,
"""cxf""",403,,
"""cxf""",402,,
"""cxf""",401,,
"""cxf""",399,,
