repo,pr_number,before_commit,after_commit
"""deltaspike""",93,,
"""deltaspike""",92,https://github.com/apache/deltaspike/commit/eca9541b3c2cdd38b769e5c89015db1bedd5dddc,https://github.com/apache/deltaspike/commit/ad9031482ece8df1cfe3649dd3a1ea94e775c06a
"""deltaspike""",91,,
"""deltaspike""",90,,
"""deltaspike""",88,,
"""deltaspike""",87,https://github.com/apache/deltaspike/commit/707c1fb5fcb3c99061bb98066cd1aa317d4d0aa8,https://github.com/apache/deltaspike/commit/2a4ecc1293dc2aa91927fdb36e2cedb047ff96a3
"""deltaspike""",86,,
"""deltaspike""",85,,
"""deltaspike""",84,,
"""deltaspike""",83,,
"""deltaspike""",76,,
"""deltaspike""",73,,
"""deltaspike""",72,,
"""deltaspike""",61,https://github.com/apache/deltaspike/commit/b3f6cb6ba87f177bfbc72ce7e63dd9508132541a,https://github.com/apache/deltaspike/commit/4c924c422352a96804ec382aeed29b79dc74c642
"""deltaspike""",59,https://github.com/apache/deltaspike/commit/0ab7e7043e0464e1ff66df8ed1f6a5ce9a021326,https://github.com/apache/deltaspike/commit/40d24ab50ad1660390d9b06bc5c6ac5cabd84329
"""deltaspike""",57,,
"""deltaspike""",51,,
"""deltaspike""",50,,
"""deltaspike""",49,https://github.com/apache/deltaspike/commit/1668ad9a5feca4371ec9ecf3de5654e2a96d542f,https://github.com/apache/deltaspike/commit/a05d9baaaf28f67a364682bc550a296ddcdb7c87
"""deltaspike""",47,https://github.com/apache/deltaspike/commit/930e34561c0f70d70b16a0bb60eb0ab7b474aa90,https://github.com/apache/deltaspike/commit/783f4d34e29554e47db5b49d7df702e94462e9d4
"""deltaspike""",42,,
"""deltaspike""",40,,
"""deltaspike""",35,,
"""deltaspike""",33,,
"""deltaspike""",32,https://github.com/apache/deltaspike/commit/00df37802d61fdd93cf477235daa82baf2ffe344,https://github.com/apache/deltaspike/commit/31b674d5bf3fe79d9d5fc037d3d5f10ac592adf3
"""deltaspike""",31,,
"""deltaspike""",30,https://github.com/apache/deltaspike/commit/4a15bdab09b0ea8f604a3cd00548d740dd74c483,https://github.com/apache/deltaspike/commit/d7210631b0e6f42dd33883155f0f467d6b15171a
"""deltaspike""",24,,
"""deltaspike""",22,,
"""deltaspike""",14,,
"""deltaspike""",7,,
