repo,pr_number,before_commit,after_commit
"""fineract-cn-demo-server""",29,,
"""fineract-cn-demo-server""",28,,
"""fineract-cn-demo-server""",27,,
"""fineract-cn-demo-server""",25,,
"""fineract-cn-demo-server""",24,,
"""fineract-cn-demo-server""",23,,
"""fineract-cn-demo-server""",21,,
"""fineract-cn-demo-server""",20,,
"""fineract-cn-demo-server""",17,,
"""fineract-cn-demo-server""",15,,
"""fineract-cn-demo-server""",13,,
"""fineract-cn-demo-server""",12,,
"""fineract-cn-demo-server""",11,,
"""fineract-cn-demo-server""",8,,
"""fineract-cn-demo-server""",6,,
"""fineract-cn-demo-server""",5,,
"""fineract-cn-demo-server""",4,,
"""fineract-cn-demo-server""",2,,
"""fineract-cn-demo-server""",1,,
