repo,pr_number,before_commit,after_commit
"""fineract""",627,,
"""fineract""",625,,
"""fineract""",624,,
"""fineract""",623,,
"""fineract""",621,,
"""fineract""",620,,
"""fineract""",618,,
"""fineract""",617,,
"""fineract""",616,,
"""fineract""",615,,
"""fineract""",614,https://github.com/apache/fineract/commit/7eeca32f54e7dbdabe109083a6ded1dab0877368,https://github.com/apache/fineract/commit/fa6794c22c9d0510aa5075d9bae891c844f99432
"""fineract""",613,https://github.com/apache/fineract/commit/f1d41de0b9d2b25deb1b8c12bea31e18c48cb334,https://github.com/apache/fineract/commit/0c2b1dc6dc7c9b1a703f6c2e7926efe4c9fb4990
"""fineract""",612,,
"""fineract""",611,,
"""fineract""",608,https://github.com/apache/fineract/commit/baa1d3004f9d791bad92cf94e46d7b528fe91a39,https://github.com/apache/fineract/commit/bcef09d7be729474a17618288554c593341441c5
"""fineract""",607,https://github.com/apache/fineract/commit/606763e9b10212d4b2c1553bd76face4e1975477,https://github.com/apache/fineract/commit/a87b3a0a4d6815d345650269c51fa146834625a9
"""fineract""",605,,
"""fineract""",604,,
"""fineract""",603,,
"""fineract""",602,https://github.com/apache/fineract/commit/396c1a9a6965ef172a63404f3deb7a538de8b218,https://github.com/apache/fineract/commit/7030f1fa4c963555efdbd0c53a156cce4b253748
"""fineract""",600,,
"""fineract""",599,,
"""fineract""",598,https://github.com/apache/fineract/commit/3bfa4b5e3731e16bcd9e2e070e37ec9fd78238a4,https://github.com/apache/fineract/commit/7b52fae3907609385ffc40cc6db413ec5386df74
"""fineract""",597,,
"""fineract""",596,,
"""fineract""",595,,
"""fineract""",594,,
"""fineract""",593,,
"""fineract""",591,https://github.com/apache/fineract/commit/7f61d92e685052bb152aaf2f43acdbe547573755,https://github.com/apache/fineract/commit/4bd29f9b4d528e25b4da0cbd7d57b86d8d0be57d
"""fineract""",590,,
"""fineract""",589,,
"""fineract""",587,,
"""fineract""",586,,
"""fineract""",585,,
"""fineract""",584,https://github.com/apache/fineract/commit/7c00549ab3777db2a42d314cdc6b356526c38fd9,https://github.com/apache/fineract/commit/86e105ff154c91f37c13b4040e3bb07e9f081198
"""fineract""",582,https://github.com/apache/fineract/commit/e4b879694343a3ba28f3c7177806c9feed2a9b0e,https://github.com/apache/fineract/commit/b8397a4304b54af99863b5386fde0cb909cae530
"""fineract""",581,,
"""fineract""",580,,
"""fineract""",573,,
"""fineract""",572,,
"""fineract""",565,,
"""fineract""",564,,
"""fineract""",563,https://github.com/apache/fineract/commit/b593b4a8cbd18bdda2eb877a8586efd826c9fb90,https://github.com/apache/fineract/commit/aab294f4a86fee2569e7728a97649708f39b1f48
"""fineract""",561,,
"""fineract""",558,,
"""fineract""",557,,
"""fineract""",556,https://github.com/apache/fineract/commit/83cd5597434eb5a112c50d35bdfede4e8fe07405,https://github.com/apache/fineract/commit/103b2cc9c7cdae94440e777a24352e810b3966a4
"""fineract""",553,,
"""fineract""",552,https://github.com/apache/fineract/commit/12eebcfb99e0a86f2a853db10b2bb50a832fcb36,https://github.com/apache/fineract/commit/b3320b739306736543031df84b2e4a289a30c743
"""fineract""",551,,
"""fineract""",549,,
"""fineract""",548,,
"""fineract""",547,,
"""fineract""",545,,
"""fineract""",543,,
"""fineract""",542,https://github.com/apache/fineract/commit/8fd535b58b340dfd2694210e523705da0a165a70,https://github.com/apache/fineract/commit/85de3db37da5a543c1056e463daceee03bb0cdd4
"""fineract""",540,,
"""fineract""",539,https://github.com/apache/fineract/commit/64115d5b3854b609536b8c336410407877395c92,https://github.com/apache/fineract/commit/dd09003f5f02801bf038cae0fb2d641b5e68a5d3
"""fineract""",538,,
"""fineract""",537,,
"""fineract""",536,,
"""fineract""",535,,
"""fineract""",534,,
"""fineract""",533,,
"""fineract""",532,,
"""fineract""",531,,
"""fineract""",530,,
"""fineract""",529,,
"""fineract""",528,,
"""fineract""",526,,
"""fineract""",525,https://github.com/apache/fineract/commit/bb51c9e396d65f1b6af251e36a280ed3255830b9,https://github.com/apache/fineract/commit/9a4cb83bd5d65314b6a1c897999c4fb0898e4368
"""fineract""",521,,
"""fineract""",520,,
"""fineract""",519,https://github.com/apache/fineract/commit/748a5f498ad296822b401c1d91e7ad93d8a4f448,https://github.com/apache/fineract/commit/0afd693d0b2e4d5017a9783fecca4a602534727d
"""fineract""",518,https://github.com/apache/fineract/commit/369503907ff0b4760e7d33f529178c4933dc78d7,https://github.com/apache/fineract/commit/833f6f5c2636703a04bf7b7b9a3bb107b458312f
"""fineract""",516,,
"""fineract""",511,,
"""fineract""",509,,
"""fineract""",508,,
"""fineract""",507,https://github.com/apache/fineract/commit/d789427c7ad35dc5e64eb3d75ca671669b50184c,https://github.com/apache/fineract/commit/3a67d013056c79694a81c6184e9580e85403bbdf
"""fineract""",506,,
"""fineract""",505,,
"""fineract""",503,,
"""fineract""",501,,
"""fineract""",500,,
"""fineract""",499,,
"""fineract""",498,,
"""fineract""",497,,
"""fineract""",496,,
"""fineract""",495,,
"""fineract""",494,https://github.com/apache/fineract/commit/ddb71df96f98e3f1871aa9829b06b9a12cf03783,https://github.com/apache/fineract/commit/a14918545900f1af2ebac4404d3efbdac8e236f7
"""fineract""",493,https://github.com/apache/fineract/commit/5a3e7bdbe6e0c8bb65b2638ab475e5c4b013e6f6,https://github.com/apache/fineract/commit/1ec13dd0efba4add1be940089b5949a1615a59e4
"""fineract""",490,,
"""fineract""",489,https://github.com/apache/fineract/commit/13b2e944ec846586d607fde53695139534b50727,https://github.com/apache/fineract/commit/15cb800609b87a9e51cfc141abe6ea9b1e48abb9
"""fineract""",488,,
"""fineract""",486,,
"""fineract""",485,https://github.com/apache/fineract/commit/24f8cd8c5b3e4d6514d2da26f7409f10f7714dfb,https://github.com/apache/fineract/commit/ec3ae1449c8379c8d59f1c6866976785d8d5d84a
"""fineract""",484,https://github.com/apache/fineract/commit/3166a0afb3e1013113f634627e538ca8f8a5ee48,https://github.com/apache/fineract/commit/be49522fb3fd90ca24384ea1f38a6c829448e120
"""fineract""",483,https://github.com/apache/fineract/commit/a2c0e88e245ccc90e26cd2912a9a09d0b3b42cc0,https://github.com/apache/fineract/commit/3105ec043998da5a8a26806dcf145f38e5387c39
"""fineract""",481,,
"""fineract""",480,,
"""fineract""",479,https://github.com/apache/fineract/commit/0c75c2bcfbb88c8cea5837a621551fa90d294982,https://github.com/apache/fineract/commit/11b629635272dffc7f7c7f4d5457dcd2cb70c2e6
"""fineract""",478,https://github.com/apache/fineract/commit/44ec1eaf527a8182c90de67e5b8625524bc0f5d6,https://github.com/apache/fineract/commit/6ded9eb75099fd540b3ed9567ed1ea824054df17
"""fineract""",477,,
"""fineract""",476,,
"""fineract""",475,,
"""fineract""",474,,
"""fineract""",472,,
"""fineract""",471,https://github.com/apache/fineract/commit/483a7f129a84d09055740ffbcadadcd100c6b212,https://github.com/apache/fineract/commit/ec57197809c6635b224c5294f12ef0ea1ffb0996
"""fineract""",470,,
"""fineract""",467,,
"""fineract""",466,,
"""fineract""",461,,
"""fineract""",458,https://github.com/apache/fineract/commit/f7df2d701cefa99354428bd4ffe348f4b4f0f87b,https://github.com/apache/fineract/commit/eeb68c3dbd283c2852db0a3b2b6cdb13acc0af34
"""fineract""",457,,
"""fineract""",455,,
"""fineract""",454,https://github.com/apache/fineract/commit/5545c291da527ff94c0a7eb3d756f74c80e8773e,https://github.com/apache/fineract/commit/e8ad0736ba5b620a71ae9e86b24eef356c173b68
"""fineract""",452,https://github.com/apache/fineract/commit/826a62f69d97463cf13a34fa79156a14564d5000,https://github.com/apache/fineract/commit/fbf9d1e7d0fe2d3b9519f2e9ffe1785c04009473
"""fineract""",451,,
"""fineract""",450,,
"""fineract""",449,,
"""fineract""",448,,
"""fineract""",447,,
"""fineract""",443,,
"""fineract""",441,,
"""fineract""",440,,
"""fineract""",439,,
"""fineract""",438,,
"""fineract""",437,,
"""fineract""",436,,
"""fineract""",432,,
"""fineract""",428,,
"""fineract""",426,,
"""fineract""",425,,
"""fineract""",423,,
"""fineract""",422,,
"""fineract""",421,,
"""fineract""",420,,
"""fineract""",415,https://github.com/apache/fineract/commit/a741231976d9ea55de726f131a8eb59c7800ce9a,https://github.com/apache/fineract/commit/210647d4158f8bffe49708a22efebd0ab500244e
"""fineract""",414,,
"""fineract""",413,,
"""fineract""",412,,
"""fineract""",411,,
"""fineract""",409,,
"""fineract""",406,https://github.com/apache/fineract/commit/34450dae807c911a12be862e131be3a11bcb74e1,https://github.com/apache/fineract/commit/d857d8b47a2f283849c59eb086f98a9be95512a6
"""fineract""",404,https://github.com/apache/fineract/commit/434616619f7864cc2389038ca6c3049b53705ddf,https://github.com/apache/fineract/commit/df16dc3cadb35f0552395d2741b63382701b6f3f
"""fineract""",399,,
