repo,pr_number,before_commit,after_commit
"""hadoop""",1400,,
"""hadoop""",1393,,
"""hadoop""",1384,,
"""hadoop""",1382,,
"""hadoop""",1379,,
"""hadoop""",1374,,
"""hadoop""",1372,,
"""hadoop""",1371,https://github.com/apache/hadoop/commit/1866fe05f62f3337cf419c0df15b269f93aac283,https://github.com/apache/hadoop/commit/687b4d040e92a73f9514da29cfb8c3526e09c480
"""hadoop""",1367,,
"""hadoop""",1366,https://github.com/apache/hadoop/commit/a53852022e86910624dc92298befc9d8bc246666,https://github.com/apache/hadoop/commit/d2179826394bbd5dbb5c258b36e70db7ae7955a7
"""hadoop""",1363,,
"""hadoop""",1362,,
"""hadoop""",1356,,
"""hadoop""",1354,,
"""hadoop""",1353,,
"""hadoop""",1352,,
"""hadoop""",1346,,
"""hadoop""",1338,,
"""hadoop""",1336,,
"""hadoop""",1335,,
"""hadoop""",1334,,
"""hadoop""",1333,,
"""hadoop""",1328,,
"""hadoop""",1327,,
"""hadoop""",1326,https://github.com/apache/hadoop/commit/1d8277d68a01e227fd691c56730445bc84b8c964,https://github.com/apache/hadoop/commit/54d80da9040063c23d5dc8185d79c27d627efba4
"""hadoop""",1323,https://github.com/apache/hadoop/commit/5a237566095c5c10ea10631b3cf79076b7613979,https://github.com/apache/hadoop/commit/4c684691b9d083499f801799a56a76a2e3342115
"""hadoop""",1319,,
"""hadoop""",1318,https://github.com/apache/hadoop/commit/9601b972ce56cfd03336d04d115b0d597605bba7,https://github.com/apache/hadoop/commit/bd7baea5a5d4ff351645e34c0ef09b7ba82f4285
"""hadoop""",1316,,
"""hadoop""",1315,https://github.com/apache/hadoop/commit/985653a6625b04028d5d8c25f650eeddcb45843c,https://github.com/apache/hadoop/commit/613731b1904f48efc4ba52b181f36adcdad57ad2
"""hadoop""",1314,https://github.com/apache/hadoop/commit/dce04f7cf573da3054431bcfc8f857c4502d24fb,https://github.com/apache/hadoop/commit/b31a0ca6fca820224359c7443088aa60118f93fa
"""hadoop""",1312,,
"""hadoop""",1311,,
"""hadoop""",1310,,
"""hadoop""",1308,,
"""hadoop""",1306,,
"""hadoop""",1305,,
"""hadoop""",1304,,
"""hadoop""",1303,,
"""hadoop""",1301,,
"""hadoop""",1296,,
"""hadoop""",1293,,
"""hadoop""",1291,,
"""hadoop""",1286,https://github.com/apache/hadoop/commit/a935251a2178d4cdfe1b3b87c3af419e0babc5f9,https://github.com/apache/hadoop/commit/87f0977353601478e5ea9fa97e60d659cc014616
"""hadoop""",1282,,
"""hadoop""",1275,,
"""hadoop""",1274,,
"""hadoop""",1269,,
"""hadoop""",1267,,
"""hadoop""",1266,,
"""hadoop""",1262,,
"""hadoop""",1261,https://github.com/apache/hadoop/commit/f618b0dbba1c9a5a3e045d2502087ef05cc85a6c,https://github.com/apache/hadoop/commit/4bae9c5a776df5a0fd0453d9a631119bb8ea198d
"""hadoop""",1260,,
"""hadoop""",1259,,
"""hadoop""",1258,,
"""hadoop""",1257,https://github.com/apache/hadoop/commit/14c7a7897bd9066a53ec86bde7e058d8e35d3554,https://github.com/apache/hadoop/commit/b73c0d35ed6eaea78e4e3d8925c15dfa33623011
"""hadoop""",1255,https://github.com/apache/hadoop/commit/12bb3d9564ef985921e43690f0c8d30f9346ab24,https://github.com/apache/hadoop/commit/4531757c73378ea29d8efff9e728ea9d63a11e57
"""hadoop""",1254,,
"""hadoop""",1252,,
"""hadoop""",1251,,
"""hadoop""",1248,,
"""hadoop""",1246,,
"""hadoop""",1244,,
"""hadoop""",1240,,
"""hadoop""",1238,,
"""hadoop""",1236,,
"""hadoop""",1230,https://github.com/apache/hadoop/commit/34b13cf816cac0fd321c2be37d36d0b17c283d53,https://github.com/apache/hadoop/commit/f2fe6d20d4896eb36da47e3535716b581f1fe156
"""hadoop""",1228,,
"""hadoop""",1227,,
"""hadoop""",1225,https://github.com/apache/hadoop/commit/476407f8ad9e5c88c162f11ff8214190c1727a49,https://github.com/apache/hadoop/commit/9a74db96618928408581d59bb1cfeb7062b03951
"""hadoop""",1220,,
"""hadoop""",1219,https://github.com/apache/hadoop/commit/338776d06cc9bd46d1cb99575e99e8fdcbd128f4,https://github.com/apache/hadoop/commit/f90c794398179fbebe3a5cf4fb2883a540e9d954
"""hadoop""",1216,,
"""hadoop""",1214,,
"""hadoop""",1212,,
"""hadoop""",1209,,
"""hadoop""",1206,,
"""hadoop""",1204,https://github.com/apache/hadoop/commit/032796880a8c35b7d7210995231e12d811108369,https://github.com/apache/hadoop/commit/b415eeae1c7a24ff73d2f6c63fe5375c7add1588
"""hadoop""",1202,https://github.com/apache/hadoop/commit/3b92faaecd830b85c92f2ab092205c003fe1726a,https://github.com/apache/hadoop/commit/0e7273cd760105dbdf6ae2b6cba7581e7fdcb579
"""hadoop""",1201,,
"""hadoop""",1200,,
"""hadoop""",1199,,
"""hadoop""",1197,,
"""hadoop""",1196,https://github.com/apache/hadoop/commit/606ea75ffa54ab41f29b4ae2d3cd4dee2f3de6ba,https://github.com/apache/hadoop/commit/7e00a5ac7d9b87bb520d21bdc37c60aa4f9d06e7
"""hadoop""",1195,https://github.com/apache/hadoop/commit/a715455619325a27f7b7f0328022ed471a9ef05f,https://github.com/apache/hadoop/commit/d8db7c096017344b3adba087f2381971a2ecfb39
"""hadoop""",1192,,
"""hadoop""",1190,,
"""hadoop""",1189,,
