repo,pr_number,before_commit,after_commit
"""hbase-operator-tools""",22,https://github.com/apache/hbase-operator-tools/commit/7c909b59361d6e6af8c2ab35cd2e6ec2abe327e1,https://github.com/apache/hbase-operator-tools/commit/485f1b2635057d528b18a30f350cca96eec627fd
"""hbase-operator-tools""",21,,
"""hbase-operator-tools""",20,,
"""hbase-operator-tools""",19,,
"""hbase-operator-tools""",15,,
"""hbase-operator-tools""",14,https://github.com/apache/hbase-operator-tools/commit/c5524eb1aec314d13ae369ca3412805a503ceeaa,https://github.com/apache/hbase-operator-tools/commit/cb0b3272fbc3949ef9e09dd2038c85d21d47a46c
"""hbase-operator-tools""",13,https://github.com/apache/hbase-operator-tools/commit/2071230eedff3139a48a7a9b96f2663d57d2d17e,https://github.com/apache/hbase-operator-tools/commit/14ff7685612be8845c29e58154e86c8095abcb44
"""hbase-operator-tools""",12,,
"""hbase-operator-tools""",11,https://github.com/apache/hbase-operator-tools/commit/aa58ca9c07b50a030a5a0d6b0defc517f599b74d,https://github.com/apache/hbase-operator-tools/commit/d27eed100af70bf1186310148ed825ed98cf1dc8
"""hbase-operator-tools""",10,https://github.com/apache/hbase-operator-tools/commit/9c59c6b2ce3cefd04ce0c0f951e7114a46bd0175,https://github.com/apache/hbase-operator-tools/commit/bc6d53beaac17075267c653180216fbec0d6a4b7
"""hbase-operator-tools""",8,https://github.com/apache/hbase-operator-tools/commit/1583e5a8ba522bd752315d288b6aa8b72d363f0b,https://github.com/apache/hbase-operator-tools/commit/344ba4b67a333cd11894d158f4f177141fe5fa3e
"""hbase-operator-tools""",7,,
"""hbase-operator-tools""",6,https://github.com/apache/hbase-operator-tools/commit/974c4883181414644691645dc827f009d4dfb3b9,https://github.com/apache/hbase-operator-tools/commit/77e99a9c4958002d9ba4c3f8835cfc2a4600e3ad
"""hbase-operator-tools""",2,,
"""hbase-operator-tools""",1,,
