repo,pr_number,before_commit,after_commit
"""hbase""",582,,
"""hbase""",576,https://github.com/apache/hbase/commit/122d1ac893e408a4360787cd13ff1bfd5c394696,https://github.com/apache/hbase/commit/b9d382d59a8180630629e64ab9452c39d1ba0420
"""hbase""",575,,
"""hbase""",569,,
"""hbase""",568,https://github.com/apache/hbase/commit/7a8c569723a6f6f8487bcb1ccd3595a814e15376,https://github.com/apache/hbase/commit/c225d265e455c1bec0a7b45dbcdd11b82ded0d12
"""hbase""",567,,
"""hbase""",564,,
"""hbase""",562,https://github.com/apache/hbase/commit/210e9783ef83997641a347fc9dce47a14f65bc5c,https://github.com/apache/hbase/commit/1df9167a3ee406e8a00ccb7f43a769cc3b16db46
"""hbase""",561,https://github.com/apache/hbase/commit/5a9f44f3e4d976b0d8d514b8c743d50ac69d2f9c,https://github.com/apache/hbase/commit/cbb75f93810a8f46d2d9f47fe6d013fa487fc2b6
"""hbase""",560,,
"""hbase""",558,,
"""hbase""",556,,
"""hbase""",555,https://github.com/apache/hbase/commit/c35b9daf11903b429c198670a76db713730ef0a7,https://github.com/apache/hbase/commit/25e7e455f21b184f15ad7341caa94c6e241267cf
"""hbase""",551,https://github.com/apache/hbase/commit/23f337833525989446fbbe31ec41d59e3a141218,https://github.com/apache/hbase/commit/9d5582fe24bed2880267848001133748ff0aad22
"""hbase""",550,,
"""hbase""",549,https://github.com/apache/hbase/commit/2cf3052f4acf71d627c950569b3ea8e33780ddc8,https://github.com/apache/hbase/commit/accfd9ab421977b30242ab021df67fe5a4fdcfc8
"""hbase""",548,,
"""hbase""",546,,
"""hbase""",545,,
"""hbase""",542,,
"""hbase""",541,,
"""hbase""",538,,
"""hbase""",537,https://github.com/apache/hbase/commit/8eeae39929bcd96baa91dc7fba19e82e83c78172,https://github.com/apache/hbase/commit/5a39fe45c9f27574e9fb04a53334b4ab77374f8f
"""hbase""",536,https://github.com/apache/hbase/commit/3fdc92b87d1318a048d313460dae69eff19c7328,https://github.com/apache/hbase/commit/f49dc555758c008f92ee49f0cce33c7edabd038b
"""hbase""",534,,
"""hbase""",532,,
"""hbase""",531,,
"""hbase""",530,,
"""hbase""",529,,
"""hbase""",527,,
"""hbase""",526,,
"""hbase""",521,,
"""hbase""",520,,
"""hbase""",519,,
"""hbase""",518,,
"""hbase""",517,,
"""hbase""",513,https://github.com/apache/hbase/commit/a01d54cf6719cd43a49a380cc5d2d02de1c538c4,https://github.com/apache/hbase/commit/55ad514cb050bb27bcd62a0c575202d14a1883c1
"""hbase""",512,,
"""hbase""",511,https://github.com/apache/hbase/commit/58032463e198131ab3895cb8d47e877628437c1f,https://github.com/apache/hbase/commit/01eeee5d516212df594af5691d32653063ee296b
"""hbase""",510,https://github.com/apache/hbase/commit/4888d54b9a2fcaadc072198cf31324dadfa37bc3,https://github.com/apache/hbase/commit/2f3708b86c6fab8e44e87ff60bc97b2533f53c95
"""hbase""",508,,
"""hbase""",507,,
"""hbase""",506,,
"""hbase""",505,https://github.com/apache/hbase/commit/1e8f7d07066c5ba24418f86dca65b51c7c105a40,https://github.com/apache/hbase/commit/3251c54311a7d6644c4695df2f72e079c6b0260c
"""hbase""",504,https://github.com/apache/hbase/commit/70b59b7c3779b5c0fd2d5fda8cf20ac82ea2339f,https://github.com/apache/hbase/commit/bbb07e4f70e473da0c0fc6890cfdce812c67aac1
"""hbase""",503,https://github.com/apache/hbase/commit/4d235ff06d75c1bf61f804485d9321d1bf5f6ff1,https://github.com/apache/hbase/commit/5810c5aaa0c4f13ede6d7a65d3fe837b7d3010a5
"""hbase""",500,,
"""hbase""",499,,
"""hbase""",498,https://github.com/apache/hbase/commit/f9d8f6ebfe59c7557c713abee3b8cddfe4361cf0,https://github.com/apache/hbase/commit/e42105cd2c1fadeb0aaa0247be578a5d03bc7939
"""hbase""",497,,
"""hbase""",496,,
"""hbase""",495,https://github.com/apache/hbase/commit/14e3d6bef7d2cc03205764082e799c1ab557cf84,https://github.com/apache/hbase/commit/4964a908646a9717b9a228a4a447b22ab80393e0
"""hbase""",493,,
"""hbase""",492,,
"""hbase""",491,,
"""hbase""",490,,
"""hbase""",489,,
"""hbase""",487,https://github.com/apache/hbase/commit/a98bd496a48541c1c29a30c31956dd7f2093d3c1,https://github.com/apache/hbase/commit/53692f382cbeefd8923b4538ac8dfc9b3a809602
"""hbase""",486,https://github.com/apache/hbase/commit/8e653ca7ccef658ef0d71dc3a4e779d9e1b74a37,https://github.com/apache/hbase/commit/c0654ecc61eb35de98247465d67388e0e035c00c
