repo,pr_number,before_commit,after_commit
"""helix""",448,,
"""helix""",446,,
"""helix""",440,https://github.com/apache/helix/commit/b6bbf69fac4ef0a1a5110bac5fd64b2018404af2,https://github.com/apache/helix/commit/75001a6f02a59b08550f02b1ea825aba7a3fc5b0
"""helix""",439,,
"""helix""",438,,
"""helix""",437,,
"""helix""",432,,
"""helix""",431,https://github.com/apache/helix/commit/30c0438264ed0d99cc8215a7031338064dae7fad,https://github.com/apache/helix/commit/68890259a034f9b7eda8fa157ddb5ed88c6c6b04
"""helix""",428,,
"""helix""",422,https://github.com/apache/helix/commit/1e6511a11bb054c28812fdf29424f99ff8553f8b,https://github.com/apache/helix/commit/d2a476b56456596a35e1459d6233de71d7bc850f
"""helix""",418,,
"""helix""",417,https://github.com/apache/helix/commit/dcfd2593c87adb14cd7a7c749a456b45a8f30307,https://github.com/apache/helix/commit/5d9c895dc74ac132ea8568b9c8869a067137a73c
"""helix""",414,,
"""helix""",413,https://github.com/apache/helix/commit/dff4aca39f51d28fc5211b19d4cdc8f7d6789239,https://github.com/apache/helix/commit/528dec0039d16cd21c1635e3329803274ecc1e57
"""helix""",410,https://github.com/apache/helix/commit/1f5b9946426457a044a1ab8960dcb19b6bae6460,https://github.com/apache/helix/commit/8ecc353a3712969ce332af0deb1e3fa2aa516483
"""helix""",406,,
"""helix""",405,https://github.com/apache/helix/commit/314e96bb07d67669ccb8081c526a125766ea918d,https://github.com/apache/helix/commit/b3da4e0b198c61c20a5eb1f2b16d65455bd7311d
"""helix""",404,,
"""helix""",403,,
"""helix""",400,https://github.com/apache/helix/commit/76401f6393c7d2140c2f892d8bfbd7441d087851,https://github.com/apache/helix/commit/b71c43a3feef8e66884b721f07d43a365c9b8b92
"""helix""",399,,
"""helix""",398,,
"""helix""",395,,
"""helix""",393,https://github.com/apache/helix/commit/bfc3d4c01ad425061a497b2e60c5a0ae47f0626f,https://github.com/apache/helix/commit/6b67c0cbc8761e8b93244f5c2339ffe8f8e05f6d
"""helix""",392,https://github.com/apache/helix/commit/7e6de758c15c8e1db442db18e17ed5594473ff62,https://github.com/apache/helix/commit/34cfa1534e5007bc434bc3c2af01fc96adbc2021
"""helix""",391,https://github.com/apache/helix/commit/62f15955d3af346de487ba96054f8610821cadf5,https://github.com/apache/helix/commit/314e96bb07d67669ccb8081c526a125766ea918d
"""helix""",388,https://github.com/apache/helix/commit/7bfd62a47a7fd16c2c1e98b90791df9b46f624f9,https://github.com/apache/helix/commit/3b296c1421d06180a8f971ed81587c552b7d1402
"""helix""",379,https://github.com/apache/helix/commit/90c6bb2bab6687bc2b1290cc7eeaccc0d046ebec,https://github.com/apache/helix/commit/660174186b4d2ef9ddf47cb8def071fc975f27f5
"""helix""",378,https://github.com/apache/helix/commit/e4af1cdb217b34e7ce9c18ac28fb94427b6fc267,https://github.com/apache/helix/commit/dbbc36d412875c6b556e94d2d007461f7e5f1dda
"""helix""",376,https://github.com/apache/helix/commit/656437224f7aa495f51d33ccc22855e49ea513d0,https://github.com/apache/helix/commit/78d9eafbb11b6024a514915261ae5f527343ab25
"""helix""",374,https://github.com/apache/helix/commit/e148efe939914a96560752020b02e7571e6d53cf,https://github.com/apache/helix/commit/cf1281cc581a7183d8a7dc964467345ed70e9c47
"""helix""",373,,
"""helix""",371,https://github.com/apache/helix/commit/826495e17122e60323b825aa2063e0e3ef27dc5c,https://github.com/apache/helix/commit/da110ab56abd8f7e13ba650c632ceedd74bf0d81
"""helix""",365,https://github.com/apache/helix/commit/e3b0d814057d5dd907f58ca2c1b99648ceefe36e,https://github.com/apache/helix/commit/00573531cb402e42ca71080913bb5c6f7c4bc322
"""helix""",363,https://github.com/apache/helix/commit/9efc66375009b680d772efcb5c684d2de13a70ba,https://github.com/apache/helix/commit/9d8cbff7f375e190552cb4ee077d95c4eed1bec7
"""helix""",362,https://github.com/apache/helix/commit/f4756b24d43e5b0ea7c25828d112d0d1a4accba8,https://github.com/apache/helix/commit/0b881f1a851adc306bce58af11dd2fca9321790d
"""helix""",360,https://github.com/apache/helix/commit/4b01c4dcc4c51db885ebf1fdd28ab64d395c953f,https://github.com/apache/helix/commit/1dfa0ae4dbcaedbf5fff77c239a33bf190dcd339
"""helix""",359,https://github.com/apache/helix/commit/fd4086df320480a4e22aadc8fc1e086d12aa7f16,https://github.com/apache/helix/commit/a040780bf04c71f89bcc2ffcafb92e6a51719f2a
"""helix""",356,https://github.com/apache/helix/commit/0a40681a2dde52a33637ba3963aa1aa651e08390,https://github.com/apache/helix/commit/3da73196cc00be9c4b2727889d658ce130bab9d7
"""helix""",355,https://github.com/apache/helix/commit/b330510cf3c416b7f95e0b5f888fbb5ef19694c7,https://github.com/apache/helix/commit/6a30fd1d6ae5ed345f96e9b892e6e0ac69f2eaff
"""helix""",348,https://github.com/apache/helix/commit/231d76d287bad3ee0ec2d03004d729e9fbe00fa6,https://github.com/apache/helix/commit/432b06cd34bdfd9282387eb7b0d606be30b8d947
"""helix""",341,https://github.com/apache/helix/commit/d2c41be84de1fddd2906f79534a2fee4c2bbf3c3,https://github.com/apache/helix/commit/65362c3de2874fa2a8d3ca08bbc6d5604a5ec301
"""helix""",339,https://github.com/apache/helix/commit/dc0413cbfd00d7324169583554399b99b1a605ac,https://github.com/apache/helix/commit/92f2ae39794f2bdd9b49864a765dfc9bbd593452
"""helix""",337,,
"""helix""",336,https://github.com/apache/helix/commit/4e9f2a92c1ee231d6d47bbc24919cad383884a40,https://github.com/apache/helix/commit/07096bdf6066c6d0c3767b914c767f1b4c42413a
"""helix""",333,https://github.com/apache/helix/commit/86735e725ec6fefb16978541f3501a887061d92c,https://github.com/apache/helix/commit/f368ca61d6368edb5dda8349a7b8c18a9d1d7d93
"""helix""",329,https://github.com/apache/helix/commit/56681dd61bac2ffb6737d1ca478bb819a80ba866,https://github.com/apache/helix/commit/e7f59accd3683624c60d9558d1fcc6d15124e6d2
"""helix""",318,,
"""helix""",317,,
"""helix""",316,,
"""helix""",315,https://github.com/apache/helix/commit/5d9c53a3e702f4f494eb7d1235c2b8efb21fe621,https://github.com/apache/helix/commit/480db5cd18f880950a98f29f99c08515b181e0e9
"""helix""",314,https://github.com/apache/helix/commit/4800302e2eec9cc6f77f4a57df6542d825ae5fe5,https://github.com/apache/helix/commit/e8fb0ad332cf9371ed7b7a084961c0d637ba5207
"""helix""",313,https://github.com/apache/helix/commit/9109ea9ef1c7116f9894443b9bed45eb11ad65c5,https://github.com/apache/helix/commit/ce9a66256d386ceb5a532056896ac6f6f405abe6
"""helix""",312,https://github.com/apache/helix/commit/014b1d242205b89434403f7792dbda7564b3cb0e,https://github.com/apache/helix/commit/4ecd923f279a53554fc66e9a71356af2f125c451
"""helix""",311,,
"""helix""",310,,
"""helix""",309,https://github.com/apache/helix/commit/d894e39f717a728293b211959c4025360a0f0aac,https://github.com/apache/helix/commit/07168eee784751661c298f888321c1493df1a46a
"""helix""",307,,
"""helix""",306,,
"""helix""",304,,
"""helix""",303,,
"""helix""",302,,
"""helix""",301,https://github.com/apache/helix/commit/9154843b7e67e04a3c11b86d3b22b00579f93110,https://github.com/apache/helix/commit/de7db2a6cd43b0688e6755866628bd943bb02f78
"""helix""",298,https://github.com/apache/helix/commit/2fc722a779035b3bd94fa9c5b53a0cda4035eb55,https://github.com/apache/helix/commit/319415442b58d4bab4cdea19f9563fbd3b6728b9
"""helix""",297,https://github.com/apache/helix/commit/24800583ccac15b9c5f5fb74d21937d4b7b423e6,https://github.com/apache/helix/commit/8c8f79c5e545818c0e4478addea453fc42b6d003
"""helix""",296,,
"""helix""",295,,
"""helix""",293,,
"""helix""",292,https://github.com/apache/helix/commit/37a58cfff91fb5f6608a4a06d1922bb5a5eb9ca1,https://github.com/apache/helix/commit/ccf263c9110fa5af54f1c1cabd8b5a2af64d473e
"""helix""",291,https://github.com/apache/helix/commit/43bbc6454ab785a998936b5638c012c1a0076969,https://github.com/apache/helix/commit/45009e2c48289fce825075e276aebc064ef195c2
"""helix""",290,https://github.com/apache/helix/commit/aa1c9ff50975b53d80ba67cd8bdeb51fe782d73d,https://github.com/apache/helix/commit/43555ff0d8cae917accac201e13bafdaf6d32370
"""helix""",289,,
"""helix""",288,,
"""helix""",287,,
"""helix""",286,https://github.com/apache/helix/commit/2b4f533e108f825d51498ef4b7fb44b76160224c,https://github.com/apache/helix/commit/71e4b6a66af1ae56a3667d5f6f5ca7ac63080997
"""helix""",285,,
"""helix""",284,,
"""helix""",283,,
"""helix""",282,,
"""helix""",281,https://github.com/apache/helix/commit/917f6b7ee1b2b44b10eea7e5de7f07aa7f184618,https://github.com/apache/helix/commit/566d4f166473b477ea0db1cfba5d04c8f3d6bf30
"""helix""",280,https://github.com/apache/helix/commit/df24f5975bd517626490f14e6e038f8370ddd815,https://github.com/apache/helix/commit/0c251bbf640206729755301c3dda734eea78343f
"""helix""",279,,
"""helix""",278,,
"""helix""",277,https://github.com/apache/helix/commit/7bc70e24abd89611580098670ed02b2736ccfac0,https://github.com/apache/helix/commit/cf010f90426003dab7e713945c2c9daa23ffed13
"""helix""",276,,
"""helix""",275,,
"""helix""",273,https://github.com/apache/helix/commit/c6a3d3b9881cc16e525a7a57f8b99237c669f406,https://github.com/apache/helix/commit/b64a72c48ee393619da518fcb4ab96d2106ad22d
"""helix""",272,,
"""helix""",270,https://github.com/apache/helix/commit/d501e8fa30596d9cd98078f0d1ce7c1ecf20c595,https://github.com/apache/helix/commit/67ff66b4897309c785b8b42863e95734eba81aab
"""helix""",268,https://github.com/apache/helix/commit/366b25a462032a1b22ed8d25430a561dbc2f332e,https://github.com/apache/helix/commit/11b721350091247cd3aa9716345ebdd53199ab53
"""helix""",267,,
"""helix""",265,,
"""helix""",264,https://github.com/apache/helix/commit/e93474d5471bcc866761b2ab702becd471ada503,https://github.com/apache/helix/commit/48e56fa76a995217bacf9a971f9cfee0ece29d56
"""helix""",263,https://github.com/apache/helix/commit/d346a25d4efe4a64a55d13acbf05b3d36c72e0c3,https://github.com/apache/helix/commit/ae23842d24409e26c67f5c99113762bd0eb714b0
"""helix""",262,https://github.com/apache/helix/commit/bb5d17c4666f6c2c66764726cce2fc718e989abf,https://github.com/apache/helix/commit/0af6e8c19af5ee916f93acd8582e53b776e9c712
"""helix""",261,https://github.com/apache/helix/commit/b134a0a23b91b304187aa12e660cab8552d246da,https://github.com/apache/helix/commit/6759040956907b197b6d65cb8b4759b7e8981883
"""helix""",260,,
"""helix""",259,https://github.com/apache/helix/commit/cad85ed4d641e87f7cee8adc80ae6efbbfab20df,https://github.com/apache/helix/commit/b46cf019fbeb5115c1ca9aa99f3a1b34982387c1
"""helix""",258,,
"""helix""",257,,
"""helix""",256,https://github.com/apache/helix/commit/07b19144aad469239d1fa162a30bd0f3060b9520,https://github.com/apache/helix/commit/abfb894e508938ee51c73fb8abcb02f7615386e0
"""helix""",255,https://github.com/apache/helix/commit/f4cf093b08bb766034f00d4bb846e827b5e28b16,https://github.com/apache/helix/commit/36ab2a6028dad39b32d3a15da942b4385ff9fd1d
"""helix""",253,,
"""helix""",252,https://github.com/apache/helix/commit/8315cdd6ffe271bff0910860f54d0a370e9f8d46,https://github.com/apache/helix/commit/3ba447f97a10692981ad55525fc0e1ea55baf2b9
"""helix""",251,https://github.com/apache/helix/commit/2f31eb0ccd8ce283b961de6e2f974a9fbfb12b51,https://github.com/apache/helix/commit/cc625065bffced9a66566eeccb3055ec28a74611
"""helix""",250,https://github.com/apache/helix/commit/1e0247a7ef946f46e1fdf86f841b971321b45de0,https://github.com/apache/helix/commit/047ad51e8b243dbbd268aa9ba954623949eba27d
