repo,pr_number,before_commit,after_commit
"""ignite""",6784,,
"""ignite""",6776,,
"""ignite""",6762,,
"""ignite""",6754,,
"""ignite""",6739,,
"""ignite""",6733,,
"""ignite""",6732,,
"""ignite""",6731,,
"""ignite""",6713,,
"""ignite""",6701,,
"""ignite""",6699,,
"""ignite""",6689,https://github.com/apache/ignite/commit/efef36c18576b87b1ebcad93f8ff9e7b404bdccc,https://github.com/apache/ignite/commit/93406cf0d2000cc87b04a8d32d1367cd42fdc8e6
"""ignite""",6688,,
"""ignite""",6656,,
"""ignite""",6654,,
"""ignite""",6648,https://github.com/apache/ignite/commit/683a11811eaa194446d14ca011e2f26ed7d2e3ee,https://github.com/apache/ignite/commit/eb09afedb0fd8728a594d5c36e2015d853495b7e
"""ignite""",6647,,
"""ignite""",6638,,
"""ignite""",6627,,
"""ignite""",6622,,
"""ignite""",6616,,
"""ignite""",6597,,
"""ignite""",6596,,
"""ignite""",6587,,
"""ignite""",6584,,
"""ignite""",6569,https://github.com/apache/ignite/commit/2c8162234a781912ea884d029c3a1bc3f59e6d48,https://github.com/apache/ignite/commit/80a6616ce127c0960baf9866925e891a781c15a0
"""ignite""",6546,https://github.com/apache/ignite/commit/bf2cf5a7164c701a565e4d4c9b665e26efb65668,https://github.com/apache/ignite/commit/f3fb272563afedb067839103f3de7ebdf2bfb70e
"""ignite""",6534,https://github.com/apache/ignite/commit/ba5c4083aa9540f2b76d3ed3c9df311916781601,https://github.com/apache/ignite/commit/7b3e74da2509d53c7902d5a006c44d114fde6d97
"""ignite""",6521,,
"""ignite""",6517,https://github.com/apache/ignite/commit/18571885710a6e6cddabf1ba26f938df4513de8a,https://github.com/apache/ignite/commit/c447c6a98cda1ac3d4258e4541f53229bef02123
"""ignite""",6505,,
"""ignite""",6501,,
"""ignite""",6496,,
"""ignite""",6447,,
"""ignite""",6429,,
"""ignite""",6427,,
"""ignite""",6415,,
"""ignite""",6402,,
"""ignite""",6394,,
"""ignite""",6392,,
"""ignite""",6388,,
"""ignite""",6384,,
"""ignite""",6376,,
"""ignite""",6364,https://github.com/apache/ignite/commit/783d8bed7302954cff1b345315c1282e66b5fb59,https://github.com/apache/ignite/commit/acd142045b2f438f13e51f41ac5c0b1c81c1acd3
"""ignite""",6359,,
"""ignite""",6356,https://github.com/apache/ignite/commit/83d3f0cf977ac71604f94245646ca1bd26f9062c,https://github.com/apache/ignite/commit/e61d6ae5c7cc30857b146f94cf124ca608d75ae7
"""ignite""",6326,,
"""ignite""",6323,,
"""ignite""",6322,https://github.com/apache/ignite/commit/303f51d4b2433657dddc7c17bedc581a5c0bc2a6,https://github.com/apache/ignite/commit/6aad65b90a0390602a5956948ea566944e607d82
"""ignite""",6307,,
"""ignite""",6303,,
"""ignite""",6256,,
"""ignite""",6253,,
"""ignite""",6244,,
"""ignite""",6228,,
"""ignite""",6227,https://github.com/apache/ignite/commit/ae0a0bafed28229693e457aa4389604b163e609a,https://github.com/apache/ignite/commit/e94ab919857abd1f9d84030791ddde37d9fb2450
"""ignite""",6214,,
"""ignite""",6205,,
"""ignite""",6202,,
"""ignite""",6194,https://github.com/apache/ignite/commit/069d553287df0a77d06c391455a1b1e991296668,https://github.com/apache/ignite/commit/5788cc08ea25b5a56f80ac602186518f7326c7eb
"""ignite""",6160,,
"""ignite""",6148,,
"""ignite""",6119,,
"""ignite""",6095,https://github.com/apache/ignite/commit/685091675bc9755aafd0a322304730763b9485fc,https://github.com/apache/ignite/commit/50f98cf68479ef7185d9e42b1a2d6b19e031120d
"""ignite""",6094,,
"""ignite""",6084,,
"""ignite""",6082,,
"""ignite""",6068,,
"""ignite""",6061,,
"""ignite""",6054,,
"""ignite""",6041,,
"""ignite""",6029,,
"""ignite""",6017,https://github.com/apache/ignite/commit/80c83649a74834821afb258300846d90edd17f98,https://github.com/apache/ignite/commit/6c075d8a53b3b4e2c5375eb577e5b757c11de88b
"""ignite""",6011,,
"""ignite""",6010,,
"""ignite""",6002,,
"""ignite""",5989,,
"""ignite""",5978,,
"""ignite""",5971,,
"""ignite""",5962,,
"""ignite""",5951,,
"""ignite""",5939,,
"""ignite""",5930,,
"""ignite""",5915,,
"""ignite""",5804,,
"""ignite""",5775,,
"""ignite""",5755,https://github.com/apache/ignite/commit/842bfad5ef13155f08ead08b745a1e106a0ca704,https://github.com/apache/ignite/commit/b277450f2d1a67d448bc77924473a31e80de58cb
"""ignite""",5702,,
"""ignite""",5683,https://github.com/apache/ignite/commit/d831b075fa5c1424610abf99b2be2510cbbe734f,https://github.com/apache/ignite/commit/2860d23a522a1f1741b49d2b47515ca41d0648f1
"""ignite""",5656,,
"""ignite""",5619,https://github.com/apache/ignite/commit/b1c45716a8fe6524c034056bc4459832a0c1ed19,https://github.com/apache/ignite/commit/2deb535b95333b4a53aa7692eddde236824b3754
"""ignite""",5598,,
"""ignite""",5492,,
"""ignite""",5194,https://github.com/apache/ignite/commit/8ff2bf07cedf67b2dbcca1281760c203343c420e,https://github.com/apache/ignite/commit/cde31aa46db3950561322a66c45ad91fb869ddb3
"""ignite""",4922,https://github.com/apache/ignite/commit/e95cc59c16e353cf40e6e795e0b963d9899508d1,https://github.com/apache/ignite/commit/58efaf8cccb2bd7280063bbca81aa8a09699a15e
"""ignite""",3482,https://github.com/apache/ignite/commit/510e497ad20ca46327195409ae8d8c386fb5e6de,https://github.com/apache/ignite/commit/bc93cf4ead069330335e20506fd06bc72ee11793
"""ignite""",3420,,
"""ignite""",3392,,
"""ignite""",3288,,
"""ignite""",2704,,
"""ignite""",2288,https://github.com/apache/ignite/commit/2baf4f27066bb8581627c223641bf4ba25909194,https://github.com/apache/ignite/commit/1b2b26a82ea286472134a22619952c662b95033f
"""ignite""",2273,,
"""ignite""",2171,,
"""ignite""",2169,https://github.com/apache/ignite/commit/6cf9f26a1c110c8f759feac0b5eb7df16c0de1a0,https://github.com/apache/ignite/commit/b9999269468cd6e91a8c855adb2efc6e017df09d
"""ignite""",2157,,
"""ignite""",2156,,
"""ignite""",2152,,
"""ignite""",2145,,
"""ignite""",2135,,
"""ignite""",2120,,
"""ignite""",2002,https://github.com/apache/ignite/commit/accdea0c054c781f99859942d679b97e6d4cbff7,https://github.com/apache/ignite/commit/fd09d301b14a2e20774503359bcef4280a67da92
"""ignite""",1924,,
"""ignite""",1864,,
"""ignite""",1859,,
"""ignite""",1842,,
"""ignite""",1821,,
"""ignite""",1805,,
"""ignite""",1770,,
"""ignite""",1737,,
"""ignite""",1723,,
"""ignite""",1628,,
"""ignite""",1621,,
"""ignite""",1582,,
"""ignite""",1580,,
"""ignite""",1560,,
"""ignite""",1556,https://github.com/apache/ignite/commit/a4577e84665727803b0a06f4fcdfa828f2f01f0b,https://github.com/apache/ignite/commit/e69d3c34915f2f7de1b66f22e0584b7c09d8fe71
"""ignite""",1451,,
"""ignite""",1415,,
"""ignite""",1405,,
"""ignite""",1400,,
"""ignite""",1398,,
"""ignite""",1392,https://github.com/apache/ignite/commit/00ae3ff8816039eb176b0a78c61cc32a0b5aebe6,https://github.com/apache/ignite/commit/c4d67d2ab737c398c9158dfeb67dc979f5c052af
"""ignite""",1379,,
"""ignite""",1374,,
"""ignite""",1361,,
"""ignite""",1279,,
"""ignite""",1256,,
"""ignite""",1253,,
"""ignite""",1193,,
"""ignite""",1180,,
"""ignite""",1164,,
"""ignite""",1162,,
"""ignite""",1154,,
"""ignite""",1127,,
"""ignite""",1120,,
"""ignite""",1119,,
"""ignite""",1104,,
"""ignite""",1064,,
"""ignite""",1028,,
"""ignite""",1021,,
"""ignite""",932,,
"""ignite""",924,,
"""ignite""",914,,
"""ignite""",912,,
"""ignite""",883,,
"""ignite""",823,,
"""ignite""",808,https://github.com/apache/ignite/commit/d4c1a00c22fea5fe8c080275c880dbd01811407f,https://github.com/apache/ignite/commit/3b698274a0bb274fc5f382550110fc31d483d20e
"""ignite""",638,,
"""ignite""",634,,
"""ignite""",507,,
"""ignite""",499,,
"""ignite""",485,,
"""ignite""",456,,
"""ignite""",454,,
"""ignite""",445,,
"""ignite""",438,,
"""ignite""",426,,
"""ignite""",371,,
"""ignite""",368,,
"""ignite""",331,,
"""ignite""",271,,
"""ignite""",135,,
"""ignite""",88,,
"""ignite""",85,https://github.com/apache/ignite/commit/8b5e078cf60c7176e5b3f2aefc558ba819dcad0a,https://github.com/apache/ignite/commit/b1dee96e0d2b6130959400615b29b02721075392
"""ignite""",79,,
"""ignite""",76,,
"""ignite""",75,,
"""ignite""",74,,
"""ignite""",68,,
"""ignite""",58,,
"""ignite""",33,,
"""ignite""",19,,
"""ignite""",18,,
