repo,pr_number,before_commit,after_commit
"""incubator-druid""",8469,,
"""incubator-druid""",8468,,
"""incubator-druid""",8467,,
"""incubator-druid""",8466,,
"""incubator-druid""",8462,,
"""incubator-druid""",8457,,
"""incubator-druid""",8454,,
"""incubator-druid""",8452,,
"""incubator-druid""",8447,,
"""incubator-druid""",8442,,
"""incubator-druid""",8440,,
"""incubator-druid""",8437,,
"""incubator-druid""",8436,,
"""incubator-druid""",8434,,
"""incubator-druid""",8428,,
"""incubator-druid""",8425,,
"""incubator-druid""",8424,,
"""incubator-druid""",8422,,
"""incubator-druid""",8421,,
"""incubator-druid""",8420,,
"""incubator-druid""",8417,,
"""incubator-druid""",8416,,
"""incubator-druid""",8415,,
"""incubator-druid""",8412,,
"""incubator-druid""",8409,,
"""incubator-druid""",8408,,
"""incubator-druid""",8405,https://github.com/apache/incubator-druid/commit/3b3cba3ec88dbb01509aa5ac274869e2dc2d3cdf,https://github.com/apache/incubator-druid/commit/65104d78a42c5d04a2c5d211f8ebddda0ef00075
"""incubator-druid""",8403,,
"""incubator-druid""",8402,,
"""incubator-druid""",8400,https://github.com/apache/incubator-druid/commit/980951838ca69736b0d599855d385c0c129563d7,https://github.com/apache/incubator-druid/commit/c03cf77ab5a1b733877e594807d904efc997789e
"""incubator-druid""",8397,,
"""incubator-druid""",8396,,
"""incubator-druid""",8395,,
"""incubator-druid""",8393,,
"""incubator-druid""",8392,,
"""incubator-druid""",8391,,
"""incubator-druid""",8390,,
"""incubator-druid""",8389,,
"""incubator-druid""",8388,https://github.com/apache/incubator-druid/commit/04547645957d51e30d96afa79621cdc12db7feb0,https://github.com/apache/incubator-druid/commit/662dbb6aa104bcb45269ed4d8a6515f31b480ea4
"""incubator-druid""",8387,,
"""incubator-druid""",8386,,
"""incubator-druid""",8382,https://github.com/apache/incubator-druid/commit/8fe249e9315bd1950378973e7f238aeea4dd7621,https://github.com/apache/incubator-druid/commit/e872dd50c0b98b8381c83ff7ebfd16d4e838355e
"""incubator-druid""",8381,https://github.com/apache/incubator-druid/commit/81c071e897f8a07032a4d92c1f2afb6e65991fcc,https://github.com/apache/incubator-druid/commit/369b36ecf7194b0d346addba90b5d0f8fa9c2122
"""incubator-druid""",8378,,
"""incubator-druid""",8376,,
"""incubator-druid""",8374,,
"""incubator-druid""",8373,,
"""incubator-druid""",8372,,
"""incubator-druid""",8371,,
"""incubator-druid""",8370,,
"""incubator-druid""",8368,,
"""incubator-druid""",8367,,
"""incubator-druid""",8364,,
"""incubator-druid""",8363,https://github.com/apache/incubator-druid/commit/2ea099f892c192cbf453eab34df70312d69aa8d9,https://github.com/apache/incubator-druid/commit/1dd788edd544d7b03450addbf77539ae564a8379
"""incubator-druid""",8361,https://github.com/apache/incubator-druid/commit/60c3262307be5b6873df5aed12cb511865a106be,https://github.com/apache/incubator-druid/commit/c60a8c6c2aa3ef23730ffb401596e7d5f44a8179
"""incubator-druid""",8359,https://github.com/apache/incubator-druid/commit/92b66e55fd7b36a8a0e72be9fe571523698787f1,https://github.com/apache/incubator-druid/commit/79b7bddf095034476f57cbb51517c75f3a36303b
"""incubator-druid""",8358,,
"""incubator-druid""",8352,,
"""incubator-druid""",8351,,
"""incubator-druid""",8350,,
"""incubator-druid""",8349,,
"""incubator-druid""",8347,,
"""incubator-druid""",8346,,
"""incubator-druid""",8345,,
"""incubator-druid""",8344,https://github.com/apache/incubator-druid/commit/4f0ca4a7411b49ffc75b4d3d64bf2895f076e230,https://github.com/apache/incubator-druid/commit/0fe4efad4b7b139e7a9dc64f5da2ccfe67c319eb
"""incubator-druid""",8343,,
"""incubator-druid""",8342,,
"""incubator-druid""",8341,,
"""incubator-druid""",8340,https://github.com/apache/incubator-druid/commit/cea47469d74c632491d4df199aaccf77b7693dbe,https://github.com/apache/incubator-druid/commit/44e082a72aac3493505ef53d0ce6049f1ae20da8
"""incubator-druid""",8339,,
"""incubator-druid""",8337,,
"""incubator-druid""",8331,,
"""incubator-druid""",8329,,
"""incubator-druid""",8327,,
"""incubator-druid""",8326,,
"""incubator-druid""",8324,,
"""incubator-druid""",8323,https://github.com/apache/incubator-druid/commit/c0aa6f700a53ed044515831dbae8127942149239,https://github.com/apache/incubator-druid/commit/e64070b8bfb5fa51531d5c06dc843a24fb048454
"""incubator-druid""",8322,,
"""incubator-druid""",8319,,
"""incubator-druid""",8313,,
"""incubator-druid""",8311,,
"""incubator-druid""",8310,,
"""incubator-druid""",8309,,
"""incubator-druid""",8306,,
"""incubator-druid""",8305,,
"""incubator-druid""",8304,,
"""incubator-druid""",8303,https://github.com/apache/incubator-druid/commit/090818df0518522a64a33b6b844dd1d890796209,https://github.com/apache/incubator-druid/commit/f8a2a621257b20431704cec110a96392f9a4bcf6
"""incubator-druid""",8302,,
"""incubator-druid""",8301,,
"""incubator-druid""",8299,,
"""incubator-druid""",8298,,
"""incubator-druid""",8297,,
"""incubator-druid""",8296,,
"""incubator-druid""",8295,,
"""incubator-druid""",8294,,
"""incubator-druid""",8293,,
"""incubator-druid""",8292,https://github.com/apache/incubator-druid/commit/b0d29c39a142114dd99e7faad7609df0424c4e0a,https://github.com/apache/incubator-druid/commit/00b6700889d9545da5f22e1724c442d1162cfd34
"""incubator-druid""",8288,,
"""incubator-druid""",8287,,
"""incubator-druid""",8286,,
"""incubator-druid""",8283,,
"""incubator-druid""",8282,,
"""incubator-druid""",8281,,
"""incubator-druid""",8277,,
"""incubator-druid""",8275,,
"""incubator-druid""",8274,,
"""incubator-druid""",8273,https://github.com/apache/incubator-druid/commit/844a0374ca7fd6879c291c2f57a82f7b4fa6c517,https://github.com/apache/incubator-druid/commit/a7ae1252b838bbaa662ed6016c9f3282afb52843
"""incubator-druid""",8261,,
"""incubator-druid""",8259,,
"""incubator-druid""",8258,https://github.com/apache/incubator-druid/commit/00cd6754da506f2673352f98ce674671d7d8ee14,https://github.com/apache/incubator-druid/commit/70f92a0adf192268fd7bf1ef77b903e14bf49107
"""incubator-druid""",8257,,
"""incubator-druid""",8255,,
"""incubator-druid""",8253,,
"""incubator-druid""",8251,,
"""incubator-druid""",8247,,
"""incubator-druid""",8245,,
"""incubator-druid""",8244,,
"""incubator-druid""",8243,,
"""incubator-druid""",8240,https://github.com/apache/incubator-druid/commit/67212df4924075748888e729f88dc5944b65ce0d,https://github.com/apache/incubator-druid/commit/f3d7f9f579c2627e878cd0cde61841f75f3cefe2
"""incubator-druid""",8238,https://github.com/apache/incubator-druid/commit/21a451606d13da104ce6b423b3f5b8df31cc6735,https://github.com/apache/incubator-druid/commit/64d5a70328c1038d24e40dd11ba38913f25e0b68
"""incubator-druid""",8237,https://github.com/apache/incubator-druid/commit/df38daaab3e5ce40efa25fa21cfded09abc5548b,https://github.com/apache/incubator-druid/commit/93cf9d4ad4d7aa092d2bc6c7d53a645f1e33c047
"""incubator-druid""",8236,,
"""incubator-druid""",8235,,
"""incubator-druid""",8234,https://github.com/apache/incubator-druid/commit/10e7d4be02e27b08445167b8a744bc64393b04a5,https://github.com/apache/incubator-druid/commit/35b02136204b042d112d002475e65a2d354ac4b0
"""incubator-druid""",8233,https://github.com/apache/incubator-druid/commit/8c35977d7ace46d3f6605ba56ca2d6a59cf70704,https://github.com/apache/incubator-druid/commit/80b83eba55e7a2bcfd7c8c61a4b738406d88fb8c
"""incubator-druid""",8232,,
"""incubator-druid""",8231,,
"""incubator-druid""",8229,,
"""incubator-druid""",8228,,
"""incubator-druid""",8227,,
"""incubator-druid""",8224,,
"""incubator-druid""",8223,,
"""incubator-druid""",8222,,
"""incubator-druid""",8220,,
"""incubator-druid""",8219,,
"""incubator-druid""",8213,,
"""incubator-druid""",8212,,
"""incubator-druid""",8210,,
"""incubator-druid""",8209,,
"""incubator-druid""",8206,,
"""incubator-druid""",8205,,
"""incubator-druid""",8203,,
"""incubator-druid""",8202,,
"""incubator-druid""",8201,,
"""incubator-druid""",8199,,
"""incubator-druid""",8197,,
"""incubator-druid""",8196,,
"""incubator-druid""",8195,,
"""incubator-druid""",8194,,
"""incubator-druid""",8193,,
"""incubator-druid""",8192,,
"""incubator-druid""",8190,,
"""incubator-druid""",8189,,
"""incubator-druid""",8182,,
"""incubator-druid""",8181,,
"""incubator-druid""",8176,,
"""incubator-druid""",8174,,
"""incubator-druid""",8173,,
"""incubator-druid""",8172,,
"""incubator-druid""",8170,,
"""incubator-druid""",8164,,
"""incubator-druid""",8162,,
"""incubator-druid""",8161,,
"""incubator-druid""",8160,https://github.com/apache/incubator-druid/commit/651f2d428aa17b1de313c7f944f5f10d87ef93df,https://github.com/apache/incubator-druid/commit/f4c25d2bdf7bed61afa344f579c6cc36b240192a
"""incubator-druid""",8157,,
"""incubator-druid""",8154,,
"""incubator-druid""",8153,,
"""incubator-druid""",8152,,
"""incubator-druid""",8151,,
"""incubator-druid""",8149,,
"""incubator-druid""",8145,,
"""incubator-druid""",8144,,
"""incubator-druid""",8141,,
"""incubator-druid""",8140,,
"""incubator-druid""",8138,https://github.com/apache/incubator-druid/commit/ea903a5e8e79ebda2755e9cc40f70cb166a48fe8,https://github.com/apache/incubator-druid/commit/cdb59ff903ab0990975ff6145888963d1c0e7c82
"""incubator-druid""",8133,,
"""incubator-druid""",8129,https://github.com/apache/incubator-druid/commit/23df81d514ae0cd4645ef219e39d5072062bb3fd,https://github.com/apache/incubator-druid/commit/4a88f447db7f7f9d2e0e2a294d1baacd93e6b074
"""incubator-druid""",8128,,
"""incubator-druid""",8124,,
"""incubator-druid""",8117,,
"""incubator-druid""",8116,,
"""incubator-druid""",8115,,
"""incubator-druid""",8114,,
"""incubator-druid""",8113,,
"""incubator-druid""",8112,,
"""incubator-druid""",8110,https://github.com/apache/incubator-druid/commit/5a523228d004655a2219b98358b16f0d741b1363,https://github.com/apache/incubator-druid/commit/7918dfcfa9c704504874b0fb227df8a323941355
"""incubator-druid""",8109,https://github.com/apache/incubator-druid/commit/7c2efc51df3975e2bf113c4099fe0679584090ce,https://github.com/apache/incubator-druid/commit/52b05ec3442655c37b2c2ffbd21161bff9d43d5e
"""incubator-druid""",8107,https://github.com/apache/incubator-druid/commit/86963dbf350b810246253751f785402320972544,https://github.com/apache/incubator-druid/commit/7fd2e4bc24b7c55e7c7ce09942c9d81a378aaf27
"""incubator-druid""",8106,,
"""incubator-druid""",8105,,
"""incubator-druid""",8100,https://github.com/apache/incubator-druid/commit/52891e5c57986b8003445bbeb3afe9f7e77078e8,https://github.com/apache/incubator-druid/commit/d0d90438230a6527b87b4fac21437404c9d0c979
"""incubator-druid""",8099,,
"""incubator-druid""",8090,,
"""incubator-druid""",8089,,
"""incubator-druid""",8088,,
"""incubator-druid""",8087,,
"""incubator-druid""",8086,,
"""incubator-druid""",8085,,
"""incubator-druid""",8084,,
"""incubator-druid""",8081,,
"""incubator-druid""",8079,,
"""incubator-druid""",8078,https://github.com/apache/incubator-druid/commit/1138dded28f13c3581497ed0a007b16d2f2ad225,https://github.com/apache/incubator-druid/commit/ca039afb4f8fa08a16b3fe94da5d9ad358688561
