repo,pr_number,before_commit,after_commit
"""incubator-pinot""",4584,,
"""incubator-pinot""",4576,,
"""incubator-pinot""",4575,,
"""incubator-pinot""",4573,https://github.com/apache/incubator-pinot/commit/48fb627e30924a6e3e7dd3f797edeacd030d959c,https://github.com/apache/incubator-pinot/commit/027ca1b9febf9009f0922962de45ba2d2d440166
"""incubator-pinot""",4572,https://github.com/apache/incubator-pinot/commit/a38f974b3d25564051c2aabaafcddb7e2599a21f,https://github.com/apache/incubator-pinot/commit/e387c29d302da598f43b4aa1c0f1e353e8a81d55
"""incubator-pinot""",4571,,
"""incubator-pinot""",4570,,
"""incubator-pinot""",4566,,
"""incubator-pinot""",4564,,
"""incubator-pinot""",4563,https://github.com/apache/incubator-pinot/commit/1c2ba3098f1555f97c1c1b03fb808b0aa5ee2aad,https://github.com/apache/incubator-pinot/commit/4053116631c94a64b2dd5cc46c283c640b1f1bb4
"""incubator-pinot""",4562,https://github.com/apache/incubator-pinot/commit/d0928796a464cf3468dce1ae42bd712d720d3441,https://github.com/apache/incubator-pinot/commit/bc5f9b08fc24c00969c522157f8ecde1709791e8
"""incubator-pinot""",4561,,
"""incubator-pinot""",4557,,
"""incubator-pinot""",4556,https://github.com/apache/incubator-pinot/commit/3cdfc0dd306c22a3fd420cda97bf62f66208647a,https://github.com/apache/incubator-pinot/commit/7b9297ba691d9d4a6a718d3e7a2e3b856db58c60
"""incubator-pinot""",4555,,
"""incubator-pinot""",4554,,
"""incubator-pinot""",4552,https://github.com/apache/incubator-pinot/commit/48790516383898ae733b61bb87f1c5f277a3a2fc,https://github.com/apache/incubator-pinot/commit/a29f350c66bbdcabd40116f2670c3657713660d4
"""incubator-pinot""",4549,https://github.com/apache/incubator-pinot/commit/e8a9cc6a36138fb836c76030f4e1f0144c4e6dcd,https://github.com/apache/incubator-pinot/commit/f4fa4a892606c0e8be74456a36cc53196120f7fe
"""incubator-pinot""",4547,,
"""incubator-pinot""",4546,,
"""incubator-pinot""",4544,,
"""incubator-pinot""",4543,https://github.com/apache/incubator-pinot/commit/b271fa931985949b1f06db4459204a5518817d63,https://github.com/apache/incubator-pinot/commit/e0c0071a2a2f072be63f7c507af1f0cb8ca7195c
"""incubator-pinot""",4541,,
"""incubator-pinot""",4540,https://github.com/apache/incubator-pinot/commit/a63db57ebe52e14b0aa0164c2233ba14bc0dcd27,https://github.com/apache/incubator-pinot/commit/41e63a47ed87f2bf066c88157bf7f4ad5ef22d12
"""incubator-pinot""",4539,,
"""incubator-pinot""",4537,,
"""incubator-pinot""",4536,https://github.com/apache/incubator-pinot/commit/54c3beb7f4b622dbdec088abc045d1012cbb36be,https://github.com/apache/incubator-pinot/commit/ff902b1ec4575388cba030adb33cef779e792485
"""incubator-pinot""",4534,https://github.com/apache/incubator-pinot/commit/fab60e902251ac0e9c77f5575767583f0c05049e,https://github.com/apache/incubator-pinot/commit/a5dee3f27199df64050b4331980438e3e55cbc56
"""incubator-pinot""",4533,https://github.com/apache/incubator-pinot/commit/82372a530d794f5f3819fcb11e144e8421c29b28,https://github.com/apache/incubator-pinot/commit/4c39f350e6824eb1f20f4a788f6f6a07a4b62701
"""incubator-pinot""",4532,https://github.com/apache/incubator-pinot/commit/9770caa56fc94c24dc8f5495f58d31a9650b0500,https://github.com/apache/incubator-pinot/commit/e014fae8e35589699c1d0e7f406785f9ad059af6
"""incubator-pinot""",4530,,
"""incubator-pinot""",4528,https://github.com/apache/incubator-pinot/commit/447c6326313159e6f56e82f5641366659cc51231,https://github.com/apache/incubator-pinot/commit/a8b7c30145a1a0c7f4e41d239f213048627f4c07
"""incubator-pinot""",4524,,
"""incubator-pinot""",4523,,
"""incubator-pinot""",4522,https://github.com/apache/incubator-pinot/commit/4ab774391b741b7ce1632640372aa64776d8b8dd,https://github.com/apache/incubator-pinot/commit/822a201f0d7bb05200e620496e2219b3550c167e
"""incubator-pinot""",4518,,
"""incubator-pinot""",4517,,
"""incubator-pinot""",4516,https://github.com/apache/incubator-pinot/commit/11410586afc7f89ff5b160c753caf7a161c6004a,https://github.com/apache/incubator-pinot/commit/18cba1303a525ffddd206b739303d83a61c97e58
"""incubator-pinot""",4515,,
"""incubator-pinot""",4513,,
"""incubator-pinot""",4512,,
"""incubator-pinot""",4510,https://github.com/apache/incubator-pinot/commit/d1387bc06c1690ced8d7f4f3859ab07a69ea5b17,https://github.com/apache/incubator-pinot/commit/eeded6766aed91c4f93abc70fb534c7d521e0839
"""incubator-pinot""",4509,,
"""incubator-pinot""",4506,,
"""incubator-pinot""",4505,,
"""incubator-pinot""",4504,https://github.com/apache/incubator-pinot/commit/b6d14373c0870ed3eb518fca9fedbb53052f7ab0,https://github.com/apache/incubator-pinot/commit/4f0ba378a989b7563b448901fe895f462bca8c76
"""incubator-pinot""",4502,https://github.com/apache/incubator-pinot/commit/fd75fa4f2638723b4767c08980eb0468fde7c2d7,https://github.com/apache/incubator-pinot/commit/af702b73623877dea85f1211fe9654d066c94b84
"""incubator-pinot""",4501,,
"""incubator-pinot""",4499,,
"""incubator-pinot""",4498,https://github.com/apache/incubator-pinot/commit/554eee991874b09095db96f0eebb3932f9a27b99,https://github.com/apache/incubator-pinot/commit/c6e5d9136422425c7d259378fc568ea2b07cd16e
"""incubator-pinot""",4497,https://github.com/apache/incubator-pinot/commit/ff3787d6d07ab3b958a549c355ab7829e3dd2647,https://github.com/apache/incubator-pinot/commit/fbc78dfcdcad35d84af20f9847c753edcc4b9df8
"""incubator-pinot""",4496,,
"""incubator-pinot""",4495,,
"""incubator-pinot""",4493,,
"""incubator-pinot""",4492,,
"""incubator-pinot""",4491,,
"""incubator-pinot""",4490,https://github.com/apache/incubator-pinot/commit/4bd4b1700a957e8268f5bc00b5799bf2f1110487,https://github.com/apache/incubator-pinot/commit/ab867db57676ed572354e24ac35b6835143e7339
"""incubator-pinot""",4489,https://github.com/apache/incubator-pinot/commit/aca5bd7d52798ce208b3709b60d542f167b7759b,https://github.com/apache/incubator-pinot/commit/6a1ddea773620080347b14e3323e61037d9deb06
"""incubator-pinot""",4488,https://github.com/apache/incubator-pinot/commit/1da320565600abed5bfdcf9dc1c1ccc75195d469,https://github.com/apache/incubator-pinot/commit/09c07db6c028c3a16aada93047fbfbe3ec44e33b
"""incubator-pinot""",4487,,
"""incubator-pinot""",4486,https://github.com/apache/incubator-pinot/commit/6075fb9503b48c29f20a37fbe250dcdee275387a,https://github.com/apache/incubator-pinot/commit/4dff52a3bd817e33b5fd7680e04c6f519d35d8f3
"""incubator-pinot""",4483,,
"""incubator-pinot""",4481,,
"""incubator-pinot""",4480,,
"""incubator-pinot""",4479,,
"""incubator-pinot""",4478,,
"""incubator-pinot""",4477,,
"""incubator-pinot""",4476,https://github.com/apache/incubator-pinot/commit/3b50bb4b7f82bacc8398165e2cd932bc1d0a8761,https://github.com/apache/incubator-pinot/commit/8ff629af04d56bde832bf382540bbc938bdc917d
"""incubator-pinot""",4474,,
"""incubator-pinot""",4473,,
"""incubator-pinot""",4471,,
"""incubator-pinot""",4470,,
"""incubator-pinot""",4466,,
"""incubator-pinot""",4465,,
"""incubator-pinot""",4464,https://github.com/apache/incubator-pinot/commit/74388ddce76a739429a1e6038478c6df4214fec1,https://github.com/apache/incubator-pinot/commit/d87813c6d4dd8b10bb3bbf2fe8d4eeb795150cb8
"""incubator-pinot""",4463,,
"""incubator-pinot""",4462,https://github.com/apache/incubator-pinot/commit/5e8b4fc518cf602961869991f0adac06746bae80,https://github.com/apache/incubator-pinot/commit/32ccef25f70f0c6e0d930ab26b6b28213fc4c956
"""incubator-pinot""",4460,,
"""incubator-pinot""",4459,,
"""incubator-pinot""",4458,,
