repo,pr_number,before_commit,after_commit
"""incubator-rya""",283,https://github.com/apache/incubator-rya/commit/1f024b612723a1eea7d7267b7d2022a8f6008d8d,https://github.com/apache/incubator-rya/commit/63fad1a232967dd6e02b1242b53ad686c75660fa
"""incubator-rya""",261,https://github.com/apache/incubator-rya/commit/633af900d14aff1af273f6e4efec49b14536c21e,https://github.com/apache/incubator-rya/commit/30b3379b716adc4007ecc573c98e09f8ca51ec94
"""incubator-rya""",259,https://github.com/apache/incubator-rya/commit/2d16e8db531ceab8fe5024b3eb00df8dc7c3e3a3,https://github.com/apache/incubator-rya/commit/eadfcdd36ef07d76dc4e372a6a3e208c30ff7a53
"""incubator-rya""",258,https://github.com/apache/incubator-rya/commit/997b54fd815344d32e63f2a3ec23419d008bbdca,https://github.com/apache/incubator-rya/commit/00800b68e9eccfaf9303e7a750c862907593c820
"""incubator-rya""",119,https://github.com/apache/incubator-rya/commit/c621fadaef44db373d7ae3dc10c5b97654fc105c,https://github.com/apache/incubator-rya/commit/d4b2e7eb87ea753357840cb0ed2ba2db054cc03b
"""incubator-rya""",113,https://github.com/apache/incubator-rya/commit/79ebd6b3ac6060fa8fec72a6af3a51826736b9da,https://github.com/apache/incubator-rya/commit/093e7c210996992ce0d7ccf8ade7b5f4df9ef6d4
"""incubator-rya""",53,,
"""incubator-rya""",52,,
"""incubator-rya""",48,https://github.com/apache/incubator-rya/commit/07598ed59536bfc62fc59227f391c7fab54254bb,https://github.com/apache/incubator-rya/commit/8ac8b394aefd51be7b9e854a1e14db48d9152e2e
"""incubator-rya""",42,,
"""incubator-rya""",38,https://github.com/apache/incubator-rya/commit/6d579329c0ad02b2c3750411d19508ad41a92ad8,https://github.com/apache/incubator-rya/commit/14073a23fab3c8c9dca37747d732b83793aee3a3
"""incubator-rya""",35,https://github.com/apache/incubator-rya/commit/48324e82882836283eaa3e35f705c2873a4f6d28,https://github.com/apache/incubator-rya/commit/a24515b0d1c7c3e459d68a867160850aa7d451c1
"""incubator-rya""",34,,
"""incubator-rya""",33,,
"""incubator-rya""",31,https://github.com/apache/incubator-rya/commit/d3e6997a13b39a3fd7503bfb66afaf4453dd0699,https://github.com/apache/incubator-rya/commit/15ec5d5faa670f9a65de52caa907eebdfa5ae757
"""incubator-rya""",30,,
"""incubator-rya""",29,,
"""incubator-rya""",26,,
"""incubator-rya""",23,,
"""incubator-rya""",20,,
"""incubator-rya""",19,,
"""incubator-rya""",18,,
"""incubator-rya""",17,,
"""incubator-rya""",16,,
"""incubator-rya""",12,,
"""incubator-rya""",11,,
"""incubator-rya""",10,,
"""incubator-rya""",9,,
"""incubator-rya""",8,,
"""incubator-rya""",7,,
"""incubator-rya""",4,,
"""incubator-rya""",3,,
"""incubator-rya""",2,,
"""incubator-rya""",1,,
