repo,pr_number,before_commit,after_commit
"""jena""",598,,
"""jena""",597,,
"""jena""",596,,
"""jena""",595,,
"""jena""",594,,
"""jena""",593,,
"""jena""",592,,
"""jena""",591,,
"""jena""",590,,
"""jena""",589,,
"""jena""",588,,
"""jena""",587,,
"""jena""",586,https://github.com/apache/jena/commit/26467f7b0c6af812fd1ec339d9749bca40f392eb,https://github.com/apache/jena/commit/569671fcab522a91b440e29d7fa9e93c658c1786
"""jena""",585,,
"""jena""",584,,
"""jena""",583,,
"""jena""",582,,
"""jena""",581,,
"""jena""",580,,
"""jena""",579,https://github.com/apache/jena/commit/b5531fd2f6b1615574b6d718cfe1f8283b241d0d,https://github.com/apache/jena/commit/c56d3d5676a95c26b6f07cf9fbcff9cf528848b2
"""jena""",578,,
"""jena""",577,,
"""jena""",576,,
"""jena""",575,,
"""jena""",574,,
"""jena""",573,,
"""jena""",572,,
"""jena""",571,,
"""jena""",570,,
"""jena""",569,,
"""jena""",568,,
"""jena""",567,,
"""jena""",566,,
"""jena""",565,https://github.com/apache/jena/commit/02475be3089d334a7be01024a12f502a294955d9,https://github.com/apache/jena/commit/3035f339a0b215b53b3bea1ec8da3b0faaff8626
"""jena""",564,,
"""jena""",563,,
"""jena""",562,https://github.com/apache/jena/commit/1db394847d670556983d6264390404cf7880a73b,https://github.com/apache/jena/commit/dea173afb6755c134742227eac2bab832a661ea4
"""jena""",561,,
"""jena""",560,,
"""jena""",559,,
"""jena""",558,,
"""jena""",557,,
"""jena""",556,,
"""jena""",555,,
"""jena""",553,,
"""jena""",552,,
"""jena""",551,,
"""jena""",550,,
"""jena""",549,https://github.com/apache/jena/commit/3850af54850667213ba0882725e9f3b341f0af04,https://github.com/apache/jena/commit/d8c73666197ba1534839281260925ff4f55df959
"""jena""",545,,
"""jena""",544,,
"""jena""",543,,
"""jena""",542,,
"""jena""",541,,
"""jena""",540,,
"""jena""",539,,
"""jena""",538,,
"""jena""",537,https://github.com/apache/jena/commit/5855eb14c864e0324a2ed6583d2dee208874d519,https://github.com/apache/jena/commit/220aa27e668effce4f867588cf84c5060795a42b
"""jena""",536,,
"""jena""",535,https://github.com/apache/jena/commit/21ea217db353b4fea7449d06f5fda944ef0df453,https://github.com/apache/jena/commit/efa2a7ac19ec148812f29634225a79f40e82f864
"""jena""",534,,
"""jena""",533,,
"""jena""",532,https://github.com/apache/jena/commit/2c14f9a0e6401ff3b313e272a88fac4157297f9f,https://github.com/apache/jena/commit/9c591200873573455135709456fbea0fb46b6999
"""jena""",531,,
"""jena""",530,,
"""jena""",529,,
"""jena""",528,,
"""jena""",527,,
"""jena""",526,,
"""jena""",525,,
"""jena""",524,,
"""jena""",523,,
"""jena""",522,https://github.com/apache/jena/commit/654fc27d67798fb507d120cdfb263fb00fa6932c,https://github.com/apache/jena/commit/141d6638161236e1c1ba6bf58cd229e53f6082a5
"""jena""",521,,
"""jena""",520,https://github.com/apache/jena/commit/ba3ba0c8ac8c5810ab3d2004c723b052a3ad1129,https://github.com/apache/jena/commit/a83373a780242a26e88c9843a33f7f6877e844bd
"""jena""",518,,
"""jena""",517,,
"""jena""",516,,
"""jena""",515,,
"""jena""",514,https://github.com/apache/jena/commit/9b57d2f19366012ff7015b6915c9d8b292ef165f,https://github.com/apache/jena/commit/c54a7afbdd1a3002e290c4cc27cedec972510e26
"""jena""",513,,
"""jena""",512,,
"""jena""",511,,
"""jena""",510,,
"""jena""",509,,
"""jena""",508,,
"""jena""",507,https://github.com/apache/jena/commit/558e3a7e5e18e2f385b545281f1f2326810f5f5c,https://github.com/apache/jena/commit/d8939c6159c00caf559e749f0f661881b9a3906a
"""jena""",506,,
"""jena""",505,,
"""jena""",504,,
"""jena""",503,,
"""jena""",502,,
"""jena""",501,,
"""jena""",500,,
"""jena""",499,,
"""jena""",498,,
"""jena""",497,,
