repo,pr_number,before_commit,after_commit
"""kafka""",7295,,
"""kafka""",7294,,
"""kafka""",7287,,
"""kafka""",7282,,
"""kafka""",7281,,
"""kafka""",7280,,
"""kafka""",7278,,
"""kafka""",7275,,
"""kafka""",7272,,
"""kafka""",7270,,
"""kafka""",7268,https://github.com/apache/kafka/commit/322e6fb60c4f6a01d1292f31a224202fd629a3a3,https://github.com/apache/kafka/commit/a3901b6044a6af2db5c3116e3f942ed601e68a2e
"""kafka""",7260,,
"""kafka""",7257,,
"""kafka""",7256,,
"""kafka""",7255,,
"""kafka""",7254,,
"""kafka""",7253,https://github.com/apache/kafka/commit/8ddd9839c5677f18d71cbc08fd92b068af4b7618,https://github.com/apache/kafka/commit/4e558fea4a02e7477b3dda3e2e46e9c0176e02d4
"""kafka""",7243,,
"""kafka""",7242,,
"""kafka""",7235,,
"""kafka""",7232,,
"""kafka""",7223,https://github.com/apache/kafka/commit/39713961925f700f750625000e3419447f9b6dd9,https://github.com/apache/kafka/commit/b44b9af2f90192a8f95d68b8ae916fc0d8b97d3c
"""kafka""",7219,,
"""kafka""",7215,,
"""kafka""",7214,https://github.com/apache/kafka/commit/4f078921ca05ee5de44a7aa77e92c8e6deb1ff94,https://github.com/apache/kafka/commit/f051a2d26ed09128534434a16dcbad8911ee5992
"""kafka""",7212,https://github.com/apache/kafka/commit/98339225068abb851fd3283c47cc94b3c8646eab,https://github.com/apache/kafka/commit/66ca00bed66134bace912b3ab65ab78a87713865
"""kafka""",7211,,
"""kafka""",7210,,
"""kafka""",7209,https://github.com/apache/kafka/commit/44465bd8e36d40978dae970eeadc6bbbc64baf95,https://github.com/apache/kafka/commit/30a3facc593c8260ddb0e9cbabd5f5da05358545
"""kafka""",7207,,
"""kafka""",7201,,
"""kafka""",7200,,
"""kafka""",7199,,
"""kafka""",7198,https://github.com/apache/kafka/commit/7c862094cff7dd52a5a2cd1a48cf68c1361ec37a,https://github.com/apache/kafka/commit/58b85deb07db9371bbdb6768a88bc7d7160f7093
"""kafka""",7197,https://github.com/apache/kafka/commit/c0e523497658702ec2572f4c8450905e48db7e91,https://github.com/apache/kafka/commit/2d86b8ea6787abc21d4a0c2d169e6b7f417aa79f
"""kafka""",7196,,
"""kafka""",7194,,
"""kafka""",7193,,
"""kafka""",7192,https://github.com/apache/kafka/commit/f7ebabab4431795cdefb73e31c7dbd805ad2aeae,https://github.com/apache/kafka/commit/8b4153a4ada5ed0d44122d8736b8d43b464c8357
"""kafka""",7191,https://github.com/apache/kafka/commit/a017572d8bf715c396bdef7dedb2eb9ff16e5688,https://github.com/apache/kafka/commit/3ebc52b794266bdeeaba053cd4ec0e9dba3f2c9c
"""kafka""",7189,,
"""kafka""",7186,,
"""kafka""",7183,,
"""kafka""",7182,,
"""kafka""",7178,https://github.com/apache/kafka/commit/908ca2d1d6b3e7aae03419307d4659639835a1b2,https://github.com/apache/kafka/commit/d21fc24a3d2696ac57c01218b03282cff0819e2b
"""kafka""",7177,https://github.com/apache/kafka/commit/f863036faf67503bc7a87af6234e332ead450d6d,https://github.com/apache/kafka/commit/71ceb47c4414e656a1d6897f61f6303c2837b889
"""kafka""",7176,,
"""kafka""",7174,https://github.com/apache/kafka/commit/3fa52abb9c9dacd9f8794d2ab87285726e3b58f4,https://github.com/apache/kafka/commit/8f2e93f06962eaf810c8ccd2d88e5e143ab13b53
"""kafka""",7173,,
"""kafka""",7166,,
"""kafka""",7164,,
"""kafka""",7163,https://github.com/apache/kafka/commit/b76c020ee8da902ebff6086d40e55e2a98fd2727,https://github.com/apache/kafka/commit/c8e8aca643027691ac63233d7d1319022237c901
"""kafka""",7162,,
"""kafka""",7161,,
"""kafka""",7159,,
"""kafka""",7158,,
"""kafka""",7157,https://github.com/apache/kafka/commit/43eebc626b593ea56187bdb1926b285bccbfed82,https://github.com/apache/kafka/commit/fa2cf9fcc8f4ca990791a171adab959f6929b23b
"""kafka""",7156,,
"""kafka""",7152,,
"""kafka""",7151,,
"""kafka""",7149,,
"""kafka""",7148,,
"""kafka""",7147,,
"""kafka""",7146,,
"""kafka""",7143,,
"""kafka""",7142,https://github.com/apache/kafka/commit/ba7282d5547959851971d923d9031254f57cd588,https://github.com/apache/kafka/commit/b774d257424ba3df6d386de9945952fd578ab1e1
"""kafka""",7137,,
"""kafka""",7136,https://github.com/apache/kafka/commit/78c0f3c179bf8f5f5d6f129173cb90220492ba3c,https://github.com/apache/kafka/commit/1d3a2d340689f4b3ba38ef752f1b1b48dd0c057e
"""kafka""",7132,,
"""kafka""",7131,https://github.com/apache/kafka/commit/d4719c8d869d6ec6b909fc4ff9686d5636aa22d5,https://github.com/apache/kafka/commit/1e0e119e3a8948f5f635364ba8b8e724d01d6434
"""kafka""",7130,https://github.com/apache/kafka/commit/b59e5b182c7fedcb78a3acc06a85921672d09957,https://github.com/apache/kafka/commit/e0a61f83f7c874adc67747aea17a54181cd55ffb
"""kafka""",7129,,
"""kafka""",7126,https://github.com/apache/kafka/commit/b6ab120955f7dd70e14f434aae13337511e94b5f,https://github.com/apache/kafka/commit/c287a741afc8c46eda4b1502f301291c5ddf17ee
"""kafka""",7125,https://github.com/apache/kafka/commit/aa3495905a24dd02a18e2cd9385a642657879cba,https://github.com/apache/kafka/commit/e787bec9c266900ebb7d2a2fb86e984a1d9c72bc
"""kafka""",7124,,
"""kafka""",7120,https://github.com/apache/kafka/commit/619313cbe76656f319058afa0925e5b93ba769b7,https://github.com/apache/kafka/commit/1159b7a13e5cae7187d9e6fba7620d2ae46b6041
"""kafka""",7119,,
"""kafka""",7118,,
"""kafka""",7116,,
"""kafka""",7114,https://github.com/apache/kafka/commit/b659e6ac52b2679fa15c61539dfa714796b10296,https://github.com/apache/kafka/commit/fd41de0a168883e11602274bf4f4d897eaacfba0
"""kafka""",7113,,
"""kafka""",7110,https://github.com/apache/kafka/commit/36c58d15a5ba0a6d9da90ec18b06a5a4db12d438,https://github.com/apache/kafka/commit/1c6137f18f2cfd707b9819f59cd042c115fa32a6
"""kafka""",7108,,
"""kafka""",7106,,
"""kafka""",7104,,
"""kafka""",7103,,
"""kafka""",7102,,
"""kafka""",7101,https://github.com/apache/kafka/commit/e894adc5f3a82ea9834908c1dd47930eb0627e4b,https://github.com/apache/kafka/commit/059348a06c3dba44b18e7914deb3b42c9a7ba8fd
"""kafka""",7099,,
"""kafka""",7097,,
"""kafka""",7094,,
"""kafka""",7093,,
"""kafka""",7092,,
"""kafka""",7090,,
"""kafka""",7087,,
"""kafka""",7086,,
"""kafka""",7085,,
