repo,pr_number,before_commit,after_commit
"""karaf-cave""",25,,
"""karaf-cave""",24,,
"""karaf-cave""",23,,
"""karaf-cave""",22,,
"""karaf-cave""",21,,
"""karaf-cave""",20,https://github.com/apache/karaf-cave/commit/e035c33f6c9f213584db71e2ea2764e0976629b4,https://github.com/apache/karaf-cave/commit/addd0e4a9269b99c0b1211694aef7a72c772afcb
"""karaf-cave""",19,,
"""karaf-cave""",18,,
"""karaf-cave""",17,,
"""karaf-cave""",16,,
"""karaf-cave""",15,,
"""karaf-cave""",14,,
"""karaf-cave""",13,,
"""karaf-cave""",12,https://github.com/apache/karaf-cave/commit/60bfbac94d822aee4d955cb514834de472252350,https://github.com/apache/karaf-cave/commit/fc69a9417042fc18b95f3a1631a27b374605f293
"""karaf-cave""",11,,
"""karaf-cave""",10,,
"""karaf-cave""",9,,
"""karaf-cave""",8,,
"""karaf-cave""",7,,
"""karaf-cave""",2,,
