repo,pr_number,before_commit,after_commit
"""karaf""",922,,
"""karaf""",920,,
"""karaf""",919,,
"""karaf""",918,,
"""karaf""",917,,
"""karaf""",916,,
"""karaf""",915,,
"""karaf""",914,,
"""karaf""",913,,
"""karaf""",912,,
"""karaf""",911,,
"""karaf""",910,,
"""karaf""",909,,
"""karaf""",906,,
"""karaf""",904,https://github.com/apache/karaf/commit/83b174e95a411953f499af5f930539e804b20d50,https://github.com/apache/karaf/commit/4d207eabfa21877662c52167b9379ef3943e47dd
"""karaf""",902,,
"""karaf""",901,,
"""karaf""",900,,
"""karaf""",899,,
"""karaf""",898,,
"""karaf""",897,,
"""karaf""",896,https://github.com/apache/karaf/commit/403b21f7a3af6f29abe0e8fd073c17783f008c60,https://github.com/apache/karaf/commit/19a31673b70298d820bbc94a5238ca097da18150
"""karaf""",895,,
"""karaf""",894,,
"""karaf""",893,,
"""karaf""",892,,
"""karaf""",891,,
"""karaf""",889,,
"""karaf""",888,,
"""karaf""",887,,
"""karaf""",886,,
"""karaf""",885,,
"""karaf""",884,,
"""karaf""",881,,
"""karaf""",878,,
"""karaf""",877,,
"""karaf""",876,https://github.com/apache/karaf/commit/6c84d7b57381597a73ff7bbdb0d89a522de7d624,https://github.com/apache/karaf/commit/bf2aa2a193bfd4946523c1f8b556948408632a6b
"""karaf""",875,https://github.com/apache/karaf/commit/447543db057a2dd845851bdaeaca0263239ad8b4,https://github.com/apache/karaf/commit/a230475c17a58fa23f3a9bcaa0ffc95ae808f106
"""karaf""",874,,
"""karaf""",873,,
"""karaf""",872,https://github.com/apache/karaf/commit/25ea36032a46255b566d15b0d2561cab5d6e3661,https://github.com/apache/karaf/commit/4daba683a160d9a575ea727c6af15b862b897b76
"""karaf""",871,,
"""karaf""",870,,
"""karaf""",869,,
"""karaf""",868,https://github.com/apache/karaf/commit/02733b3ab1025055bf7fd8831046b3480b3e2758,https://github.com/apache/karaf/commit/652fad5036514c64face43ae39c62396b7f139e5
"""karaf""",867,,
"""karaf""",866,,
"""karaf""",865,https://github.com/apache/karaf/commit/52a686442afe35d9151c5017b758022be600cbd8,https://github.com/apache/karaf/commit/57f8e079acd5d4f9f53cf0ad4d57f44a9d3aedf1
"""karaf""",864,,
"""karaf""",863,https://github.com/apache/karaf/commit/9f8ea0ac2cc05bf558d5e958dc19d85c80524e63,https://github.com/apache/karaf/commit/6273cc7aae78ea3eddbbd0ae7ccc0ae0cffae0e7
"""karaf""",862,,
"""karaf""",861,,
"""karaf""",860,https://github.com/apache/karaf/commit/3659f6a3107f6f30f807ae9adefaca0053ddb003,https://github.com/apache/karaf/commit/656d9293cdef0ac73c1138082a01f45059ff5c78
"""karaf""",859,,
"""karaf""",858,,
"""karaf""",857,https://github.com/apache/karaf/commit/3026f2e4224eb8ecf0f82d83c88d55d77ca1d65d,https://github.com/apache/karaf/commit/ca3fdc0fc54b890e3fcbc83620a968845a8f489c
"""karaf""",856,,
"""karaf""",855,https://github.com/apache/karaf/commit/8c61876b72ccf0dc9ae3594cbf39d5a43145b101,https://github.com/apache/karaf/commit/ef37f7a983c955cf60aa1930dede391ce9ccb6e9
"""karaf""",854,,
"""karaf""",853,,
"""karaf""",852,,
"""karaf""",851,https://github.com/apache/karaf/commit/70f5e17f3148d2c24c4c17b52382f79bfd7caa9f,https://github.com/apache/karaf/commit/2c4d1583aac5dfb1f6c04a48069aeae977d7cfc3
"""karaf""",850,,
"""karaf""",849,https://github.com/apache/karaf/commit/d2e700fabfb447efe771691d8b4014aa4dc6ce4c,https://github.com/apache/karaf/commit/2d3c15ea30222776d092edf138ac540e4115a55a
"""karaf""",848,,
"""karaf""",847,,
"""karaf""",846,,
"""karaf""",845,,
"""karaf""",844,,
"""karaf""",843,https://github.com/apache/karaf/commit/510309b1ee90ea5ce2a42bcb7b44eae91e809811,https://github.com/apache/karaf/commit/84ff669a90309bf04213df7da545d966d528204f
"""karaf""",842,,
"""karaf""",841,https://github.com/apache/karaf/commit/31119a9461eda82b08c083d5ec572e898d2fad63,https://github.com/apache/karaf/commit/2865e9c991912cb55bfc2e7f36f2d30586fe2948
"""karaf""",840,https://github.com/apache/karaf/commit/207364e767bf8b50f3928c8a36d8c3267a13ca77,https://github.com/apache/karaf/commit/a2311c3c81c5c2c22f65f10ab3a334deeae4d8dc
"""karaf""",839,,
"""karaf""",838,,
"""karaf""",837,https://github.com/apache/karaf/commit/bf3beff5028a3c53d5be34260aa7d0d8c48034d5,https://github.com/apache/karaf/commit/1f11d4c2432c2eb5bbdbf3556a242dea71ec21ab
"""karaf""",836,,
"""karaf""",835,,
"""karaf""",834,,
"""karaf""",833,https://github.com/apache/karaf/commit/3aa9632da6a2a22e49a81a699f32a11bce8dbd67,https://github.com/apache/karaf/commit/a775677e8410b5667a09f8bb7eddac1834d22421
"""karaf""",832,,
"""karaf""",831,,
"""karaf""",830,,
"""karaf""",829,,
"""karaf""",828,,
"""karaf""",827,,
"""karaf""",826,,
"""karaf""",824,,
"""karaf""",823,,
"""karaf""",822,https://github.com/apache/karaf/commit/9c6188915b13fc4ac3904f2ba880ebd480315474,https://github.com/apache/karaf/commit/998ca25ee429235dbcd9feb9a4e7805ce4ca4cd9
"""karaf""",821,,
"""karaf""",820,,
"""karaf""",819,https://github.com/apache/karaf/commit/74259bb8771da734ed84bf922dd1a0351b265a92,https://github.com/apache/karaf/commit/85e466cd7a503f57ec8f9bf96289f7d5e4ce22b8
"""karaf""",818,,
"""karaf""",817,,
"""karaf""",816,https://github.com/apache/karaf/commit/c2bae14670ee3996fd17ca6a760895b4b10b47c1,https://github.com/apache/karaf/commit/9b7da01f3796f07420d0f9660b3ff9ba4ab3ee22
"""karaf""",815,,
"""karaf""",814,https://github.com/apache/karaf/commit/4736fba4e08191c896464645eeb5f958317534d6,https://github.com/apache/karaf/commit/478ede2d03ceed9914806f73a45627da6d492c73
"""karaf""",813,,
"""karaf""",812,,
"""karaf""",811,https://github.com/apache/karaf/commit/75ea5d3e0191b75389da60f04a3e4fb3dd98dda7,https://github.com/apache/karaf/commit/7da50449f2eeb2b53caf530cb77a9a8761228440
"""karaf""",810,https://github.com/apache/karaf/commit/e60010f74f09d3e0090dc6edf3955dbaae8f3a3b,https://github.com/apache/karaf/commit/d3e89e4e95f5fa57eaf5be6ae9082dea5df1c107
"""karaf""",809,https://github.com/apache/karaf/commit/c0b30a0b5e543e7454f1204db9a77d4f0305b376,https://github.com/apache/karaf/commit/c73c2d479191c5363bd35d99787dd74c9a06a44e
"""karaf""",808,,
"""karaf""",807,,
"""karaf""",806,https://github.com/apache/karaf/commit/aa72786e34087a1ebb51e07e5d11234683c1d3c6,https://github.com/apache/karaf/commit/31dafc1d4ec7e36bfb3b80b42fea22bc9c433be0
