repo,pr_number,before_commit,after_commit
"""logging-log4j-audit""",20,https://github.com/apache/logging-log4j-audit/commit/8fcfbb5f0c9b59b447a3741c0f556cc5cabc2307,https://github.com/apache/logging-log4j-audit/commit/998525c777d01f737b8d0dfa95875a5f7020eb78
"""logging-log4j-audit""",19,,
"""logging-log4j-audit""",18,,
"""logging-log4j-audit""",17,,
"""logging-log4j-audit""",14,,
"""logging-log4j-audit""",13,,
"""logging-log4j-audit""",12,,
"""logging-log4j-audit""",11,,
"""logging-log4j-audit""",10,,
"""logging-log4j-audit""",9,,
"""logging-log4j-audit""",8,,
"""logging-log4j-audit""",7,,
"""logging-log4j-audit""",6,,
"""logging-log4j-audit""",5,,
"""logging-log4j-audit""",4,,
"""logging-log4j-audit""",3,,
"""logging-log4j-audit""",2,,
