repo,pr_number,before_commit,after_commit
"""lucene-solr""",851,,
"""lucene-solr""",849,,
"""lucene-solr""",848,,
"""lucene-solr""",847,,
"""lucene-solr""",846,,
"""lucene-solr""",845,,
"""lucene-solr""",842,,
"""lucene-solr""",841,,
"""lucene-solr""",839,,
"""lucene-solr""",837,,
"""lucene-solr""",836,,
"""lucene-solr""",834,,
"""lucene-solr""",832,,
"""lucene-solr""",830,,
"""lucene-solr""",827,,
"""lucene-solr""",823,https://github.com/apache/lucene-solr/commit/befd723fb7f9749633f419d6a52447cf6e9fdae2,https://github.com/apache/lucene-solr/commit/8ba4b006a6ca6aa219974bedc0695d55222e82e1
"""lucene-solr""",819,https://github.com/apache/lucene-solr/commit/94cf071dde83e09f394f30dd0af6fc1a158a3b91,https://github.com/apache/lucene-solr/commit/b055b0368a84deecf1cebbd9a1f083b055341232
"""lucene-solr""",818,,
"""lucene-solr""",817,https://github.com/apache/lucene-solr/commit/f76e50f221566a9635f9e36efe6584c7417130e4,https://github.com/apache/lucene-solr/commit/f15b1e84e2e63f700805bbed0374b1d5454d9728
"""lucene-solr""",816,,
"""lucene-solr""",813,,
"""lucene-solr""",811,,
"""lucene-solr""",810,,
"""lucene-solr""",809,,
"""lucene-solr""",808,,
"""lucene-solr""",806,,
"""lucene-solr""",805,https://github.com/apache/lucene-solr/commit/84d6b12e78d408fa283e34fc464457fe526c5074,https://github.com/apache/lucene-solr/commit/5f72ea7c209696546488aff731b7b7720f3923ae
"""lucene-solr""",801,,
"""lucene-solr""",796,,
"""lucene-solr""",794,https://github.com/apache/lucene-solr/commit/628112bb791e61d95903612cbc963c35a92d5dcb,https://github.com/apache/lucene-solr/commit/95d9950a577ce9e6d9ed5a9ccb82216294a3c72f
"""lucene-solr""",791,,
"""lucene-solr""",789,,
"""lucene-solr""",787,,
"""lucene-solr""",783,,
"""lucene-solr""",782,,
"""lucene-solr""",781,,
"""lucene-solr""",776,,
"""lucene-solr""",775,,
"""lucene-solr""",774,,
"""lucene-solr""",767,,
"""lucene-solr""",766,,
"""lucene-solr""",765,,
"""lucene-solr""",764,,
"""lucene-solr""",760,,
"""lucene-solr""",759,https://github.com/apache/lucene-solr/commit/bd8b13931120275dc157ded60160594a9f1daaf7,https://github.com/apache/lucene-solr/commit/0250b8855922c0c60ad6ff24a83f2d9f546ce9d8
"""lucene-solr""",757,https://github.com/apache/lucene-solr/commit/70158fbf338e8753818f8c4b3fd28574b18e52e1,https://github.com/apache/lucene-solr/commit/f09905bde96bb4d5936503d86c1f92fe68e52647
"""lucene-solr""",756,,
"""lucene-solr""",754,https://github.com/apache/lucene-solr/commit/193d9c13e0a1e308b10d692c238b860276812d91,https://github.com/apache/lucene-solr/commit/7e24e2f0cec1cfd45838f6be6b3d14911e6539ec
"""lucene-solr""",748,,
"""lucene-solr""",747,,
"""lucene-solr""",746,,
"""lucene-solr""",743,,
"""lucene-solr""",741,,
"""lucene-solr""",739,,
"""lucene-solr""",734,https://github.com/apache/lucene-solr/commit/2465089468614946096a137364d0df919081978a,https://github.com/apache/lucene-solr/commit/2c2dc6dc430707ef05dc915dea6c35c35e82f899
"""lucene-solr""",732,,
"""lucene-solr""",731,,
"""lucene-solr""",730,,
"""lucene-solr""",729,https://github.com/apache/lucene-solr/commit/d75cce2b74998b1993dbf339f82d89928d17f0d8,https://github.com/apache/lucene-solr/commit/12e2700f9a34b1f48d6a5e4c67bcb98a143d0d05
"""lucene-solr""",725,,
"""lucene-solr""",720,https://github.com/apache/lucene-solr/commit/4a446fdb58370c3f04911560e64afd5b18d755cb,https://github.com/apache/lucene-solr/commit/f166c602d44eb9de5853d625df46e1edc7d8d0d9
"""lucene-solr""",719,,
"""lucene-solr""",717,https://github.com/apache/lucene-solr/commit/d8c0885d0332ef1e42fe1e647f9123873c7deb83,https://github.com/apache/lucene-solr/commit/e2a285b6df5bbe1ccb4f12d562b72574ebf31a13
"""lucene-solr""",716,,
"""lucene-solr""",714,,
"""lucene-solr""",712,,
"""lucene-solr""",710,,
"""lucene-solr""",708,,
"""lucene-solr""",707,https://github.com/apache/lucene-solr/commit/a222a12749b7a64d1f5c29da812692013be7a04a,https://github.com/apache/lucene-solr/commit/e544dc27be1e0741805cc36de62fc2cd854e4bcd
"""lucene-solr""",706,,
"""lucene-solr""",705,,
"""lucene-solr""",704,,
"""lucene-solr""",703,,
"""lucene-solr""",702,,
"""lucene-solr""",700,,
"""lucene-solr""",699,,
"""lucene-solr""",698,https://github.com/apache/lucene-solr/commit/a476d74b553e7cded08d57dee7f8450abbb6f355,https://github.com/apache/lucene-solr/commit/ad3b1b0705f48519d4925de03557ea268b899fc4
"""lucene-solr""",696,,
"""lucene-solr""",694,,
"""lucene-solr""",693,,
"""lucene-solr""",691,,
"""lucene-solr""",688,,
"""lucene-solr""",687,https://github.com/apache/lucene-solr/commit/d9ee74944c7b4be3114885d8f0cd38eaab2786cf,https://github.com/apache/lucene-solr/commit/17efa514c8cd5bc0f4d1bb2c903e61d05e47ab8d
"""lucene-solr""",686,,
"""lucene-solr""",685,,
"""lucene-solr""",683,,
"""lucene-solr""",682,,
