repo,pr_number,before_commit,after_commit
"""maven-scm""",85,,
"""maven-scm""",69,,
"""maven-scm""",68,,
"""maven-scm""",65,https://github.com/apache/maven-scm/commit/8b94e92cccc23aa183696f10bf4838eb99e85e68,https://github.com/apache/maven-scm/commit/5d00a458e2ea676d8c9358ef4e930f2df02e6287
"""maven-scm""",63,,
"""maven-scm""",62,,
"""maven-scm""",61,,
"""maven-scm""",56,https://github.com/apache/maven-scm/commit/ca0627580a3204629f214acdd1cd0ac0f84b5f56,https://github.com/apache/maven-scm/commit/8c65cb040f14828d34533a58cd52dca9f59a19c7
"""maven-scm""",54,https://github.com/apache/maven-scm/commit/cf8ff865e8622e21a0d7b05e86059987a3f37e1d,https://github.com/apache/maven-scm/commit/399e822cc62fd0ae5ebcd22e07e51a61bde671f8
"""maven-scm""",50,,
"""maven-scm""",45,,
"""maven-scm""",34,,
"""maven-scm""",32,,
"""maven-scm""",29,,
"""maven-scm""",26,,
"""maven-scm""",24,,
"""maven-scm""",16,,
"""maven-scm""",11,,
"""maven-scm""",10,,
"""maven-scm""",8,,
"""maven-scm""",7,,
"""maven-scm""",6,,
