repo,pr_number,before_commit,after_commit
"""netbeans""",1472,,
"""netbeans""",1471,,
"""netbeans""",1470,,
"""netbeans""",1469,,
"""netbeans""",1468,,
"""netbeans""",1466,https://github.com/apache/netbeans/commit/961dd18965a27d32c117ae46f960d1cdd50b50a6,https://github.com/apache/netbeans/commit/fbeb74908a0946562f7b7db5152eefbf773f88d1
"""netbeans""",1463,,
"""netbeans""",1461,,
"""netbeans""",1460,,
"""netbeans""",1459,,
"""netbeans""",1457,,
"""netbeans""",1453,,
"""netbeans""",1449,,
"""netbeans""",1448,,
"""netbeans""",1443,,
"""netbeans""",1440,,
"""netbeans""",1439,https://github.com/apache/netbeans/commit/aad27421ca15ee7256e06a146b476c6d6954be57,https://github.com/apache/netbeans/commit/2ca7b667c3ae79e932db3b7ec188f89f9124829d
"""netbeans""",1438,https://github.com/apache/netbeans/commit/730bd11f655ef71e5393b892f8721772dd15b797,https://github.com/apache/netbeans/commit/02bd451e3ca5179f94c73f15da9b95f5f9f3f487
"""netbeans""",1437,https://github.com/apache/netbeans/commit/a9a145adb32fb0515a5256b6f7e73fc811412331,https://github.com/apache/netbeans/commit/2d1c44d37765080bfd76ed8b13cc3ae1c3b7cf1d
"""netbeans""",1436,,
"""netbeans""",1435,,
"""netbeans""",1434,,
"""netbeans""",1433,,
"""netbeans""",1432,,
"""netbeans""",1430,,
"""netbeans""",1429,https://github.com/apache/netbeans/commit/d04e562b6b05ad8dc1c941b008cdcae0e8ac0850,https://github.com/apache/netbeans/commit/ea155adc30dfed25afbc25844436e2cc59cd1391
"""netbeans""",1426,,
"""netbeans""",1424,,
"""netbeans""",1423,https://github.com/apache/netbeans/commit/8b03188a2c6f9a4a42127a79f3ca1cf7af4c6f06,https://github.com/apache/netbeans/commit/48c3e4ffe0f8601d6898b5cef65712b057a604bd
"""netbeans""",1421,,
"""netbeans""",1420,,
"""netbeans""",1419,,
"""netbeans""",1418,https://github.com/apache/netbeans/commit/54aeec1bdbc636504165e8942dbb3032ef53dc99,https://github.com/apache/netbeans/commit/858cd2795f35cd905fe95d95ff0f9a80ba3589de
"""netbeans""",1417,,
"""netbeans""",1414,,
"""netbeans""",1413,,
"""netbeans""",1412,,
"""netbeans""",1409,,
"""netbeans""",1408,,
"""netbeans""",1407,,
"""netbeans""",1402,https://github.com/apache/netbeans/commit/8a68b20d97158e19c5362f42cca1506c68a9058b,https://github.com/apache/netbeans/commit/68022a04c581a35e6dd35e70e1d5ff3539fc0b49
"""netbeans""",1401,,
"""netbeans""",1400,,
"""netbeans""",1397,,
"""netbeans""",1396,,
"""netbeans""",1395,,
"""netbeans""",1394,,
"""netbeans""",1393,,
"""netbeans""",1392,,
"""netbeans""",1391,,
"""netbeans""",1390,,
"""netbeans""",1389,,
"""netbeans""",1385,,
"""netbeans""",1384,,
"""netbeans""",1382,,
"""netbeans""",1381,,
"""netbeans""",1380,,
"""netbeans""",1379,,
"""netbeans""",1378,,
"""netbeans""",1376,,
"""netbeans""",1375,,
"""netbeans""",1374,,
"""netbeans""",1373,,
"""netbeans""",1372,,
"""netbeans""",1370,,
"""netbeans""",1369,,
"""netbeans""",1368,,
"""netbeans""",1367,,
"""netbeans""",1366,,
"""netbeans""",1365,,
"""netbeans""",1364,,
"""netbeans""",1363,,
"""netbeans""",1362,,
"""netbeans""",1361,,
"""netbeans""",1360,,
"""netbeans""",1359,,
"""netbeans""",1358,,
"""netbeans""",1357,,
"""netbeans""",1356,,
"""netbeans""",1354,,
"""netbeans""",1353,,
"""netbeans""",1352,,
"""netbeans""",1351,,
"""netbeans""",1350,,
"""netbeans""",1349,https://github.com/apache/netbeans/commit/ee2f88e2d6b59f870c07d9d74ca938ab7115575a,https://github.com/apache/netbeans/commit/c1fdcbfecdefabd06d08445b24a20634fe7325fa
"""netbeans""",1348,,
"""netbeans""",1347,,
"""netbeans""",1346,,
"""netbeans""",1344,https://github.com/apache/netbeans/commit/233f340e04406f0ed7de9a0e51f3cf22930d7928,https://github.com/apache/netbeans/commit/65065fdb5889a39f56e0c0b5beba91d398ee0ff9
"""netbeans""",1343,https://github.com/apache/netbeans/commit/95aae5bfd382be838771bc66e591d2865d32fcce,https://github.com/apache/netbeans/commit/3ecf7daa2a0a0c871adef2d0d35e91584b61e49e
"""netbeans""",1342,https://github.com/apache/netbeans/commit/bad8bf94a58f591740d04a45f5b42410505620b9,https://github.com/apache/netbeans/commit/3a8da154abb80cf17f7f003e8ea9983017c633c1
"""netbeans""",1341,https://github.com/apache/netbeans/commit/3286a47b2f1c8942ad56089091d46e9bad6421f7,https://github.com/apache/netbeans/commit/1f376dfb14b94ae5784a377c26c6a48e15040487
"""netbeans""",1340,https://github.com/apache/netbeans/commit/66b83d5b7a2fbd66b649325810790feee744be85,https://github.com/apache/netbeans/commit/29109edc539886c294c2f91edf1a145687e9d45c
"""netbeans""",1339,,
"""netbeans""",1338,,
"""netbeans""",1337,,
"""netbeans""",1336,https://github.com/apache/netbeans/commit/a87da4d8e143427b3192890a48215eff5caaadc9,https://github.com/apache/netbeans/commit/fa9482e04b8a74b9bdaf10224892579ad7629093
"""netbeans""",1335,,
"""netbeans""",1334,,
"""netbeans""",1333,,
"""netbeans""",1331,,
"""netbeans""",1330,,
