repo,pr_number,before_commit,after_commit
"""nifi-registry""",227,,
"""nifi-registry""",226,,
"""nifi-registry""",223,,
"""nifi-registry""",221,,
"""nifi-registry""",220,,
"""nifi-registry""",219,,
"""nifi-registry""",213,,
"""nifi-registry""",210,,
"""nifi-registry""",206,,
"""nifi-registry""",204,,
"""nifi-registry""",200,,
"""nifi-registry""",199,,
"""nifi-registry""",190,,
"""nifi-registry""",187,,
"""nifi-registry""",179,,
"""nifi-registry""",176,,
"""nifi-registry""",175,,
"""nifi-registry""",173,https://github.com/apache/nifi-registry/commit/0055b6311dce5d6ed49ca201384e4a850f7e78b8,https://github.com/apache/nifi-registry/commit/92ded03ea0df75a5f814512ae8f0fcec6a78c883
"""nifi-registry""",170,,
"""nifi-registry""",159,https://github.com/apache/nifi-registry/commit/134ec3e781a0d24a12bb0b1d8e5633f360482a49,https://github.com/apache/nifi-registry/commit/5a07d8977e2583f99662ddd70a113cbd16be857b
"""nifi-registry""",156,,
"""nifi-registry""",138,,
"""nifi-registry""",115,,
