repo,pr_number,before_commit,after_commit
"""nifi""",3685,,
"""nifi""",3669,,
"""nifi""",3668,,
"""nifi""",3593,,
"""nifi""",3591,,
"""nifi""",3590,,
"""nifi""",3586,https://github.com/apache/nifi/commit/61d55a67de99b1c2ec247e9f46c00b981b826b4d,https://github.com/apache/nifi/commit/be503e326faeafdcc04a60fde07326678e34f6e0
"""nifi""",3554,https://github.com/apache/nifi/commit/438e7becf9ac88ce614e9462747aec989843a76b,https://github.com/apache/nifi/commit/2be5d4f294a8aa6ee04430654b07735825ab9a59
"""nifi""",3492,,
"""nifi""",3475,,
"""nifi""",3448,,
"""nifi""",3447,,
"""nifi""",3440,,
"""nifi""",3433,,
"""nifi""",3360,,
"""nifi""",3348,,
"""nifi""",3260,,
"""nifi""",3232,,
"""nifi""",3225,https://github.com/apache/nifi/commit/cf0b885182ed35f849d71116ad558d6572359de4,https://github.com/apache/nifi/commit/4b70465ea574b461e105c5fb2bafedd96589dd08
"""nifi""",3224,,
"""nifi""",3220,,
"""nifi""",3219,,
"""nifi""",3203,,
"""nifi""",3091,https://github.com/apache/nifi/commit/8dac1331f9deead096895b77f9cedbc6f579b4e5,https://github.com/apache/nifi/commit/a8498435fadf878a50094991ea304c1a0528d797
"""nifi""",3063,,
"""nifi""",2370,https://github.com/apache/nifi/commit/284a9899cf8ee5734624d4136ac1c139f8e97b36,https://github.com/apache/nifi/commit/7a8dbb8b1512d7bd7a26e1b996a7ef859ccfcd4e
"""nifi""",2191,,
"""nifi""",2185,,
"""nifi""",2161,https://github.com/apache/nifi/commit/4ccf9851d219d17f370042a828720bbf2162a25f,https://github.com/apache/nifi/commit/7b6aab7f9825ef10a72af5a7cfc7606fbf1966fd
"""nifi""",2155,https://github.com/apache/nifi/commit/c0248e5fc3bc09bd5cadb27ac1affe646821f9e3,https://github.com/apache/nifi/commit/6169061456bf8ff98e511ddb0966ed692d98b6e1
"""nifi""",761,https://github.com/apache/nifi/commit/3d142760ef4f6246c1838b709b859bfe5ed1aaac,https://github.com/apache/nifi/commit/7a9cbe13af348b07e84ff61b29f711848561680d
"""nifi""",671,https://github.com/apache/nifi/commit/c2917176c6313da1f11407c4f5f8ed288fdce34f,https://github.com/apache/nifi/commit/f4d2919955ff3cbbd0ce4309f2f18ff295481a01
"""nifi""",631,https://github.com/apache/nifi/commit/fa6d532c3124fc58a5261d3cf9f4c353c0fa7409,https://github.com/apache/nifi/commit/e0c96794fae85776b8b0fbb3cb236217eb591960
"""nifi""",532,https://github.com/apache/nifi/commit/be90f26f52a126fa09f0f79074669c9fd47a1c0b,https://github.com/apache/nifi/commit/edce66d34f711e667225903b5c9adace502ba135
"""nifi""",441,,
"""nifi""",440,,
"""nifi""",437,,
"""nifi""",415,,
"""nifi""",393,https://github.com/apache/nifi/commit/57655854e92228be82487c5b4cf6e2b741a280c9,https://github.com/apache/nifi/commit/ff98d823e20f5042dfbb05d9f8efda0daf3d3ba4
"""nifi""",383,https://github.com/apache/nifi/commit/c5d454abdf0bd55283be328fa69f28ad5b4076f7,https://github.com/apache/nifi/commit/7cce02d39e314aa67d352b106e4ab8a62bda4bc8
"""nifi""",373,https://github.com/apache/nifi/commit/b297692ce712e68fcd1d55c8db31703d89ecee70,https://github.com/apache/nifi/commit/f94b0f2ed2734787a106b2db2e958f0d15b6e6a1
"""nifi""",300,https://github.com/apache/nifi/commit/a87f7b6c0a7f7534ab8d30c0a3da7063ae6422c9,https://github.com/apache/nifi/commit/b95a82f4a516249f240075e3c402655be70106ca
"""nifi""",295,https://github.com/apache/nifi/commit/a2d48bef61938cab855e17e3997fa7801f827f39,https://github.com/apache/nifi/commit/e0e00ff282510904e2705616164280cbd670a7d9
"""nifi""",251,,
"""nifi""",216,,
"""nifi""",207,,
"""nifi""",203,https://github.com/apache/nifi/commit/5b881deb6d8f3d983a7aeaa9f374b91ed26d56ad,https://github.com/apache/nifi/commit/478226451ce2e7a2831814abfbea5367e0c66eed
"""nifi""",195,,
"""nifi""",191,https://github.com/apache/nifi/commit/795d498b04dc2f86ef4ffdd14c91be282953058f,https://github.com/apache/nifi/commit/0395b903152caef57644662dc4a00bcd490e26d7
"""nifi""",190,,
"""nifi""",184,,
"""nifi""",182,https://github.com/apache/nifi/commit/65aacf7d1b75a3c5483ce0635f778ab1727ed5b3,https://github.com/apache/nifi/commit/91e7ba84e06eef67baff489a1f7d8bf83f1ed663
"""nifi""",166,,
"""nifi""",158,,
"""nifi""",141,https://github.com/apache/nifi/commit/b54f35d72a51cecdaa1a680efadca998eb9ab8f7,https://github.com/apache/nifi/commit/0d09054d9f40f433c156712421c18cde313b1e07
"""nifi""",131,https://github.com/apache/nifi/commit/1bad5e41d54f2cdfff1f05fe048a35fec44aeee1,https://github.com/apache/nifi/commit/d949ee1a1ee529fbf0103b4620fef47832132a53
"""nifi""",130,https://github.com/apache/nifi/commit/f6c13aab6968c7b5a79baca98dd16077b17b0dbf,https://github.com/apache/nifi/commit/854c667bd3382c370bee39a778597562c05f418e
"""nifi""",127,,
"""nifi""",124,,
"""nifi""",123,,
"""nifi""",122,,
"""nifi""",120,,
"""nifi""",118,https://github.com/apache/nifi/commit/98d8bcf878333101c87570ef1d244adba3d8baec,https://github.com/apache/nifi/commit/8699e351081984a39b1e91ea0c6d878490413274
"""nifi""",117,https://github.com/apache/nifi/commit/370950b0193c0a64cb023b2e64d9ea40c9ad97f4,https://github.com/apache/nifi/commit/76690a8ee9ac1907df711525aa2c169168c8c540
"""nifi""",111,,
"""nifi""",92,,
"""nifi""",91,https://github.com/apache/nifi/commit/b07e5c0aefe01f8dca95d3514b432afab87fba98,https://github.com/apache/nifi/commit/c45060f703cc728aa2a0770e5dbc9ef66f65a367
"""nifi""",80,,
"""nifi""",79,,
"""nifi""",78,,
"""nifi""",74,,
"""nifi""",71,,
"""nifi""",60,,
"""nifi""",57,,
