repo,pr_number,before_commit,after_commit
"""nutch""",467,,
"""nutch""",466,,
"""nutch""",465,,
"""nutch""",464,,
"""nutch""",462,https://github.com/apache/nutch/commit/78da166f198c21462e96539abab213d6a070802e,https://github.com/apache/nutch/commit/5c45172bc86f30e24c6dfe126b10274cd9f799bf
"""nutch""",461,,
"""nutch""",460,https://github.com/apache/nutch/commit/6985c09a02162a255473c6cb4453d57912dd706f,https://github.com/apache/nutch/commit/1698f6aed320f244c3561bacbfa05b0071cbb2d1
"""nutch""",459,,
"""nutch""",457,,
"""nutch""",456,,
"""nutch""",455,,
"""nutch""",453,,
"""nutch""",452,https://github.com/apache/nutch/commit/2551ffc7ab887fedabb0701c441b6934f8cb1f97,https://github.com/apache/nutch/commit/b1c46c48451bdfeacec730693ab49b07b7b95812
"""nutch""",451,,
"""nutch""",450,,
"""nutch""",448,,
"""nutch""",447,https://github.com/apache/nutch/commit/6a877e59b903d1ba06be72a02bd31671b5ced06c,https://github.com/apache/nutch/commit/0624d2588ee3b2e84be28ffb59db6d62c1456752
"""nutch""",446,,
"""nutch""",445,,
"""nutch""",444,,
"""nutch""",443,,
"""nutch""",442,,
"""nutch""",441,,
"""nutch""",440,,
"""nutch""",437,,
"""nutch""",436,,
"""nutch""",435,https://github.com/apache/nutch/commit/b9f4573842c2ef0d4b2f4ffaec68a9d03d75a65c,https://github.com/apache/nutch/commit/36c2ce6925a7fc4e4c3f5b6052ee96d491d2e5eb
"""nutch""",434,,
"""nutch""",433,https://github.com/apache/nutch/commit/30b1d50c981c604af60271b9b143cb197f15a5e0,https://github.com/apache/nutch/commit/1fc98bf061aedb98be4453865201ce6d9f1dede6
"""nutch""",432,,
"""nutch""",429,,
"""nutch""",428,,
"""nutch""",427,,
"""nutch""",426,,
"""nutch""",425,,
"""nutch""",424,,
"""nutch""",423,,
"""nutch""",422,,
"""nutch""",407,,
"""nutch""",406,,
"""nutch""",405,,
"""nutch""",404,,
"""nutch""",402,,
"""nutch""",401,https://github.com/apache/nutch/commit/bd901f151460c839b16d0b287b7e1fe6af1bb9b4,https://github.com/apache/nutch/commit/3e9a6e42b240535f114b4a3c0864b269c449d2a1
"""nutch""",400,,
"""nutch""",399,,
"""nutch""",398,,
"""nutch""",397,,
"""nutch""",396,,
"""nutch""",395,,
"""nutch""",394,,
"""nutch""",393,,
"""nutch""",392,,
"""nutch""",391,,
"""nutch""",390,,
"""nutch""",389,,
"""nutch""",388,,
"""nutch""",387,,
"""nutch""",386,,
"""nutch""",385,,
"""nutch""",383,https://github.com/apache/nutch/commit/c47df92fc706e4db8e3a2ea091d5b8c1b850f068,https://github.com/apache/nutch/commit/497db003ff6df1e1bfe381fea7d01efd2482f8d8
"""nutch""",382,,
"""nutch""",381,https://github.com/apache/nutch/commit/b1a9e2af7aeaa505cc0de1dda464d4e7b5c6bc12,https://github.com/apache/nutch/commit/ef140f4ebf1499899da731d0c758a8802d2e81a6
"""nutch""",380,,
"""nutch""",379,,
"""nutch""",378,,
"""nutch""",376,,
"""nutch""",375,,
"""nutch""",374,,
