repo,pr_number,before_commit,after_commit
"""reef""",1489,,
"""reef""",1488,,
"""reef""",1480,,
"""reef""",1478,,
"""reef""",1477,https://github.com/apache/reef/commit/662918ae863a955b415476d9217840d13f9e8dc5,https://github.com/apache/reef/commit/c114356dd9555f44cc4309414cffe3c49bafde3d
"""reef""",1476,,
"""reef""",1475,,
"""reef""",1474,,
"""reef""",1472,,
"""reef""",1471,,
"""reef""",1470,https://github.com/apache/reef/commit/9afe81e559e3d0c64c9e5bb1d249c82273407dfa,https://github.com/apache/reef/commit/800d3f5a5f613ce065f4bb42324c73ad8d8986a6
"""reef""",1469,https://github.com/apache/reef/commit/b525c044eb9cc4d9728d21daa78d72d454dc7284,https://github.com/apache/reef/commit/b19ab1e601df400e92de70ff18a68cc5f2f19bf6
"""reef""",1468,https://github.com/apache/reef/commit/f6a392f7e6c782a6b1b9891d1258706f459be4f2,https://github.com/apache/reef/commit/f10eab4fa444741083d1c0cde2aee153f2a8d2db
"""reef""",1467,https://github.com/apache/reef/commit/8d4e11462c6c143c594265559070d2b9d54a8660,https://github.com/apache/reef/commit/1ad74a91813461a51441ec8267670ec4fae4d168
"""reef""",1466,https://github.com/apache/reef/commit/d2f504a766bfad31b112b10e8199ac88ad756c91,https://github.com/apache/reef/commit/22e952d7a535331dc447e2c1f2cf241a538ee5bc
"""reef""",1464,https://github.com/apache/reef/commit/9d4cb168807b72c2490650dd73cfe19885d18821,https://github.com/apache/reef/commit/d8d82da5f1527373f32544f853a421dd5a28722b
"""reef""",1463,,
"""reef""",1460,,
"""reef""",1456,https://github.com/apache/reef/commit/ec1de8b114c13a7c5996a7c47cca3db69c595f6d,https://github.com/apache/reef/commit/95498ba3ca8d7c794bdf12c892241f21142a0fde
"""reef""",1333,,
"""reef""",1276,,
"""reef""",754,,
"""reef""",520,https://github.com/apache/reef/commit/6c4359e1752d69e6a9a53584a3b83e8a8f9e4972,https://github.com/apache/reef/commit/ce017df225ab618d654585d9c23b32aa3f0e265c
"""reef""",512,https://github.com/apache/reef/commit/3ed7fd50bc00f76a61aa79e36d3213dc42fb52c1,https://github.com/apache/reef/commit/30d8d34de835d80dab22e52f1840bd0132c3fa24
"""reef""",307,,
"""reef""",160,,
"""reef""",77,,
