repo,pr_number,before_commit,after_commit
"""samza""",1148,https://github.com/apache/samza/commit/c1e3e488b94d5b6b26f2f07263b47698c3dead24,https://github.com/apache/samza/commit/b1c2db5996622330f8312e094f37d940531676df
"""samza""",1146,,
"""samza""",1145,,
"""samza""",1144,,
"""samza""",1143,,
"""samza""",1142,,
"""samza""",1141,,
"""samza""",1138,,
"""samza""",1136,,
"""samza""",1134,,
"""samza""",1133,,
"""samza""",1132,,
"""samza""",1131,,
"""samza""",1130,,
"""samza""",1128,,
"""samza""",1127,,
"""samza""",1126,,
"""samza""",1124,,
"""samza""",1123,,
"""samza""",1122,,
"""samza""",1121,,
"""samza""",1120,,
"""samza""",1119,https://github.com/apache/samza/commit/a2efcafdf3152ac7d3ab429e900fb510a615a074,https://github.com/apache/samza/commit/9dfbc0dbeffcded6a2802e583fcb977c00ac4d48
"""samza""",1118,,
"""samza""",1117,https://github.com/apache/samza/commit/6bd6ece9befb93e1e803d345c9a677cf6ba84463,https://github.com/apache/samza/commit/cebc4b388b66a1bdf3338c428ef3cbca50fd26b1
"""samza""",1116,,
"""samza""",1114,https://github.com/apache/samza/commit/816f0730344e0f9422e93a9b3956cb7f7e6f5874,https://github.com/apache/samza/commit/4e390a4d20253ff840415d6454fc9d855c8ed060
"""samza""",1110,,
"""samza""",1109,,
"""samza""",1106,https://github.com/apache/samza/commit/255d7efe8eb0cd181a6660b77514ee475af56fe2,https://github.com/apache/samza/commit/2336801ed4215f1aa62a151e1c037af92a51260a
"""samza""",1104,,
"""samza""",1102,,
"""samza""",1101,,
"""samza""",1100,,
"""samza""",1098,,
"""samza""",1096,,
"""samza""",1095,,
"""samza""",1094,,
"""samza""",1093,,
"""samza""",1092,,
"""samza""",1091,,
"""samza""",1090,,
"""samza""",1087,,
"""samza""",1085,,
"""samza""",1084,https://github.com/apache/samza/commit/2aecef89c940074cd6dc6c6c0848ab080cce399a,https://github.com/apache/samza/commit/65311a9ac6e9e7733c15d83c59407ea5e749369c
"""samza""",1082,,
"""samza""",1081,,
"""samza""",1079,https://github.com/apache/samza/commit/762c01c0cd8f3e1e8c24fb1adad97ba754930a87,https://github.com/apache/samza/commit/988546edaae7d135b217c2175c11936ccc00b196
"""samza""",1078,,
"""samza""",1077,,
"""samza""",1076,,
"""samza""",1074,,
"""samza""",1073,,
"""samza""",1072,,
"""samza""",1071,,
"""samza""",1068,,
"""samza""",1067,,
"""samza""",1063,,
"""samza""",1062,,
"""samza""",1060,,
"""samza""",1057,,
"""samza""",1054,,
"""samza""",1053,,
"""samza""",1051,,
"""samza""",1049,,
"""samza""",1048,,
"""samza""",1047,,
"""samza""",1045,,
"""samza""",1044,,
"""samza""",1043,https://github.com/apache/samza/commit/5f36fbdcab1a805128adc051a342a3a8d1415f0a,https://github.com/apache/samza/commit/c78dbf8cc448df72d417d9f8261fa7956c061e41
"""samza""",1042,,
"""samza""",1041,,
"""samza""",1040,,
"""samza""",1039,,
"""samza""",1038,,
"""samza""",1037,,
"""samza""",1036,,
"""samza""",1035,,
"""samza""",1034,,
"""samza""",1033,,
"""samza""",1032,,
"""samza""",1031,https://github.com/apache/samza/commit/7928151108ddd1ff5fa1863b3ecbacff92086cbd,https://github.com/apache/samza/commit/e284014c0a457ed4b51aadf5f83b16c0bde2b9a9
"""samza""",1030,,
"""samza""",1028,,
"""samza""",1027,,
"""samza""",1026,,
"""samza""",1025,,
"""samza""",1023,,
"""samza""",1022,,
"""samza""",1019,,
"""samza""",1017,,
"""samza""",1016,https://github.com/apache/samza/commit/6c2e7c63c4ccf9e7dc07e43031ba9ed10b5d524d,https://github.com/apache/samza/commit/39b1aa369671f1be9d593175c0bb717db6a345c8
"""samza""",1015,,
"""samza""",1010,https://github.com/apache/samza/commit/84fa77b17c49660a7f6047ed0329e954a39fd7d7,https://github.com/apache/samza/commit/07918b32977344bedd1200dae2f66370bbf271c5
"""samza""",1009,,
"""samza""",1008,,
"""samza""",1007,,
"""samza""",1006,,
"""samza""",1002,,
"""samza""",999,,
"""samza""",998,,
"""samza""",997,,
"""samza""",996,,
