repo,pr_number,before_commit,after_commit
"""servicecomb-java-chassis""",1307,https://github.com/apache/servicecomb-java-chassis/commit/1443ad0d359a7a6c2cb64013f2398c472b77d146,https://github.com/apache/servicecomb-java-chassis/commit/ef839901ecad41b1f49f45ff58dd01bb80d79163
"""servicecomb-java-chassis""",1306,,
"""servicecomb-java-chassis""",1302,https://github.com/apache/servicecomb-java-chassis/commit/f21345651efa0b72965628de74bb3f1647b732f7,https://github.com/apache/servicecomb-java-chassis/commit/f0611dba12976f7f49051deef6a94bf91c930bd8
"""servicecomb-java-chassis""",1301,https://github.com/apache/servicecomb-java-chassis/commit/0e692c0e5459f041031acc5083c1592da3c2cad8,https://github.com/apache/servicecomb-java-chassis/commit/4438b67a9ad40c4bf4e9fcf563c39904ca18c824
"""servicecomb-java-chassis""",1298,,
"""servicecomb-java-chassis""",1297,,
"""servicecomb-java-chassis""",1296,https://github.com/apache/servicecomb-java-chassis/commit/9f326c03cca93ea1baecbb7a2e0c44354e9fe390,https://github.com/apache/servicecomb-java-chassis/commit/ba9b7323d7f662a2bf4a6b520fbc00531221dc73
"""servicecomb-java-chassis""",1295,https://github.com/apache/servicecomb-java-chassis/commit/6fe5f4495b3fbc6b73c6c04e6ac6667cd3daa565,https://github.com/apache/servicecomb-java-chassis/commit/1e6f90b03d7ab10eb23baeba344979128d9d2bea
"""servicecomb-java-chassis""",1294,,
"""servicecomb-java-chassis""",1283,https://github.com/apache/servicecomb-java-chassis/commit/ba9139d7a80ef9ac329e8a7f37ffe0405bb0b4e3,https://github.com/apache/servicecomb-java-chassis/commit/ceb83f122f0d01a55e461c7054b2e961c3feb8c1
"""servicecomb-java-chassis""",1282,,
"""servicecomb-java-chassis""",1281,https://github.com/apache/servicecomb-java-chassis/commit/2813f50b25b1f4793d1a06a8471afcf7b511796c,https://github.com/apache/servicecomb-java-chassis/commit/cd913ab7a71de58959ccbff6130c367ef2e58238
"""servicecomb-java-chassis""",1277,https://github.com/apache/servicecomb-java-chassis/commit/ceb83f122f0d01a55e461c7054b2e961c3feb8c1,https://github.com/apache/servicecomb-java-chassis/commit/e9d59200ab78c71d0318f7a77099600f2ac350e4
"""servicecomb-java-chassis""",1269,https://github.com/apache/servicecomb-java-chassis/commit/26ca84c6e0c4122982f8a60274d198e5ea31faee,https://github.com/apache/servicecomb-java-chassis/commit/4bb74f225e80b4e5286f8d8ab3abcb72cc5a98da
"""servicecomb-java-chassis""",1263,,
"""servicecomb-java-chassis""",1260,,
"""servicecomb-java-chassis""",1259,,
"""servicecomb-java-chassis""",1258,,
"""servicecomb-java-chassis""",1256,https://github.com/apache/servicecomb-java-chassis/commit/30c9fcd615f91e262618e2e20965e5750bd0f912,https://github.com/apache/servicecomb-java-chassis/commit/ba55df1182cc326dcfa60d84fa6aa75b635b62fb
"""servicecomb-java-chassis""",1255,,
"""servicecomb-java-chassis""",1254,,
"""servicecomb-java-chassis""",1251,,
"""servicecomb-java-chassis""",1250,,
"""servicecomb-java-chassis""",1248,https://github.com/apache/servicecomb-java-chassis/commit/a274ab79124964e0a56ba7cb9b32012fcbe294f4,https://github.com/apache/servicecomb-java-chassis/commit/119ea22706be3980cd20d424800b64b16f620fbb
"""servicecomb-java-chassis""",1247,https://github.com/apache/servicecomb-java-chassis/commit/26308112ca4058945287bd53eaf1f61a368fa348,https://github.com/apache/servicecomb-java-chassis/commit/89ef8b7994c0a684bb6e7f0bb4af75659fdc0752
"""servicecomb-java-chassis""",1244,,
"""servicecomb-java-chassis""",1243,,
"""servicecomb-java-chassis""",1241,https://github.com/apache/servicecomb-java-chassis/commit/57e2ff12bb9756e6911c0bfa4ba80d354c46f291,https://github.com/apache/servicecomb-java-chassis/commit/db7b726e7171877dbd388bf5fa8e2664627464d6
"""servicecomb-java-chassis""",1240,https://github.com/apache/servicecomb-java-chassis/commit/2d3622b7e654f98346b3c169a8b49ce2077f41e3,https://github.com/apache/servicecomb-java-chassis/commit/bc7b9fbfd8b88af864fc013c0ddcf54239a81a3f
"""servicecomb-java-chassis""",1235,https://github.com/apache/servicecomb-java-chassis/commit/b33eaaa54794a8c3a67ae0b895846a827603e37a,https://github.com/apache/servicecomb-java-chassis/commit/3c70d42c35850c7d1207f94bb4221cd95bd50a94
"""servicecomb-java-chassis""",1234,https://github.com/apache/servicecomb-java-chassis/commit/0bed54b1dfcad6c8b70a763c351c21325a582813,https://github.com/apache/servicecomb-java-chassis/commit/bb3e53e34892be32e4f4b3d5c336ac3189e90f22
"""servicecomb-java-chassis""",1232,https://github.com/apache/servicecomb-java-chassis/commit/ab10607b422de4d893411bc00f424661cafc85d2,https://github.com/apache/servicecomb-java-chassis/commit/079ba5f9b80272805c21eb302a43556c48d862a6
"""servicecomb-java-chassis""",1231,https://github.com/apache/servicecomb-java-chassis/commit/5eefcfff143b19acb0f0148cc8da7d082442925a,https://github.com/apache/servicecomb-java-chassis/commit/4d0309d44dd7b9eaef56311030dd7882d2065b74
"""servicecomb-java-chassis""",1230,,
"""servicecomb-java-chassis""",1229,,
"""servicecomb-java-chassis""",1216,,
"""servicecomb-java-chassis""",1210,,
"""servicecomb-java-chassis""",1209,https://github.com/apache/servicecomb-java-chassis/commit/5e1148e75db328d3ce06570ac5538ee8067f442a,https://github.com/apache/servicecomb-java-chassis/commit/5656856427e9840c56830b935961ac7b96bf6df5
"""servicecomb-java-chassis""",1207,,
"""servicecomb-java-chassis""",1206,,
"""servicecomb-java-chassis""",1205,,
"""servicecomb-java-chassis""",1204,,
"""servicecomb-java-chassis""",1202,,
"""servicecomb-java-chassis""",1199,https://github.com/apache/servicecomb-java-chassis/commit/814bd02048c26bf1471589015384607487719a98,https://github.com/apache/servicecomb-java-chassis/commit/7651939ffb47940d5d0b4d73dfee5369211a6553
"""servicecomb-java-chassis""",1197,,
"""servicecomb-java-chassis""",1196,https://github.com/apache/servicecomb-java-chassis/commit/f445d426636c7101ea5295d6851614a4e9674ab2,https://github.com/apache/servicecomb-java-chassis/commit/b7b417f1af7daf5a7499cc0e0445c534312a30e9
"""servicecomb-java-chassis""",1195,,
"""servicecomb-java-chassis""",1194,,
"""servicecomb-java-chassis""",1193,https://github.com/apache/servicecomb-java-chassis/commit/2505e55bdc0e29b5d82610662a81007eaaf42ed2,https://github.com/apache/servicecomb-java-chassis/commit/c8cf0ba49e9920f2b23f35a46505639d53ebfce4
"""servicecomb-java-chassis""",1191,,
"""servicecomb-java-chassis""",1189,,
"""servicecomb-java-chassis""",1188,,
"""servicecomb-java-chassis""",1187,https://github.com/apache/servicecomb-java-chassis/commit/3e271a16c666f71ab025a0492ba9a4e59a8b5900,https://github.com/apache/servicecomb-java-chassis/commit/d9b72879456193fc95113429701a90582b8d098b
"""servicecomb-java-chassis""",1185,,
"""servicecomb-java-chassis""",1183,,
"""servicecomb-java-chassis""",1182,,
"""servicecomb-java-chassis""",1180,https://github.com/apache/servicecomb-java-chassis/commit/607c2fba0039c7a7cd0dad7858413c0b6c3ba92b,https://github.com/apache/servicecomb-java-chassis/commit/9eba2b73c8c687ffbcd8d9c1fc307361f3ec4907
"""servicecomb-java-chassis""",1179,,
"""servicecomb-java-chassis""",1178,,
"""servicecomb-java-chassis""",1177,,
"""servicecomb-java-chassis""",1176,,
"""servicecomb-java-chassis""",1173,,
"""servicecomb-java-chassis""",1172,,
"""servicecomb-java-chassis""",1171,,
"""servicecomb-java-chassis""",1170,,
"""servicecomb-java-chassis""",1169,,
"""servicecomb-java-chassis""",1168,https://github.com/apache/servicecomb-java-chassis/commit/53839774ed5fbec8e78c3148a285d7c7c93e826e,https://github.com/apache/servicecomb-java-chassis/commit/41c4f20449b8c1cc60f6fb639406b210fd034bf2
"""servicecomb-java-chassis""",1167,https://github.com/apache/servicecomb-java-chassis/commit/7cc29656c3c21c691ec0fbee449de761abcbc0b2,https://github.com/apache/servicecomb-java-chassis/commit/a7e05f0d5b9ce3a186981ec18f48b178e522384c
"""servicecomb-java-chassis""",1165,https://github.com/apache/servicecomb-java-chassis/commit/98eefa1f0379dfbedf2aacf14c991f4e684a85dc,https://github.com/apache/servicecomb-java-chassis/commit/a219c2aa2ba30524a17282545ea3e63475c9376e
"""servicecomb-java-chassis""",1164,,
"""servicecomb-java-chassis""",1163,https://github.com/apache/servicecomb-java-chassis/commit/2cda71f858b7d04d221f16f44c54cbd19a942fc5,https://github.com/apache/servicecomb-java-chassis/commit/57c53dcd8460eb180e674ceac5d6cc15322a0544
"""servicecomb-java-chassis""",1162,,
"""servicecomb-java-chassis""",1161,https://github.com/apache/servicecomb-java-chassis/commit/9ba54ebdec97a11706f050d1a9853a9c76aba146,https://github.com/apache/servicecomb-java-chassis/commit/585edca723fe2cb179f2c8025f3a97c898cf56a9
"""servicecomb-java-chassis""",1160,,
"""servicecomb-java-chassis""",1159,,
"""servicecomb-java-chassis""",1158,https://github.com/apache/servicecomb-java-chassis/commit/f10b1ab653b11c27e3cdf32f0b2fed0dec3f3b7a,https://github.com/apache/servicecomb-java-chassis/commit/c6be4c31d353b8573cf7d977937591fe3f07ad5b
"""servicecomb-java-chassis""",1157,https://github.com/apache/servicecomb-java-chassis/commit/9327b93010e2b2f361039fb10cde30d6d616d8f2,https://github.com/apache/servicecomb-java-chassis/commit/8e9a7464c0dca2fad907e95cf454e61cc6e8501b
"""servicecomb-java-chassis""",1154,https://github.com/apache/servicecomb-java-chassis/commit/712f64e9afcfccd49e4127f1dad011c6ff59e7ed,https://github.com/apache/servicecomb-java-chassis/commit/5aeab56e9688153911092f1f9e19fc6bdff8f16e
"""servicecomb-java-chassis""",1152,,
"""servicecomb-java-chassis""",1151,,
"""servicecomb-java-chassis""",1150,,
"""servicecomb-java-chassis""",1147,,
"""servicecomb-java-chassis""",1143,https://github.com/apache/servicecomb-java-chassis/commit/0df409fe13f5955497dfa68b2df69f78f0a4d7ee,https://github.com/apache/servicecomb-java-chassis/commit/558035ad9cd96cc061df99a61bf300a363e85486
"""servicecomb-java-chassis""",1142,,
"""servicecomb-java-chassis""",1141,https://github.com/apache/servicecomb-java-chassis/commit/f307ab5d9f01905c183d3c398027980cbc717a9e,https://github.com/apache/servicecomb-java-chassis/commit/360dc8f46cebc3646951745d8bc1ddae9c0449ca
"""servicecomb-java-chassis""",1140,,
"""servicecomb-java-chassis""",1138,,
"""servicecomb-java-chassis""",1136,https://github.com/apache/servicecomb-java-chassis/commit/e5d1704131757b7dda71534d2b87647900891b5d,https://github.com/apache/servicecomb-java-chassis/commit/ca143a4883ef2b1f80068e3cad74f9526603dfa9
"""servicecomb-java-chassis""",1135,,
"""servicecomb-java-chassis""",1134,,
"""servicecomb-java-chassis""",1132,,
"""servicecomb-java-chassis""",1131,https://github.com/apache/servicecomb-java-chassis/commit/3fd49cf35302e3932811925e15f0373e10953ff8,https://github.com/apache/servicecomb-java-chassis/commit/59d8e26a8b8fc824b620b9a7d2c0c33bded85ab6
"""servicecomb-java-chassis""",1128,https://github.com/apache/servicecomb-java-chassis/commit/cfbb6fed0b3194ea135eaf1564619a18f252a457,https://github.com/apache/servicecomb-java-chassis/commit/5abbf025362b634e0b144ec08c3cadd92076ad27
"""servicecomb-java-chassis""",1127,https://github.com/apache/servicecomb-java-chassis/commit/298e4779e6838a07db237c2a9527316908be84c9,https://github.com/apache/servicecomb-java-chassis/commit/1a22c228e7704eeba08b7d0f7f57cc48cc798d2c
"""servicecomb-java-chassis""",1125,,
"""servicecomb-java-chassis""",1124,,
"""servicecomb-java-chassis""",1123,https://github.com/apache/servicecomb-java-chassis/commit/e70e97daf322164aaad45eb7dbfd65cd0fef4ed2,https://github.com/apache/servicecomb-java-chassis/commit/12fb035e020df2cd06a2ee11769473ef58173776
"""servicecomb-java-chassis""",1120,,
"""servicecomb-java-chassis""",1119,,
"""servicecomb-java-chassis""",1118,,
