repo,pr_number,before_commit,after_commit
"""struts""",364,,
"""struts""",363,,
"""struts""",360,,
"""struts""",359,,
"""struts""",358,,
"""struts""",356,,
"""struts""",355,,
"""struts""",354,,
"""struts""",353,https://github.com/apache/struts/commit/e1661cf288efbc9b1471de2379facc2fa68d7a2d,https://github.com/apache/struts/commit/803feba09380b52172043a0525aaac2fcd85a732
"""struts""",352,,
"""struts""",351,,
"""struts""",350,https://github.com/apache/struts/commit/3d025c47fa4b32a1cd1d12e9cb43e8f55a947d7d,https://github.com/apache/struts/commit/f94b6810502ccad743c4a915a3fcde25b5ff1e3c
"""struts""",349,https://github.com/apache/struts/commit/2faf986c27f467d15948de3aa53d0eb68a1a158a,https://github.com/apache/struts/commit/4815744eaff0e3160eaba8e69d97ffb261a9560c
"""struts""",347,https://github.com/apache/struts/commit/1368081624c394e7f829cc09f70559a7f3a1488b,https://github.com/apache/struts/commit/7d6c9456d60cdde0c42c15fdd22b4714b2fc7f57
"""struts""",346,,
"""struts""",345,,
"""struts""",344,https://github.com/apache/struts/commit/43b60e5aebc35eff6fe2a6edcd892f86d60b9fcf,https://github.com/apache/struts/commit/f45d2752bb089ade2e41320b81283cbc8aa78259
"""struts""",343,,
"""struts""",342,,
"""struts""",341,,
"""struts""",338,https://github.com/apache/struts/commit/9cbdc2bcc1617a014542a3fb74b22aca039a46f3,https://github.com/apache/struts/commit/1ef598ec2fd7565df1dc8bfb06cf4c8d4d01f44a
"""struts""",337,,
"""struts""",336,,
"""struts""",335,,
"""struts""",334,,
"""struts""",333,https://github.com/apache/struts/commit/76cacc7fc996295025034e91816687ed3d565b1c,https://github.com/apache/struts/commit/2d814395533d2af1e429748b7446ce9b624f8513
"""struts""",332,,
"""struts""",331,,
"""struts""",330,,
"""struts""",329,,
"""struts""",328,,
"""struts""",325,,
"""struts""",323,,
"""struts""",322,,
"""struts""",320,https://github.com/apache/struts/commit/73168785b2978330ff448d6c873fcf31583fe470,https://github.com/apache/struts/commit/925eb62949347eaf29867b295bcfbc55f210f23a
"""struts""",319,,
"""struts""",318,,
"""struts""",316,https://github.com/apache/struts/commit/3e01584e973e6f982da7edad32e1b16b68241681,https://github.com/apache/struts/commit/67f4034945a68fa314519f835fb271c05a9a42c3
"""struts""",315,,
"""struts""",314,,
"""struts""",313,,
"""struts""",312,,
"""struts""",311,,
"""struts""",310,,
"""struts""",309,https://github.com/apache/struts/commit/d7b5119b4136ea94383d6aca1957e03a2f9fbd46,https://github.com/apache/struts/commit/5a2323a19f11ed933dc47de496091784b0b1f5b8
"""struts""",307,,
"""struts""",305,,
"""struts""",304,,
"""struts""",303,,
"""struts""",302,,
"""struts""",301,,
"""struts""",300,,
"""struts""",299,,
"""struts""",298,,
"""struts""",297,https://github.com/apache/struts/commit/f754d097867d788db449d5640d0b0888139ac2d1,https://github.com/apache/struts/commit/19134516d8ef338c28c08dde60a7fb413be0357c
"""struts""",296,https://github.com/apache/struts/commit/f87310af37690895249b368e10a79f2ae7f45aa7,https://github.com/apache/struts/commit/811402717a94e32bb85f43e8b2c09e219e1f8ec1
"""struts""",295,,
"""struts""",294,https://github.com/apache/struts/commit/5dd57ae1c5fe20812099bec52fed256313381d5c,https://github.com/apache/struts/commit/660e8c92387d16163034d50934b2e24d7eec24ea
"""struts""",293,,
"""struts""",292,https://github.com/apache/struts/commit/ceb41e98281e9dcce80ca275d3a6a51ccd0672fb,https://github.com/apache/struts/commit/1a18053307840df5c7528097d203bde957273fd3
"""struts""",291,https://github.com/apache/struts/commit/6388d6a182f827d8048d8b0d0e89a7907e267487,https://github.com/apache/struts/commit/103580a7ced771057cdb67eca2b19ae6ee23d4d2
"""struts""",290,,
"""struts""",289,,
"""struts""",288,,
"""struts""",287,,
"""struts""",286,,
"""struts""",285,,
"""struts""",284,,
"""struts""",283,,
"""struts""",282,,
"""struts""",281,,
"""struts""",280,https://github.com/apache/struts/commit/94143329067cbd51680b145f93c57717ebd8421a,https://github.com/apache/struts/commit/352f509fb9b90f0adf12f9ccb9c22123320d91af
"""struts""",279,,
"""struts""",278,,
"""struts""",277,https://github.com/apache/struts/commit/cebfa54aaea1d68734c03361ea38e26c7b034da5,https://github.com/apache/struts/commit/176a0d77522e6c69099f01cff0a1c88568fabc19
"""struts""",276,,
"""struts""",274,,
"""struts""",273,,
"""struts""",272,,
"""struts""",271,,
"""struts""",270,,
"""struts""",269,https://github.com/apache/struts/commit/5fed044d994194954ba7099a27ee68d1e7bbb600,https://github.com/apache/struts/commit/7cd0ec3c50b0ae31c7d190697e2e61c70b1db33f
"""struts""",268,,
"""struts""",267,https://github.com/apache/struts/commit/345c3d1a544d43b6245d967510a914d9b1e58b77,https://github.com/apache/struts/commit/8b4755dc4964226762398567e4c6aa6fda9a072f
"""struts""",266,,
"""struts""",265,,
"""struts""",264,,
"""struts""",263,https://github.com/apache/struts/commit/38c5a203d271b40edcc8d11828fc33e110855d88,https://github.com/apache/struts/commit/2d4e26ff8ab727b625aa744235523729cbb74c5b
"""struts""",262,,
"""struts""",261,,
"""struts""",260,,
"""struts""",258,,
"""struts""",257,https://github.com/apache/struts/commit/c7a1ea97267e8b6e777c20cbce1e0a45156d477d,https://github.com/apache/struts/commit/7bca98205d720fc3ad30f0ea5f0c477e970ac702
"""struts""",255,,
"""struts""",254,,
"""struts""",253,,
"""struts""",252,,
"""struts""",251,,
"""struts""",250,,
"""struts""",249,,
"""struts""",248,,
"""struts""",246,,
"""struts""",245,,
"""struts""",244,,
"""struts""",243,,
"""struts""",242,,
"""struts""",241,,
"""struts""",240,,
"""struts""",239,,
"""struts""",237,,
"""struts""",236,,
"""struts""",232,,
"""struts""",231,,
"""struts""",228,,
"""struts""",227,,
"""struts""",225,,
"""struts""",224,,
"""struts""",223,,
"""struts""",222,,
"""struts""",221,,
"""struts""",220,,
"""struts""",219,https://github.com/apache/struts/commit/31ee1f2fef1c4803bdecd3a910b312f194813a0e,https://github.com/apache/struts/commit/73cace0cbb290fcfacaa09982766d561483bffbb
"""struts""",217,,
"""struts""",216,,
"""struts""",215,,
"""struts""",214,,
"""struts""",212,,
"""struts""",211,,
"""struts""",210,,
"""struts""",208,,
"""struts""",207,,
"""struts""",206,,
"""struts""",205,,
"""struts""",204,https://github.com/apache/struts/commit/1ba10b4472ad847dd2f73f81366da41290225e02,https://github.com/apache/struts/commit/42cc8bd0fd0927f00a5dc3db642ca1b20b8ffd85
"""struts""",203,,
"""struts""",202,,
"""struts""",201,,
"""struts""",200,,
"""struts""",199,,
"""struts""",198,,
"""struts""",197,,
"""struts""",196,,
"""struts""",195,,
"""struts""",194,,
"""struts""",193,,
"""struts""",192,,
"""struts""",191,,
"""struts""",190,,
"""struts""",189,,
"""struts""",187,,
"""struts""",186,,
"""struts""",185,,
"""struts""",184,,
"""struts""",183,,
"""struts""",181,,
"""struts""",180,,
"""struts""",179,,
"""struts""",178,,
"""struts""",177,,
"""struts""",176,,
"""struts""",175,,
"""struts""",174,,
"""struts""",173,,
"""struts""",172,,
"""struts""",171,,
"""struts""",170,,
"""struts""",169,,
"""struts""",168,,
"""struts""",167,https://github.com/apache/struts/commit/0d5e7797864a24a9d5f071c35d6cd2374645476f,https://github.com/apache/struts/commit/ecdc0f837914913fc5f4813744f17f8d17a1814d
"""struts""",166,,
"""struts""",164,,
"""struts""",163,,
"""struts""",162,,
"""struts""",161,,
"""struts""",160,,
"""struts""",159,,
"""struts""",158,,
"""struts""",157,,
"""struts""",156,,
"""struts""",154,,
"""struts""",153,,
"""struts""",152,,
"""struts""",151,,
"""struts""",150,,
"""struts""",149,,
"""struts""",148,,
"""struts""",147,,
"""struts""",146,,
"""struts""",145,,
"""struts""",144,,
"""struts""",143,,
"""struts""",142,,
"""struts""",140,,
"""struts""",139,,
"""struts""",138,,
"""struts""",137,,
"""struts""",135,,
"""struts""",134,,
"""struts""",132,,
"""struts""",131,,
"""struts""",130,,
"""struts""",128,,
"""struts""",126,,
"""struts""",125,https://github.com/apache/struts/commit/a9f74aa0d4d054b580803aeae2e3213128d56065,https://github.com/apache/struts/commit/0f2e0b1023587779542bb9d5e7b6689117f11fc8
"""struts""",124,,
"""struts""",123,,
"""struts""",122,,
"""struts""",121,,
"""struts""",120,,
"""struts""",119,,
"""struts""",117,,
"""struts""",116,,
"""struts""",115,,
"""struts""",114,,
"""struts""",113,,
"""struts""",112,,
"""struts""",111,,
"""struts""",110,,
"""struts""",109,,
"""struts""",108,,
"""struts""",107,,
"""struts""",106,,
"""struts""",105,,
"""struts""",103,,
"""struts""",102,,
"""struts""",101,,
"""struts""",99,,
"""struts""",98,,
"""struts""",95,,
"""struts""",90,,
"""struts""",88,,
"""struts""",87,,
"""struts""",86,,
"""struts""",85,,
"""struts""",84,,
"""struts""",83,,
"""struts""",82,,
"""struts""",81,,
"""struts""",80,,
"""struts""",75,,
"""struts""",73,,
"""struts""",72,,
"""struts""",71,,
"""struts""",69,,
"""struts""",67,,
"""struts""",66,,
"""struts""",65,,
"""struts""",64,,
"""struts""",63,,
"""struts""",62,,
"""struts""",61,,
"""struts""",60,,
"""struts""",58,,
"""struts""",57,,
"""struts""",56,,
"""struts""",55,,
"""struts""",54,,
"""struts""",52,,
"""struts""",51,,
"""struts""",50,,
"""struts""",48,,
"""struts""",47,,
"""struts""",46,,
"""struts""",45,,
"""struts""",43,,
"""struts""",42,,
"""struts""",41,,
"""struts""",40,,
"""struts""",38,,
"""struts""",36,,
"""struts""",34,,
"""struts""",33,,
"""struts""",32,,
"""struts""",30,,
"""struts""",29,,
"""struts""",28,,
"""struts""",27,,
"""struts""",23,,
"""struts""",22,,
"""struts""",20,,
"""struts""",18,,
"""struts""",17,,
"""struts""",13,,
"""struts""",11,,
"""struts""",7,,
"""struts""",6,,
