repo,pr_number,before_commit,after_commit
"""usergrid""",626,,
"""usergrid""",625,https://github.com/apache/usergrid/commit/c0e67b041bbb48ae37554b52cb5a1c9680cf7f14,https://github.com/apache/usergrid/commit/b82c7863d4ca501fc49c79a2e24dffa0688d6f2a
"""usergrid""",624,,
"""usergrid""",621,,
"""usergrid""",620,,
"""usergrid""",619,,
"""usergrid""",618,,
"""usergrid""",617,,
"""usergrid""",600,,
"""usergrid""",599,,
"""usergrid""",598,,
"""usergrid""",597,,
"""usergrid""",596,,
"""usergrid""",594,,
"""usergrid""",593,,
"""usergrid""",592,,
"""usergrid""",591,https://github.com/apache/usergrid/commit/d8df4249243ed840dd52d20146d4e3ea2aad3e3a,https://github.com/apache/usergrid/commit/a9281016b5b81b19279da738d81eb149fd550b8e
"""usergrid""",589,,
"""usergrid""",588,,
"""usergrid""",587,https://github.com/apache/usergrid/commit/d4778ded8b31caf8745777590675f1f663a1fd9e,https://github.com/apache/usergrid/commit/2110bfbd44f0b3dd8fcc9ec7cdf9c8c287428ff6
"""usergrid""",586,,
"""usergrid""",584,https://github.com/apache/usergrid/commit/8b798b9a8fc9c26ffe2562bd7032efeaf01f51ab,https://github.com/apache/usergrid/commit/296a4ee15feca4d2f8798beb0a0ac647d352d47a
"""usergrid""",583,,
"""usergrid""",581,,
"""usergrid""",580,,
"""usergrid""",579,,
"""usergrid""",578,,
"""usergrid""",575,,
"""usergrid""",573,,
"""usergrid""",572,https://github.com/apache/usergrid/commit/cd26e34321ba3b1dc5263629b1bc1ad507ed7c34,https://github.com/apache/usergrid/commit/5935460829622ceee91d72ff8a3b44529875ae29
"""usergrid""",567,,
"""usergrid""",563,,
"""usergrid""",562,,
"""usergrid""",561,,
"""usergrid""",560,,
"""usergrid""",557,,
"""usergrid""",556,,
"""usergrid""",554,,
"""usergrid""",552,,
"""usergrid""",551,,
"""usergrid""",550,,
"""usergrid""",549,,
"""usergrid""",547,,
"""usergrid""",546,,
"""usergrid""",545,,
"""usergrid""",544,,
"""usergrid""",543,,
"""usergrid""",542,,
"""usergrid""",541,,
"""usergrid""",540,,
"""usergrid""",539,,
"""usergrid""",537,https://github.com/apache/usergrid/commit/d4b0513b5048e85365f6252fcc0b66ccf84e191a,https://github.com/apache/usergrid/commit/7ea48c27885da00a9a1d2251702e02bfe8ddf1ef
"""usergrid""",535,,
"""usergrid""",534,,
"""usergrid""",532,,
"""usergrid""",528,,
"""usergrid""",526,,
"""usergrid""",525,,
"""usergrid""",521,,
"""usergrid""",518,,
"""usergrid""",517,,
"""usergrid""",516,,
"""usergrid""",515,,
"""usergrid""",512,,
"""usergrid""",511,,
"""usergrid""",510,,
"""usergrid""",509,,
"""usergrid""",507,,
"""usergrid""",505,,
"""usergrid""",504,,
"""usergrid""",503,,
"""usergrid""",502,,
"""usergrid""",501,,
"""usergrid""",500,,
"""usergrid""",499,,
"""usergrid""",498,,
"""usergrid""",497,,
"""usergrid""",496,,
"""usergrid""",495,,
"""usergrid""",494,,
"""usergrid""",493,,
"""usergrid""",492,,
"""usergrid""",490,,
"""usergrid""",488,,
"""usergrid""",487,,
"""usergrid""",484,,
"""usergrid""",481,,
"""usergrid""",480,,
"""usergrid""",478,,
"""usergrid""",477,,
"""usergrid""",476,,
"""usergrid""",475,,
"""usergrid""",473,,
